sigma,component_period,phase,phase_over_pi,raw_leading_real,raw_leading_imag,raw_leading_modulus,raw_one_step_radius,bulk_deflated_leading_real,bulk_deflated_leading_imag,bulk_deflated_leading_modulus,bulk_deflated_one_step_radius
0.001,6,0.0,0.0,0.060610414228435765,0.0,0.060610414228435765,0.7916725821184677,0.035308968802580505,0.0,0.035308968802580505,0.7568161995623248
0.001,6,0.017453292519943295,0.005555555555555556,0.06060578522952555,0.0005303871666448551,0.06060810600764487,0.7916700696418117,0.03530618287762849,0.00031917667186046864,0.035307625566390145,0.7568138002648545
0.001,6,0.03490658503988659,0.011111111111111112,0.06059189964283594,0.0010606127521388608,0.060601181520969556,0.791662531876804,0.035297825951384504,0.0006382560930277747,0.03530359596039078,0.7568066020536156
0.001,6,0.05235987755982989,0.016666666666666666,0.06056876169806013,0.0015905152245442307,0.06058964129548798,0.7916499678181261,0.03528390056942651,0.0009571410424242241,0.03529688029229027,0.7567946039719381
0.001,6,0.06981317007977318,0.022222222222222223,0.06053637844325533,0.002119933150334308,0.060573486209619096,0.7916323757895851,0.035264410973522356,0.001275734358194022,0.035287479074909284,0.7567778044247434
0.001,6,0.08726646259971647,0.027777777777777776,0.06049475974269592,0.002648705243561652,0.06055271749305537,0.7916097534431201,0.035239363100338476,0.0015939389672916607,0.03527539302614427,0.7567562011776058
0.001,6,0.10471975511965978,0.03333333333333333,0.060443918273868635,0.0031766704149811305,0.060527336726668615,0.7915820977574086,0.0352087645796307,0.001911657915043214,0.035260623068913644,0.7567297913554316
0.001,6,0.12217304763960307,0.03888888888888889,0.06038386952361063,0.0037036678211130824,0.06049734584238866,0.7915494050360717,0.035172624731920635,0.0022287943946715533,0.03524317033109017,0.7566985714407617
0.001,6,0.13962634015954636,0.044444444444444446,0.060314631783392525,0.0042295369132315875,0.060462747123055965,0.7915116709054771,0.035130954565656014,0.00254525177677645,0.03522303614541726,0.7566625372716898
0.001,6,0.15707963267948966,0.05,0.060236226143746484,0.0047541174862628845,0.06042354320224657,0.7914688903121345,0.035083766773857814,0.0028609336387606468,0.03520022204941102,0.7566216840393982
0.001,6,0.17453292519943295,0.05555555555555555,0.060148676487842036,0.005277249727579152,0.060379737064070724,0.7914210575196824,0.03503107573025311,0.003175743794192768,0.03517472978524615,0.7565760062853047
0.001,6,0.19198621771937624,0.06111111111111111,0.06005200948421052,0.005798774265672503,0.06033133204294379,0.7913681661054609,0.03497289748489721,0.003489586322098382,0.035146561299627954,0.7565254978978192
0.001,6,0.20943951023931956,0.06666666666666667,0.05994625457862258,0.006318532218694802,0.06027833182333194,0.7913102089566678,0.034909249759283785,0.0038023655961699266,0.035115718743648,0.7564701521087029
0.001,6,0.22689280275926285,0.07222222222222223,0.0598314439851179,0.00683636524284806,0.06022074043946921,0.7912471782660904,0.03484015194094716,0.00411398631388697,0.03508220447262591,0.7564099614890313
0.001,6,0.24434609527920614,0.07777777777777778,0.059707612676193116,0.007352115580610918,0.06015856227504908,0.7911790655274108,0.03476562507755615,0.004424353525537639,0.03504602104593528,0.7563449179447479
0.001,6,0.2617993877991494,0.08333333333333333,0.05957479837214894,0.007865626108786558,0.06009180206288895,0.7911058615300763,0.034685691870502904,0.00473337266313252,0.03500717122681525,0.7562750127118105
0.001,6,0.2792526803190927,0.08888888888888889,0.059433041529599696,0.008376740386357107,0.06002046488456707,0.7910275563537279,0.034600376667987015,0.005040949569202092,0.034965657982166144,0.7562002363509176
0.001,6,0.29670597283903605,0.09444444444444446,0.05928238532915071,0.008885302702130336,0.05994455617003422,0.7909441393621826,0.034509705457598655,0.005346990525469054,0.03492148448233079,0.7561205787418123
0.001,6,0.3141592653589793,0.1,0.05912287566224457,0.00939115812216381,0.05986408169719731,0.7908555991969581,0.03441370585840308,0.005651402281386776,0.034874654100861706,0.7560360290771562
0.001,6,0.33161255787892263,0.10555555555555557,0.058954561117182856,0.009894152536952305,0.05977904759147747,0.7907619237703343,0.034312407112526325,0.0059540920825349826,0.03482517041427153,0.755946575855961
0.001,6,0.3490658503988659,0.1111111111111111,0.05877749296432512,0.010394132708363731,0.059689460325340234,0.7906631002579394,0.03420584007624782,0.006254967698864259,0.03477303720176995,0.7558522068765745
0.001,6,0.3665191429188092,0.11666666666666667,0.058591725140472214,0.010890946316309855,0.059595326717800504,0.7905591150908543,0.034094037210600815,0.006553937452780592,0.0347182584449853,0.7557529092292086
0.001,6,0.3839724354387525,0.12222222222222222,0.058397314232436284,0.011384442005136837,0.05949665393389976,0.7904499539472223,0.03397703257148446,0.0068509102470615865,0.0346608383276719,0.7556486692880009
0.001,6,0.4014257279586958,0.12777777777777777,0.05819431945980427,0.011874469429722135,0.05939344948415742,0.7903356017433528,0.03385486179928919,0.007145795592595482,0.034600781235401716,0.7555394727025979
0.001,6,0.4188790204786391,0.13333333333333333,0.057982802656899125,0.012360879301263348,0.05928572122399549,0.7902160426243089,0.03372756210804003,0.007438503635934846,0.03453809175524197,0.75542530438925
0.001,6,0.4363323129985824,0.1388888888888889,0.05776282825394503,0.01284352343274509,0.05917347735313704,0.7900912599539647,0.03359517227406059,0.007728945186656451,0.03447277467541813,0.7553061485214057
0.001,6,0.4537856055185257,0.14444444444444446,0.05753446325744039,0.013322254784069993,0.05905672641497693,0.7899612363045174,0.033457732624160866,0.00801703174451889,0.034404834984961954,0.7551819885197916
0.001,6,0.47123889803846897,0.15,0.057297777229748874,0.01379692750684049,0.05893547729592881,0.7898259534454449,0.03331528502335259,0.008302675526409653,0.03433427787334493,0.755052807041966
0.001,6,0.4886921905584123,0.15555555555555556,0.057052842267908785,0.014267396988776881,0.05880973922474269,0.7896853923318858,0.03316787286209672,0.008585789493073717,0.03426110873009785,0.7549185859713314
0.001,6,0.5061454830783556,0.16111111111111112,0.056799732981672305,0.014733519897759055,0.058679521771798165,0.7895395330924324,0.033015541043085114,0.008866287375614915,0.03418533314441482,0.7547793064055885
0.001,6,0.5235987755982988,0.16666666666666666,0.05653852647077946,0.015195154225478041,0.058544834848371495,0.7893883550163174,0.03285833596756275,0.009144083701762718,0.034106956904744086,0.7546349486446199
0.001,6,0.5410520681182421,0.17222222222222222,0.0562693023014722,0.01565215933068372,0.058405688705874995,0.7892318365399738,0.03269630552119272,0.009419093821895834,0.034025985998363865,0.7544854921777826
0.001,6,0.5585053606381855,0.17777777777777778,0.05599214248225826,0.016104395982016184,0.05826209393507145,0.7890699552329519,0.032529499059468364,0.009691233934814778,0.033942426610943106,0.7543309156705914
0.001,6,0.5759586531581288,0.18333333333333335,0.05570713143893094,0.016551726400407307,0.05811406146526216,0.788902687783172,0.032357967392679654,0.009960421113256037,0.0338562851260902,0.7541711969507797
0.001,6,0.5934119456780721,0.1888888888888889,0.055414355988852616,0.016994014301039535,0.05796160256344904,0.7887300099814911,0.03218176277043462,0.010226573329139389,0.033767568124885704,0.7540063129937095
0.001,6,0.6108652381980153,0.19444444444444445,0.05511390531450946,0.01743112493484944,0.0578047288334704,0.7885518967055611,0.03200093886574229,0.010489609478540739,0.03367628238540096,0.7538362399071132
0.001,6,0.6283185307179586,0.2,0.05480587093634553,0.017862925129562793,0.05764345221511052,0.7883683219029547,0.031815550758663755,0.010749449406383648,0.03358243488220459,0.7536609529151499
0.001,6,0.6457718232379019,0.20555555555555557,0.05449034668488597,0.018289283330249435,0.05747778498318462,0.7881792585735341,0.03162565491953225,0.011006013930840686,0.033486032785852576,0.7534804263417403
0.001,6,0.6632251157578453,0.21111111111111114,0.054167428672155016,0.01871006963938489,0.057307739746596476,0.787984678751036,0.03143130919175169,0.011259224867438461,0.033387083462366685,0.7532946335931696
0.001,6,0.6806784082777885,0.21666666666666665,0.05383721526239956,0.01912515585640667,0.057133329447370686,0.7877845534838425,0.031232572774175647,0.011509005052857974,0.03328559447269777,0.7531035471399206
0.001,6,0.6981317007977318,0.2222222222222222,0.05349980704212757,0.01953441551675356,0.056954567359660146,0.7875788528149138,0.031029506203073827,0.01175527836842365,0.03318157357217596,0.7529071384977157
0.001,6,0.7155849933176751,0.22777777777777777,0.05315530678946827,0.019937723930375493,0.056771467088726525,0.7873675457608448,0.030822171333691514,0.011997969763273523,0.03307502870994764,0.752705378207738
0.001,6,0.7330382858376184,0.23333333333333334,0.05280381944286525,0.02033495821970246,0.05658404256989562,0.7871506002900173,0.030610631321406144,0.012237005277203603,0.03296596802839801,0.7524982358159962
