sigma,folded_dimension,component_period,matrix_00,matrix_01,matrix_10,matrix_11,bright_eigenvalue_real,bright_eigenvalue_imag,dark_eigenvalue_real,dark_eigenvalue_imag,dark_to_bright_modulus_ratio,compressed_bright_one_step_radius,branch_complete_one_step_radius,bright_dark_00,bright_dark_01,bright_dark_10,bright_dark_11,left_return_eigenvalue,right_return_eigenvalue,right_to_left_return_ratio,preserve_left_phase_over_pi,match_bulk_phase_over_pi,cubic_phase_one_step_radius,left_one_step_radius,archived_bulk_radius,elapsed_seconds
0.01,2048,3,0.16377440428606166,0.11582629765140678,0.14257455542093112,0.08421493227809468,0.2585171953556073,0.0,-0.010527858791450979,0.0,0.04072401751446058,0.7981445869829872,0.8012175485049181,0.2531950948182471,0.05315386488874565,0.02640560711922132,-0.005205758254090777,0.16523050648587284,0.07577075233480852,0.45857604595121726,0.5736397684349067,0.9148370140189418,0.7233572731057368,0.7407671342623723,0.6746693518397261,0.12050890922546387
0.004,5120,4,0.09512647318790768,0.07409739215306947,0.08405682122669028,0.060202721138443674,0.15849348036638244,0.0,-0.003164286040031051,0.0,0.01996477099699186,0.794330841569785,0.7948384300856963,0.15674170385305553,0.022441590561542404,0.012482161487921592,-0.0014125095267042021,0.09550137460265595,0.05784640465673256,0.6057127962545977,0.5979402559243768,0.7368941038431565,0.7329831516117268,0.745591937034988,0.7179413580952657,0.23580598831176758
0.002,10240,5,0.055885968415200674,0.05406861913210549,0.055082028228995036,0.05323331692527453,0.10914872899084903,0.0,-2.94436503738406e-05,0.0,0.00026975715288731525,0.8013124091334493,0.8023237380891274,0.10913496635078784,0.0018330302934078334,0.0008196211965182974,-1.5681010312660994e-05,0.056082191757780536,0.05434568476837852,0.9690363922133785,0.6610050597372926,0.7214381619724682,0.7485502774281603,0.7496913462936622,0.7362778600305048,0.48199987411499023
0.001,20480,6,0.030176233412540658,0.030348034550656128,0.02988284311221498,0.03004815282169416,0.06022680180460952,0.0,-2.4155703746928964e-06,0.0,4.010789718719579e-05,0.7912538147072765,0.7916725821184676,0.06022763194855295,-0.00016855542379732577,0.00029663601464382215,-3.245714318144697e-06,0.03022239957411437,0.03039300723945166,1.0056450734468951,0.6677050771168764,0.7108971714704639,0.7472452833504415,0.7470690511660122,0.7391415382320545,0.98215651512146
0.0005,40960,6,0.032360655558418924,0.023620539641332965,0.023140263230225874,0.015889011064217067,0.048912214637837195,0.0,-0.0006625480152011958,0.0,0.013545655622157541,0.7776510760286003,0.7775880287357062,0.047505234747097405,0.007995684041547378,0.008475960452654472,0.0007444318755385752,0.03236519137638653,0.015693199057533185,0.4848789205363037,0.5779475784999982,0.612709984840508,0.7424027696577947,0.7513457744313061,0.7480149959741871,1.8330540657043457
0.0002,102400,7,0.019583039474910316,0.015777652919955545,0.017240049071983326,0.013662705248927041,0.033379068228450895,0.0,-0.0001333235046135561,0.0,0.003994224874735024,0.7843932939708795,0.7843776023946851,0.03313172335788811,0.003691365189005529,0.002228969036977747,0.00011402136594924287,0.01959401862788871,0.013567252083922078,0.6924180456076239,0.6125312027282018,0.6157758014656906,0.748676362029632,0.7551075673832436,0.7547488160013469,5.016337156295776
0.0001,204800,8,0.011488901843313595,0.011420911575301328,0.011458697818892943,0.011390226841383655,0.022879459829051103,0.0,-3.311443538632241e-07,0.0,1.447343409055291e-05,0.7897058594989137,0.7898249741684651,0.022879369039445756,6.823062276077864e-05,3.0444379169162195e-05,-2.403547485109068e-07,0.011496635259006132,0.011436358115219524,0.9947569751993838,0.6657039620225305,0.6612734223190551,0.7563358794104972,0.7564594838651771,0.7570230789796144,10.54000997543335
