sigma,component_period,operator_type,left_right_relative_frobenius_difference,both_singular_ratio_1,both_singular_ratio_2,both_singular_ratio_3,cubic_phase_radius,antisymmetric_radius,phase_matching_bulk_over_pi,perron_eigenvalue,parity_eigenvalue,branch_matrix_00,branch_matrix_01,branch_matrix_10,branch_matrix_11,bright_dark_00,bright_dark_01,bright_dark_10,bright_dark_11
0.001,6,raw,0.13850742947603928,0.0027370685803240384,2.6737674428134723e-05,1.1869696408972243e-06,0.7472247632132072,0.5643575560885258,0.7107641906397812,1.0000000000000022,-0.9963892766274213,0.030176233412540658,0.030348034550656128,0.02988284311221498,0.03004815282169416,0.06022763194855295,-0.00016855542379732577,0.00029663601464382215,-3.245714318144697e-06
0.001,6,bulk_deflated,0.20542028502326243,0.004222685140421127,3.808838616126601e-05,1.895825052398895e-06,0.7144204431924112,0.5831140152396292,0.4573787855428038,1.0000000000000022,-0.9963892766274213,0.01889414032182924,0.019081928846326878,0.018714823776903637,0.01889608855706086,0.0377934907510603,-0.0001845266523274313,0.00018257841709581096,-3.2618721702070056e-06
