sigma,folded_dimension,full_dimension,dimension_times_sigma,trace_three,trace_six,directed_three,directed_six
0.004,3072,6144,12.288,0.17454123039097247,1.646495812280762,-1.71217770570109e-05,0.003209976730904618
0.004,4096,8192,16.384,0.17454123039097302,1.6464964282977763,-1.7121777057316212e-05,0.0032098849765604953
0.004,5120,10240,20.48,0.1745412303909724,1.6464967135336528,-1.7121777057066412e-05,0.0032098424986524154
0.004,6144,12288,24.576,0.17454123039097266,1.6464968685052537,-1.712177705720519e-05,0.003209819421902793
0.004,7680,15360,30.72,0.17454123039097277,1.6464969953151984,-1.7121777057094167e-05,0.0032098005397178664
