sigma,folded_dimension,full_dimension,dimension_times_sigma,trace_three,trace_three_target,trace_three_error,trace_six,trace_six_target,trace_six_error,directed_three,directed_three_target,directed_three_error,directed_six,directed_six_target,directed_six_error
0.08,384,768,30.72,0.19311344019927593,0.1745333538262971,0.018580086372978838,1.6590323649680738,1.6221410887200325,0.03689127624804134,-0.019068175143754917,-1.7114657240496767e-05,0.01905106048651442,0.04907610381852723,0.004290861043719563,0.044785242774807665
0.06,512,1024,30.72,0.17837028121460108,0.1745333538262971,0.00383692738830399,1.6825068860314014,1.6221410887200325,0.06036579731136893,-0.019549227470865765,-1.7114657240496767e-05,0.01953211281362527,0.06845872082886717,0.004290861043719563,0.06416785978514761
0.05,640,1280,32.0,0.17608188849628853,0.1745333538262971,0.0015485346699914415,1.6969541385315732,1.6221410887200325,0.07481304981154069,-0.015184977239368153,-1.7114657240496767e-05,0.015167862582127656,0.06515263028661966,0.004290861043719563,0.0608617692429001
0.04,768,1536,30.72,0.175340624004155,0.1745333538262971,0.0008072701778579217,1.7473784348928847,1.6221410887200325,0.1252373461728522,-0.008090248007608797,-1.7114657240496767e-05,0.0080731333503683,0.03922091831914476,0.004290861043719563,0.0349300572754252
0.03,1024,2048,30.72,0.1749795419408736,0.1745333538262971,0.0004461881145765012,1.894036852628945,1.6221410887200325,0.27189576390891257,-0.0018367579462862382,-1.7114657240496767e-05,0.0018196432890457415,-0.004747287747469242,0.004290861043719563,0.009038148791188805
0.025,1280,2560,32.0,0.1748425205226914,0.1745333538262971,0.00030916669639430294,2.01605592040055,1.6221410887200325,0.39391483168051766,-0.00041976288523271066,-1.7114657240496767e-05,0.0004026482279922139,-0.01484049182009528,0.004290861043719563,0.019131352863814843
0.02,1536,3072,30.72,0.1747308665537415,0.1745333538262971,0.00019751272744442105,2.146801623151894,1.6221410887200325,0.5246605344318616,-4.3377126442811775e-05,-1.7114657240496767e-05,2.626246920231501e-05,-0.006286209548022503,0.004290861043719563,0.010577070591742066
0.015,2048,4096,30.72,0.17464430080603108,0.1745333538262971,0.00011094697973398904,2.214875769566124,1.6221410887200325,0.5927346808460914,-1.7297016072836957e-05,-1.7114657240496767e-05,1.8235883234019035e-07,0.004726487877634078,0.004290861043719563,0.0004356268339145153
0.012,2560,5120,30.72,0.17460431446861063,0.1745333538262971,7.096064231354449e-05,2.1583025815205295,1.6221410887200325,0.536161492800497,-1.7179054526222926e-05,-1.7114657240496767e-05,6.439728572615877e-08,0.0007697206785035604,0.004290861043719563,0.0035211403652160023
0.01,3072,6144,30.72,0.17458261494636138,0.1745333538262971,4.9261120064286734e-05,2.0466612697182907,1.6221410887200325,0.42452018099825817,-1.715927575610121e-05,-1.7114657240496767e-05,4.46185156044443e-08,-0.004843204739829909,0.004290861043719563,0.009134065783549472
0.008,3840,7680,30.72,0.17456487199759052,0.1745333538262971,3.151817129343204e-05,1.8773418541860019,1.6221410887200325,0.25520076546596937,-1.714318020537564e-05,-1.7114657240496767e-05,2.852296487887429e-08,-0.006995924291996136,0.004290861043719563,0.011286785335715699
0.006,5120,10240,30.72,0.17455107888767551,0.1745333538262971,1.7725061378426332e-05,1.716443939549585,1.6221410887200325,0.09430285082955248,-1.7130687058580785e-05,-1.7114657240496767e-05,1.6029818084017933e-08,-0.0017904013873659697,0.004290861043719563,0.006081262431085532
0.005,6144,12288,30.72,0.17454566183060446,0.1745333538262971,1.2308004307376441e-05,1.6700286853523294,1.6221410887200325,0.047887596632296914,-1.7125785149979533e-05,-1.7114657240496767e-05,1.112790948276654e-08,0.0014321160208154993,0.004290861043719563,0.0028587450229040634
0.004,7680,15360,30.72,0.17454123039097277,0.1745333538262971,7.876564675685094e-06,1.6464969953151984,1.6221410887200325,0.024355906595165955,-1.7121777057094167e-05,-1.7114657240496767e-05,7.1198165974006855e-09,0.0032098005397178664,0.004290861043719563,0.0010810605040016963
