sigma,half_logarithmic_clock,half_energy_rank,rank_defect,hilbert_schmidt_energy,energy_defect,linear_row_half_energy_rank,linear_row_rank_defect,linear_row_hilbert_schmidt_energy,linear_row_energy_defect,last_singular_above_threshold,first_singular_below_threshold,threshold
0.01,4.445622727523028,2,-2.445622727523028,2.3788679259749106,-2.066754801548117,3,-1.4456227275230278,2.7377941471142018,-1.707828580408826,0.9989391242601814,0.4878215872215787,0.7071067811865475
0.005623413251903491,5.001325568463406,3,-2.0013255684634057,3.000993311793491,-2.000332256669915,3,-2.0013255684634057,3.3447061772569864,-1.6566193912064193,0.9476344904643809,0.2357377516391226,0.7071067811865475
0.0031622776601683794,5.5570284094037845,3,-2.5570284094037845,3.5605444232372676,-1.996483986166517,4,-1.5570284094037845,3.9442225844954697,-1.6128058249083148,0.999999721430637,0.6767744955672803,0.7071067811865475
0.0017782794100389228,6.112731250344163,4,-2.1127312503441633,4.181838826750398,-1.9308924235937655,4,-2.1127312503441633,4.491834871168628,-1.6208963791755355,0.9989510546564586,0.3455897393446105,0.7071067811865475
0.001,6.66843409128454,5,-1.6684340912845403,4.729407161382943,-1.9390269299015976,5,-1.6684340912845403,5.107547461348254,-1.5608866299362862,0.8174118325645633,0.13517435973115408,0.7071067811865475
0.0005623413251903491,7.224136932224919,5,-2.224136932224919,5.3132555917812265,-1.9108813404436926,6,-1.2241369322249191,5.634546728793254,-1.5895902034316656,0.999991649241251,0.46320757717206634,0.7071067811865475
0.00031622776601683794,7.779839773165298,6,-1.779839773165298,5.888416444780605,-1.8914233283846933,6,-1.779839773165298,6.233673109424384,-1.5461666637409142,0.9146076047517621,0.18904904827450222,0.7071067811865475
0.00017782794100389227,8.335542614105677,6,-2.3355426141056768,6.427198944801992,-1.9083436693036848,7,-1.3355426141056768,6.778684897900052,-1.5568577162056245,0.9999999557917096,0.5805446309954201,0.7071067811865475
0.0001,8.891245455046056,7,-1.8912454550460556,7.029696915177859,-1.8615485398681964,7,-1.8912454550460556,7.339963670099731,-1.5512817849463243,0.978663537576283,0.25280152579824006,0.7071067811865475
5.623413251903491e-05,9.446948295986433,7,-2.4469482959864326,7.543612653066599,-1.903335642919834,8,-1.4469482959864326,7.918258322826868,-1.5286899731595645,0.999999999900761,0.6902699585362003,0.7071067811865475
3.1622776601683795e-05,10.002651136926811,8,-2.0026511369268114,8.150302581318307,-1.8523485556085042,8,-2.0026511369268114,8.443554678587354,-1.5590964583394573,0.9996890603604304,0.32828630850967067,0.7071067811865475
1.778279410038923e-05,10.558353977867188,9,-1.5583539778671884,8.668663368107305,-1.8896906097598833,9,-1.5583539778671884,9.046260490781481,-1.512093487085707,0.787781799577271,0.11830305561463048,0.7071067811865475
9.999999999999999e-06,11.114056818807569,9,-2.114056818807569,9.25418932748493,-1.859867491322639,9,-2.114056818807569,9.554925370324543,-1.5591314484830257,0.9999923324766418,0.41509685050985495,0.7071067811865475
5.623413251903491e-06,11.669759659747946,10,-1.669759659747946,9.799768801737441,-1.869990858010505,10,-1.669759659747946,10.159136053920788,-1.510623605827158,0.8708143246616273,0.15743942357889326,0.7071067811865475
3.162277660168379e-06,12.225462500688327,10,-2.2254625006883266,10.35057504882706,-1.874887451861266,11,-1.2254625006883266,10.676731651631432,-1.548730849056895,0.9999998363475788,0.51045288136666,0.7071067811865475
1.7782794100389227e-06,12.781165341628704,11,-1.7811653416287037,10.930112552735398,-1.8510527888933055,11,-1.7811653416287037,11.259163175002417,-1.5220021666262866,0.9381361818521381,0.20581034350269825,0.7071067811865475
1e-06,13.33686818256908,11,-2.3368681825690807,11.449780979381554,-1.8870872031875265,12,-1.3368681825690807,11.805483199908885,-1.531384982660196,0.9999999981704164,0.6095452215117754,0.7071067811865475
5.62341325190349e-07,13.892571023509461,12,-1.8925710235094613,12.052290706634148,-1.8402803168753135,12,-1.8925710235094613,12.353886539691093,-1.5386844838183684,0.9878242745767537,0.2655158656343908,0.7071067811865475
3.162277660168379e-07,14.448273864449838,12,-2.4482738644498383,12.558801358481187,-1.8894725059686515,13,-1.4482738644498383,12.934124787448308,-1.5141490770015302,0.9999999999922007,0.7066227870668903,0.7071067811865475
1.7782794100389227e-07,15.003976705390217,13,-2.003976705390217,13.16194177989788,-1.842034925492337,13,-2.003976705390217,13.452464060143235,-1.5515126452469818,0.9998588440350136,0.33773917437673967,0.7071067811865475
1e-07,15.559679546330596,14,-1.559679546330596,13.679053795343204,-1.8806257509873916,14,-1.559679546330596,14.055125202632828,-1.5045543436977677,0.7964768344296363,0.12120498091749117,0.7071067811865475
5.6234132519034905e-08,16.115382387270973,14,-2.115382387270973,14.260397092187487,-1.8549852950834858,15,-1.115382387270973,14.561258273496714,-1.5541241137742592,0.9999955360035055,0.4219050440365325,0.7071067811865475
3.162277660168379e-08,16.671085228211354,15,-1.6710852282113535,14.806721859411528,-1.8643633687998253,15,-1.6710852282113535,15.164025786585027,-1.5070594416263265,0.8753026879277513,0.15972124368100102,0.7071067811865475
1.7782794100389228e-08,17.22678806915173,15,-2.2267880691517306,15.35440864410065,-1.872379425051081,16,-1.2267880691517306,15.681398538019767,-1.5453895311319634,0.9999998917295815,0.5152139617227377,0.7071067811865475
1e-08,17.78249091009211,16,-1.7824909100921111,15.934654059627528,-1.8478368504645832,16,-1.7824909100921111,16.262082524806384,-1.5204083852857266,0.940417281581232,0.2077297970946488,0.7071067811865475
5.623413251903491e-09,18.338193751032488,16,-2.338193751032488,16.45263778097444,-1.8855559700580464,17,-1.3381937510324882,16.808944532568994,-1.5292492184634945,0.9999999986842867,0.6128153866683415,0.7071067811865475
3.1622776601683795e-09,18.893896591972865,17,-1.8938965919728652,17.055242779573845,-1.83865381239902,17,-1.8938965919728652,17.355973694947853,-1.5379228970250125,0.9888669701271847,0.2672262822739368,0.7071067811865475
1.7782794100389228e-09,19.449599432913246,18,-1.4495994329132458,17.561219259205906,-1.8883801737073398,18,-1.4495994329132458,17.93669587856134,-1.5129035543519045,0.7088706361184174,0.09087865994951537,0.7071067811865475
1e-09,20.005302273853623,18,-2.005302273853623,18.16393767786756,-1.8413645959860645,18,-2.005302273853623,18.454268966811924,-1.551033307041699,0.999872388332842,0.33932302085815,0.7071067811865475
5.623413251903491e-10,20.561005114794003,19,-1.5610051147940034,18.681211804710962,-1.8797933100830413,19,-1.5610051147940034,19.057051519941254,-1.5039535948527494,0.7980516957483699,0.12180392177648147,0.7071067811865475
