component_index,original_period,clearance,successive_ratio,limiting_ratio,clearance_times_lambda_2k
1,2,0.09898156619342503,,0.3549108444017701,0.2788913547013932
2,4,0.04277109103665805,0.43211168181635795,0.3549108444017701,0.3395562976589069
3,6,0.017030195183769414,0.39817069826844614,0.3549108444017701,0.3809445957285068
4,8,0.006494732565471552,0.3813657151540659,0.3549108444017701,0.4093400088378758
5,10,0.0024124835598517864,0.3714523324143413,0.3549108444017701,0.428418301192314
6,12,0.0008809810289056603,0.3651759720011457,0.3549108444017701,0.44080949350727305
7,14,0.00031821189929242616,0.3612017612770886,0.3549108444017701,0.44862299350381374
8,16,0.00011415130320491971,0.35872732433559457,0.3549108444017701,0.45344719281912504
9,18,4.07760136745586e-05,0.35721023352102416,0.3549108444017701,0.4563849772170125
10,20,1.4528090650363352e-05,0.35629011620201295,0.3549108444017701,0.45815860273186804
11,22,5.168164026511383e-06,0.3557359429321929,0.3549108444017701,0.459223732174311
12,24,1.836784169781895e-06,0.3554036134224173,0.3549108444017701,0.45986133238385923
13,26,6.524346360018251e-07,0.35520484482360115,0.3549108444017701,0.4602422715065635
14,28,2.3167050222874228e-07,0.3550861487802653,0.3549108444017701,0.4604696032058798
15,30,8.224658123650498e-08,0.3550153362006267,0.3549108444017701,0.4606051733016285
16,32,2.9195325090447825e-08,0.35497311440210405,0.3549108444017701,0.46068598763781377
17,34,1.0362820742399719e-08,0.35494794835458926,0.3549108444017701,0.46073414979295607
18,36,3.6781065502489602e-09,0.3549329513343701,0.3549108444017701,0.46076284832092906
19,38,1.305448345708585e-09,0.3549240153524707,0.3549108444017701,0.46077994750190826
20,40,4.6332801832473423e-10,0.3549186912280655,0.3549108444017701,0.4607901350187607
21,42,1.6444230418910451e-10,0.3549155192118153,0.3549108444017701,0.46079620444826924
22,44,5.836281501172966e-11,0.35491362943086646,0.3549108444017701,0.46079982037282363
23,46,2.0713692791786017e-11,0.35491250357994236,0.3549108444017701,0.46080197457300043
24,48,7.351534673867477e-12,0.35491183285206956,0.3549108444017701,0.46080325793713806
25,50,2.60914370781293e-12,0.35491143326680635,0.3549108444017701,0.46080402249796076
26,52,9.260143118280332e-13,0.3549111952151722,0.3549108444017701,0.4608044779820053
27,54,3.2865271487153966e-13,0.3549110533969507,0.3549108444017701,0.46080474933442134
28,56,1.1664245346978313e-13,0.3549109689094615,0.3549108444017701,0.46080491099117665
29,58,4.139768030597749e-14,0.35491091857650087,0.3549108444017701,0.4608050072972793
30,60,1.4692487502997572e-14,0.35491088859092657,0.3549108444017701,0.46080506467108145
31,62,5.214523532837312e-15,0.35491087072719585,0.3549108444017701,0.4608050988511853
32,64,1.850691031972681e-15,0.35491086008498424,0.3549108444017701,0.46080511921377826
33,66,6.568303341755476e-16,0.3549108537449504,0.3549108444017701,0.46080513134467077
34,68,2.3311621218695216e-16,0.35491084996791333,0.3549108444017701,0.46080513857157696
35,70,8.273547248402587e-17,0.35491084771776626,0.3549108444017701,0.46080514287696267
36,72,2.9363716564727694e-17,0.3549108463772548,0.3549108444017701,0.46080514544187023
37,74,1.042150147531941e-17,0.35491084557865316,0.3549108444017701,0.46080514696989844
38,76,3.698703895846638e-18,0.35491084510289106,0.3549108444017701,0.460805147880212
39,78,1.3127101244119535e-18,0.35491084481945867,0.3549108444017701,0.4608051484225258
40,80,4.658950590364479e-19,0.3549108446506055,0.3549108444017701,0.4608051487456059
41,82,1.6535120887430359e-19,0.35491084455001237,0.3549108444017701,0.46080514893807906
42,84,5.868493717903544e-20,0.35491084449008453,0.3549108444017701,0.4608051490527437
43,86,2.082792061096388e-20,0.3549108444543829,0.3549108444017701,0.4608051491210546
44,88,7.392054891823049e-21,0.3549108444331139,0.3549108444017701,0.4608051491617504
45,90,2.6235204436591844e-21,0.35491084442044296,0.3549108444017701,0.4608051491859947
46,92,9.311158559935723e-22,0.35491084441289433,0.3549108444017701,0.460805149200438
47,94,3.3046311469272645e-22,0.3549108444083973,0.3549108444017701,0.46080514920904264
48,96,1.1728494308053927e-22,0.3549108444057183,0.3549108444017701,0.4608051492141688
49,98,4.16256981846036e-23,0.3549108444041222,0.3549108444017701,0.4608051492172227
50,100,1.4773411691569221e-23,0.3549108444031714,0.3549108444017701,0.46080514921904203
51,102,5.243244018162148e-24,0.3549108444026049,0.3549108444017701,0.4608051492201259
52,104,1.8608841618930657e-24,0.35491084440226744,0.3549108444017701,0.4608051492207717
53,106,6.604479692318996e-25,0.3549108444020664,0.3549108444017701,0.46080514922115645
54,108,2.344001464436444e-25,0.35491084440194665,0.3549108444017701,0.46080514922138566
55,110,8.319115390223705e-26,0.35491084440187526,0.3549108444017701,0.4608051492215222
56,112,2.9525442678205775e-26,0.35491084440183274,0.3549108444017701,0.4608051492216036
57,114,1.0478899792259176e-26,0.3549108444018075,0.3549108444017701,0.4608051492216521
58,116,3.719075173672471e-27,0.3549108444017924,0.3549108444017701,0.4608051492216811
59,118,1.3199401102818059e-27,0.3549108444017834,0.3549108444017701,0.46080514922169835
60,120,4.684610590998917e-28,0.354910844401778,0.3549108444017701,0.46080514922170857
