sigma,folded_dimension,dimension_times_sigma,parity_real,parity_difference_from_finest,gap_over_sqrt_sigma
0.001,10240,10.24,-0.996394676412914,-6.397514904388224e-06,0.11401034237120136
0.001,15360,15.36,-0.9963906746163914,-2.395718381786871e-06,0.11413689028864098
0.001,20480,20.48,-0.9963892766274174,-9.97729407758996e-07,0.11418109858165829
0.001,25600,25.6,-0.9963886300196053,-3.511215956875091e-07,0.11420154611604832
0.001,30720,30.72,-0.9963882788980096,0.0,0.11421264955582877
