sigma,physical_dimension,grushin_dimension,threshold_dimension,threshold_matrix_nnz,factor_nnz_per_side,lower_shift,upper_shift,lower_error_upper,upper_error_upper,lower_utilization,upper_utilization,threshold,lifted_inverse_budget_lower_recovered,certified_full_grushin_inverse_upper,budget_margin_lower,grushin_matrix_error_frobenius_upper,threshold_transform_error_frobenius_upper,minus_factor_seconds,plus_factor_seconds,factor_seconds_total,peak_memory_mb,positive_count,negative_count,operation_factor,source_file,source_sha256
0.01,2048,4109,8218,9247962,22121700,0.01,0.01,1.81984578384441e-05,1.6194674672984185e-05,0.0018198457838444098,0.0016194674672984186,0.00021058362734454738,9497.414519922248,4748.707259961125,1.9999999999999996,4.436799541321767e-12,1.5400637315329837e-11,20.73003053665161,20.759360790252686,41.4893913269043,2318.30078125,4109,4109,24,results/exact_target_inertia_sigma_1e-2_op24.json,d4670e09951ec5aad6f1687f9a4a362a3371a01aa9e79da3332b11a433a30fbe
0.004,5120,10255,20510,25952734,95229736,0.0005,0.00056,9.373124159112437e-05,9.044793508911471e-05,0.18746248318224873,0.16151416980199057,5.8730989592810334e-05,34053.5722940523,17026.786147026152,1.9999999999999996,7.72488861566294e-12,2.645425449745137e-11,182.5469512939453,183.43888020515442,365.98583149909973,8895.6328125,10255,10255,24,results/exact_target_inertia_sigma_4e-3_op24.json,48959f6f5e36bf8d4e35a519430cca9d57b58824c6bc0241eeb27cb152f023c3
0.002,10240,20497,40994,54237218,297877182,0.0015,0.0015,0.0014303460443413076,0.0014315175100058806,0.9535640295608717,0.9543450066705871,2.253661681740832e-05,88744.4648947977,44372.232447398856,1.9999999999999998,1.1789796416629252e-11,3.9943074671862825e-11,1055.143183708191,1060.5927557945251,2115.735939502716,26223.63671875,20497,20497,24,results/exact_target_inertia_sigma_2e-3.json,a0f00e9a6bb2cda3c76113f1042bcd099327b9e02b54d8d779bc36362e924603
