epsilon,operator_infinity_difference,stationary_total_variation,observable_difference,normalized_commutator_error
0.0002,0.004499094965657513,0.0018382088984907606,4.306841963555152e-06,2.7832900064489235e-05
0.0003300951334040938,0.007425629750132503,0.0030339134149282004,7.10834905355129e-06,7.581860509522044e-05
0.0005448139854853323,0.012255744719010713,0.005007374896665747,1.1732207461661201e-05,0.0002065340001744117
0.0008992022260959838,0.020227464520781977,0.008264436358942312,1.9363949152878727e-05,0.0005626043232063665
0.0014841113939020592,0.03338339182100623,0.013639738310975338,3.196074397310556e-05,0.0015325086965821298
0.0024494897427831787,0.05509152533990162,0.022509750999088897,5.2755003050012234e-05,0.004174179874994039
0.004042823217079863,0.09089598555333811,0.03714143669563931,8.709140859024458e-05,0.011367189635900873
0.006672581345855725,0.14988133482939056,0.06125451629254641,0.0001438346910169788,0.030938559358545552
0.011012933147549564,0.24674678530288813,0.10089060807942873,0.00023781131297934382,0.08408281770431704
0.018176578182553697,0.40444692817250394,0.1655884043550368,0.0003943710905203427,0.22761637337039625
0.03,0.6552178189490006,0.2692208220743203,0.0006593103279564258,0.6095803516551279
