log_T,scaled_vandermonde,one_step_quotient,scaled_one_step_trace,six_step_quotient,scaled_six_step_trace
6.0,-2.1447162387357332,-3.793381090571592,8.135726024661958,14.019640887485856,-30.068151472634362
7.0,-1.7818531521833998,-2.9567750732780778,5.268538984617845,15.97658065548697,-28.467920602091784
8.0,-1.5576445592845294,-2.527352974276293,3.9367176097730407,17.223569875793437,-26.828199908486567
9.0,-1.4065055727354392,-2.275755601119622,3.200862935158637,18.059865640623784,-25.401301666390633
10.0,-1.2981975041170417,-2.1146703075143773,2.7452597152455813,18.645868793745635,-24.206020330134418
12.0,-1.1539699339897016,-1.926269905892742,2.222857556149396,19.39046383687212,-22.376012273865015
14.0,-1.062687915940569,-1.8235712097461567,1.9378870884543655,19.82716413811645,-21.070087736946558
16.0,-0.999899307952032,-1.7610953623064705,1.7609180340077728,20.104731517424796,-20.10270713083446
18.0,-0.9541366260367691,-1.7201303757472128,1.6412393930588056,20.291971994723877,-19.361313694678447
20.0,-0.9193344590826686,-1.691761424060076,1.5552945736851953,20.424199586297195,-18.776670478865
