sigma,folded_dimension,packet_rank,base_depth,primal_depth,dual_base_depth,dual_middle_depth,dual_maximum_depth,contour_nodes,deep_dual_winding_float,deep_dual_winding_integer,deep_dual_maximum_phase_increment,maximum_primal_rouche_ratio,maximum_dual_weighted_rouche_ratio,maximum_computed_primal_dual_rouche_ratio,maximum_deep_primal_residual_to_forcing,maximum_deep_dual_residual_to_rhs,minimum_one_sided_resolvent_budget,minimum_primal_dual_resolvent_budget,minimum_budget_gain_factor,maximum_budget_gain_factor,rh23_eigenmode_resolvent_lower_bound,minimum_budget_to_rh23_lower_bound,maximum_primal_correction_reconstruction_defect,minimum_corrected_feshbach_singular,rh25_direct_correction_rouche_ratio,primal_arnoldi_seconds,dual_arnoldi_seconds,external_adjoint_defect,minimum_budget_dual_base_depth,maximum_dual_residual_dual_base_depth,minimum_budget_dual_middle_depth,maximum_dual_residual_dual_middle_depth,minimum_budget_dual_maximum_depth,maximum_dual_residual_dual_maximum_depth
0.01,2048,4,36,52,36,44,52,32,1.0000000000000002,1,2.9975151298377694,3.614018994141222e-15,2.4656102720920162e-14,2.3592832205374798e-14,4.130591507309042e-15,1.8187726890418453e-15,13218248711367.41,7.087722845234069e+27,536207405383345.5,3083655357641950.0,5.248691492434089,1.3503790145507535e+27,2.1108549774944811e-16,0.011482726206679207,0.0,0.7816107273101807,0.8506438732147217,9.834340694290822e-20,7.187739141647555e+27,1.817253711207506e-15,7.154844777721326e+27,1.815115758072198e-15,7.087722845234069e+27,1.8187726890418453e-15
0.004,5120,5,42,58,42,50,58,32,1.0,1,2.370084445162176,1.1566886566108207e-14,5.0460388933797486e-14,5.496580979793185e-14,8.045948729639334e-15,2.769658593830736e-15,4887270646157.7,1.6899819065100534e+27,345792576033965.3,1981123672574353.8,7.1122960208854655,2.376141124536116e+26,2.262804143758899e-16,0.011964417767454912,0.0,2.8732430934906006,3.228114128112793,5.663770849669804e-20,1.6904705250095067e+27,2.733177515109826e-15,1.6899819065100534e+27,2.769658593830736e-15,1.6899819065100534e+27,2.769658593830736e-15
0.002,10240,6,46,62,46,54,62,32,1.0,1,1.8549974190610405,3.4248453012942986e-14,1.0402063622727128e-13,9.907336281556713e-14,1.9128576525404206e-14,4.970186917316037e-15,1433742693819.5505,3.282008282186793e+26,228911944683978.5,1720391780023758.5,9.619990684931038,3.4116543244972177e+25,5.335309411650145e-16,0.00739220475672775,3.925798001222651e-14,9.16971230506897,9.73194670677185,2.2173797183472244e-20,3.296520430965839e+26,5.010446349807341e-15,3.281639807244472e+26,4.9599874625311904e-15,3.282008282186793e+26,4.970186917316037e-15
0.001,20480,7,50,66,50,58,66,32,1.0,1,2.1495369014527523,9.913564896669532e-14,3.206280174563318e-13,3.6310292689248505e-13,6.835945397580378e-14,1.2822780662791943e-14,408610693307.2711,7.620152123331422e+25,92494815198995.12,1050479417270993.4,13.8008589588182,5.521505687486538e+24,7.441092192674742e-16,0.002875746488365757,7.144455977718854e-14,22.36310052871704,26.67040777206421,7.312332538924931e-21,7.646836098934754e+25,1.2802089477261601e-14,7.83569449668476e+25,1.2781059656745635e-14,7.620152123331422e+25,1.2822780662791943e-14
0.0005,40960,7,54,70,54,62,70,32,1.0,1,1.5545699474914514,8.554091833905289e-14,3.3321248598845554e-13,3.316825148116312e-13,3.3306239559877506e-14,6.349276448855719e-15,464526167515.0165,6.383587035634164e+25,137421473364636.78,712495866088286.6,18.336274800860807,3.4813979965737004e+24,4.98732824441024e-16,0.007025262056850892,5.351951563575482e-14,48.62931275367737,61.21299695968628,3.718562452335341e-21,6.470481380075738e+25,6.319798917753161e-15,6.45638805314249e+25,6.39968675215939e-15,6.383587035634164e+25,6.349276448855719e-15
0.0002,102400,8,58,74,58,66,74,32,1.0,1,1.466131348348427,9.112609460782329e-12,4.2006663183022123e-13,9.124315245935795e-12,8.287173159085158e-14,1.0707057795938457e-14,128385039068.40224,1.4254766428892432e+25,103221809735392.5,550741646300967.44,27.380480244231226,5.206178380269922e+23,9.99177769007515e-16,0.004266852233607504,9.072127992644065e-12,145.31900095939636,177.135817527771,1.5332492739971936e-21,1.4231015892515365e+25,1.0597593845056713e-14,1.4425438332078115e+25,1.0711739478868202e-14,1.4254766428892432e+25,1.0707057795938457e-14
0.0001,204800,9,62,78,62,70,78,32,1.0,1,1.6324739834345812,4.965617318438207e-11,1.5132250465507558e-12,4.972026050596804e-11,2.909662804429984e-13,2.6277273821402444e-14,42166017976.280426,3.351762782075445e+24,54823155672115.766,434906075763753.4,37.51418237232528,8.934655029421848e+22,3.0630445333789525e-15,0.0021406131402826887,4.9528368562321313e-11,335.5948483943939,402.9467306137085,3.1872805705400528e-22,3.2983422781984673e+24,2.566281959378083e-14,3.30405404966923e+24,2.5903722518571822e-14,3.351762782075445e+24,2.6277273821402444e-14
