sigma,node,theta,z_real,z_imag,base_depth,primal_depth,dual_depth,primal_rouche_ratio,dual_weighted_rouche_ratio,computed_primal_dual_rouche_ratio,deep_primal_residual_to_forcing,dual_residual_to_rhs,one_sided_resolvent_coefficient,primal_dual_resolvent_coefficient,one_sided_resolvent_budget,primal_dual_resolvent_budget,budget_gain_factor,primal_correction_reconstruction_defect,corrected_feshbach_smallest_singular,corrected_determinant_phase
0.01,6,1.1780972450961724,-0.22289651395536714,-0.30832401643155255,36,52,44,1.698936087813934e-15,5.747237615720587e-15,5.846101767652162e-15,3.1069792893698216e-15,1.5273706810811529e-15,2.8139315864716417e-14,4.3550263090640257e-29,35537466682119.57,2.2961973798383604e+28,646134233590059.5,1.3353692255216822e-16,0.033968232480285056,2.662447880022413
0.01,6,1.1780972450961724,-0.22289651395536714,-0.30832401643155255,36,52,52,1.698936087813934e-15,5.747237615720585e-15,5.846101767652163e-15,3.1069792893698216e-15,1.5300556898871718e-15,2.8139315864716417e-14,4.3887453056238344e-29,35537466682119.57,2.2785555560004184e+28,641169945056004.1,1.3353692255216822e-16,0.033968232480285056,2.662447880022413
0.01,7,1.3744467859455345,-0.27213947267254324,-0.2933863282136839,36,52,36,1.411643162609124e-15,5.173737276345408e-15,5.2156031581866305e-15,2.769414451349356e-15,1.4739020317320155e-15,2.099546882053706e-14,2.722662772587381e-29,47629324619883.33,3.6728749886629627e+28,771137323062037.5,1.0569633883179277e-16,0.04673367792340394,2.316676024289631
0.01,7,1.3744467859455345,-0.27213947267254324,-0.2933863282136839,36,52,44,1.411643162609124e-15,5.173737276345408e-15,5.2156031581866305e-15,2.769414451349356e-15,1.4739016554362005e-15,2.099546882053706e-14,2.7226729980817236e-29,47629324619883.33,3.672861194511978e+28,771134426915368.5,1.0569633883179277e-16,0.04673367792340394,2.316676024289631
0.01,7,1.3744467859455345,-0.27213947267254324,-0.2933863282136839,36,52,52,1.411643162609124e-15,5.173737276345407e-15,5.2156031581866305e-15,2.769414451349356e-15,1.4270286313315624e-15,2.099546882053706e-14,2.746288103719046e-29,47629324619883.33,3.6412785630385483e+28,764503505371659.4,1.0569633883179277e-16,0.04673367792340394,2.316676024289631
0.01,8,1.5707963267948966,-0.3233504401504541,-0.28834248815950636,36,52,36,2.907761698092048e-17,2.81734528041807e-15,2.8104763171224663e-15,2.3685267358414153e-15,1.1182905184648256e-15,1.4344998436460824e-14,1.5370807762014286e-29,69710708190688.27,6.505838960989979e+28,933262497232671.6,6.38993375470927e-18,0.06486690886955128,2.014148605193639
0.01,8,1.5707963267948966,-0.3233504401504541,-0.28834248815950636,36,52,44,2.907761698092048e-17,2.81734528041807e-15,2.8104763171224663e-15,2.3685267358414153e-15,1.117511001119684e-15,1.4344998436460824e-14,1.5366682700958226e-29,69710708190688.27,6.50758540057341e+28,933513023963608.5,6.38993375470927e-18,0.06486690886955128,2.014148605193639
0.01,8,1.5707963267948966,-0.3233504401504541,-0.28834248815950636,36,52,52,2.907761698092048e-17,2.8173452804180702e-15,2.810476317122466e-15,2.3685267358414153e-15,1.113719170828146e-15,1.4344998436460824e-14,1.5450379899211075e-29,69710708190688.27,6.472332761546265e+28,928456033446353.4,6.38993375470927e-18,0.06486690886955128,2.014148605193639
0.01,9,1.7671458676442586,-0.37456140762836493,-0.2933863282136839,36,52,36,4.4931657061467595e-17,1.83492859524479e-15,1.8373719968361776e-15,2.1074584830619664e-15,9.824979938311261e-16,1.0034389411903593e-14,9.467154210354429e-30,99657284459552.69,1.0562836284068097e+29,1059916125685240.1,5.48678736091803e-17,0.08902449711205526,1.841145743670821
0.01,9,1.7671458676442586,-0.37456140762836493,-0.2933863282136839,36,52,44,4.4931657061467595e-17,1.83492859524479e-15,1.8373719968361776e-15,2.1074584830619664e-15,9.824979938311261e-16,1.0034389411903593e-14,9.467154210354429e-30,99657284459552.69,1.0562836284068097e+29,1059916125685240.1,5.48678736091803e-17,0.08902449711205526,1.841145743670821
0.01,9,1.7671458676442586,-0.37456140762836493,-0.2933863282136839,36,52,52,4.4931657061467595e-17,1.83492859524479e-15,1.837371996836179e-15,2.1074584830619664e-15,9.885226704172033e-16,1.0034389411903593e-14,9.380419841734308e-30,99657284459552.69,1.0660503654121223e+29,1069716449924735.6,5.48678736091803e-17,0.08902449711205526,1.841145743670821
0.01,10,1.9634954084936207,-0.4238043663455411,-0.30832401643155255,36,52,36,0.0,1.0137722816958296e-15,1.0137722816958296e-15,1.810249507954398e-15,8.502009495170097e-16,6.771578409344296e-15,5.399414757289077e-30,147676057124299.28,1.8520525741239336e+29,1254131922390815.5,0.0,0.11808462648614719,1.8056970291666006
0.01,10,1.9634954084936207,-0.4238043663455411,-0.30832401643155255,36,52,44,0.0,1.0137722816958296e-15,1.0137722816958296e-15,1.810249507954398e-15,8.502009495170097e-16,6.771578409344296e-15,5.399414757289077e-30,147676057124299.28,1.8520525741239336e+29,1254131922390815.5,0.0,0.11808462648614719,1.8056970291666006
