sigma,node,theta,z_real,z_imag,all_gmres_solves_converged,total_gmres_iterations,maximum_column_gmres_iterations,true_residual_to_forcing,full_minus_arnoldi_norm,directional_rouche_ratio,full_feshbach_smallest_singular,determinant_phase
0.01,0,0.0,-0.06085168086460302,-0.5508412474453575,1,83,21,2.720315372627443e-13,2.848513169302494e-14,3.7541331403009996e-13,0.05530052779529272,0.2275114149236645
0.01,1,0.09817477042468103,-0.06211568413877355,-0.5251118697201006,1,83,21,7.780685696553558e-13,9.457508906667274e-14,1.5340152487381786e-12,0.04214832673837785,0.2693115489829121
0.01,2,0.19634954084936207,-0.06589552091878054,-0.49963027996744663,1,84,21,1.4429542077050943e-12,2.9349366569526445e-13,6.258928093569687e-12,0.030287167833713893,0.30784379106173587
0.01,3,0.2945243112740431,-0.0721547893101635,-0.47464187982636735,1,87,22,2.392614186009946e-13,5.4103651135493276e-14,7.244240465519496e-13,0.019879794850138348,0.38739252764999205
0.01,4,0.39269908169872414,-0.08083320913664921,-0.4503873212502705,1,87,22,1.0314462525688612e-12,3.049176772047987e-13,7.25859423014466e-12,0.011482726206672279,0.8018499555517604
0.01,5,0.4908738521234052,-0.09184720247120182,-0.4271001888971342,1,91,23,9.716114557438351e-14,4.7258204677198193e-14,1.0800622616261677e-12,0.01791745265410857,2.6394822133175104
0.01,6,0.5890486225480862,-0.10509069853714836,-0.4050047505815607,1,91,23,1.3661554498054375e-13,4.79110071945718e-14,8.639217050641822e-13,0.01787713095506302,-2.483820221787452
0.01,7,0.6872233929727672,-0.1204361552277424,-0.3843137974531241,1,91,23,1.6315238611105195e-13,4.7807871355913036e-14,8.837966411998738e-13,0.01635235403078844,-2.6508455224060787
0.01,8,0.7853981633974483,-0.13773578740637357,-0.36522659470127694,1,91,23,2.2119378650283065e-13,6.817805168937298e-14,1.0433600799249634e-12,0.0184208914426364,-2.911244094984632
0.01,9,0.8835729338221293,-0.1568229901582208,-0.34792696252264577,1,91,23,2.882118999479195e-13,9.796039692103841e-14,1.168299603528973e-12,0.021484136881260225,-3.1261952307915535
0.01,10,0.9817477042468103,-0.17751394328665732,-0.3325815058320517,1,91,23,3.2829909179089225e-13,1.22843331717217e-13,1.1612019213196653e-12,0.0250371828701134,2.979967801938109
0.01,11,1.0799224746714913,-0.1996093816022308,-0.31933800976610516,1,91,23,3.081726792168531e-13,1.219408738994292e-13,9.275737671227794e-13,0.029132855331525067,2.8220372959842384
0.01,12,1.1780972450961724,-0.22289651395536714,-0.30832401643155255,1,91,23,2.3398222789039474e-13,9.394535189985642e-14,5.980645516869327e-13,0.03396823248028483,2.6624478800223987
0.01,13,1.2762720155208536,-0.247151072531464,-0.2996455966050668,1,91,23,1.4593422288325696e-13,5.6520295848254356e-14,3.101130319714621e-13,0.03976526817127924,2.4916355878551304
0.01,14,1.3744467859455345,-0.27213947267254324,-0.2933863282136839,1,90,23,8.15542499927223e-13,1.6366155939169207e-13,4.372596590368778e-13,0.04673367792340644,2.3166760242895608
0.01,15,1.4726215563702154,-0.29762106242519726,-0.28960649143367695,1,88,22,1.12076269459076e-12,5.456079445549324e-13,1.532773172623253e-12,0.055056119539153715,2.1528377131025325
0.01,16,1.5707963267948966,-0.3233504401504541,-0.28834248815950636,1,87,22,8.433905185744721e-13,3.3721356453696166e-13,8.365123538157827e-13,0.06486690886955677,2.014148605193186
0.01,17,1.6689710972195777,-0.34907981787571096,-0.2896064914336769,1,87,22,3.5101267917176977e-13,1.295507945470951e-13,2.9231041488191977e-13,0.0762146833339553,1.9092776098686404
0.01,18,1.7671458676442586,-0.37456140762836493,-0.2933863282136839,1,87,22,1.3946002384162143e-13,4.68225981241174e-14,9.875003551229005e-14,0.0890244971120605,1.8411457436708327
0.01,19,1.8653206380689396,-0.39954980776944415,-0.2996455966050668,1,84,21,1.1967726423227058e-12,4.1209360261248005e-13,1.3926576475409474e-12,0.10308658302227076,1.8081114619577745
0.01,20,1.9634954084936207,-0.4238043663455411,-0.30832401643155255,1,83,21,7.687591248581939e-13,1.6829146336740176e-13,4.502872216016356e-13,0.11808462648616792,1.8056970291664094
0.01,21,2.061670178918302,-0.44709149869867737,-0.31933800976610516,1,83,21,3.0846285466207663e-13,5.946851244139175e-14,1.4504562312452096e-13,0.13365116410831818,1.8283095515859549
0.01,22,2.1598449493429825,-0.4691869370142508,-0.33258150583205165,1,81,21,1.4057406516724814e-12,2.6148880787794657e-13,7.766208293725762e-13,0.1494248709475867,1.8705535672561964
0.01,23,2.2580197197676637,-0.4898778901426874,-0.3479269625226457,1,80,20,1.0087857397365115e-12,1.1123805873228328e-13,3.0926471137339236e-13,0.16509032385261313,1.9279444009696411
0.01,24,2.356194490192345,-0.5089650928945346,-0.36522659470127694,1,80,20,4.416489604547139e-13,4.625758783224286e-14,1.2081143717767488e-13,0.1803949287910172,1.9970928124903558
0.01,25,2.454369260617026,-0.5262647250731658,-0.3843137974531241,1,79,20,6.243381234871061e-13,8.986828097319128e-14,2.087502309545795e-13,0.19514824614139764,2.0755752355711605
0.01,26,2.552544031041707,-0.5416101817637599,-0.4050047505815607,1,79,20,3.0668173264158295e-13,4.009531536414918e-14,8.824872713312105e-14,0.20921210992579573,2.161693296178593
0.01,27,2.650718801466388,-0.5548536778297064,-0.42710018889713414,1,78,20,8.883355127441421e-13,2.472764099451426e-13,4.0256169995395493e-13,0.22248822194274104,2.254243424566069
0.01,28,2.748893571891069,-0.565867671164259,-0.4503873212502704,1,76,19,1.113284124857411e-12,3.2381613409527403e-13,6.176235313807967e-13,0.23490688976056448,2.3523413475473336
0.01,29,2.84706834231575,-0.5745460909907447,-0.47464187982636735,1,76,19,6.238230121087875e-13,1.731362307191355e-13,3.1961417858104716e-13,0.24641822706043315,2.4553037941123077
0.01,30,2.945243112740431,-0.5808053593821276,-0.4996302799674465,1,76,19,3.65137409634422e-13,9.694504065673145e-14,1.740523413836118e-13,0.2569858485908859,2.56257439668327
0.01,31,3.043417883165112,-0.5845851961621347,-0.5251118697201006,1,75,19,9.175196247635626e-13,6.716326311731149e-14,1.0328729196103333e-13,0.26658259120543143,2.6736792490204158
0.01,32,3.141592653589793,-0.5858491994363052,-0.5508412474453575,1,75,19,5.986839432896422e-13,4.173890573145823e-14,6.254020775774273e-14,0.27518770992141933,2.7882007950939416
0.01,33,3.2397674240144743,-0.5845851961621347,-0.5765706251706143,1,74,19,1.0156532178185894e-12,6.538847836763721e-14,1.0614634360233144e-13,0.2827850821571881,2.905762461076465
0.01,34,3.3379421944391554,-0.5808053593821276,-0.6020522149232683,1,74,19,7.184492880792871e-13,4.548479396385722e-14,7.304969802664992e-14,0.2893620752496298,3.026019354558595
0.01,35,3.436116964863836,-0.5745460909907447,-0.6270406150643475,1,73,19,1.011279214468838e-12,3.932623972568805e-14,6.738883738572772e-14,0.29490884053230215,-3.1345330087967826
0.01,36,3.5342917352885173,-0.5658676711642591,-0.6512951736404444,1,72,18,1.0746212360111383e-12,5.439611379500974e-14,9.937518054934347e-14,0.29941787841663703,-3.009821646848351
0.01,37,3.6324665057131984,-0.5548536778297064,-0.6745823059935807,1,72,18,8.52782032079908e-13,4.2497896029946797e-14,7.727686089730386e-14,0.302883774954887,-2.8833111709543084
0.01,38,3.730641276137879,-0.54161018176376,-0.6966777443091541,1,72,18,7.025597534739628e-13,3.4501381808512246e-14,6.256556576831333e-14,0.3053030473332327,-2.7552652719314303
0.01,39,3.8288160465625602,-0.5262647250731658,-0.7173686974375907,1,72,18,6.00602507171733e-13,2.935945278144585e-14,5.327715769718156e-14,0.30667405958202504,-2.625934477922735
0.01,40,3.9269908169872414,-0.5089650928945346,-0.736455900189438,1,72,18,5.32651987550927e-13,2.588959573806642e-14,4.731945875502517e-14,0.306996985088628,-2.49555846726662
0.01,41,4.025165587411922,-0.48987789014268757,-0.7537555323680691,1,72,18,4.899261838523073e-13,2.3876308600338844e-14,4.4147442117959576e-14,0.30627380246352476,-2.364368313398177
0.01,42,4.123340357836604,-0.46918693701425085,-0.7691009890586632,1,72,18,4.672676971982567e-13,2.2880067538485627e-14,4.278722514749668e-14,0.30450831807809586,-2.2325887055711373
0.01,43,4.221515128261284,-0.4470914986986774,-0.7823444851246097,1,72,18,4.620980239668815e-13,2.2860401752419577e-14,4.3376614476597104e-14,0.3017062135611544,-2.1004401793996887
0.01,44,4.319689898685965,-0.42380436634554125,-0.7933584784591623,1,72,18,4.738166808196813e-13,2.3788689638967815e-14,4.575998891482083e-14,0.29787512064170363,-1.968141390307343
0.01,45,4.417864669110647,-0.3995498077694442,-0.8020368982856481,1,72,18,5.037949335001754e-13,2.5639180878908823e-14,5.054350580882268e-14,0.2930247296099041,-1.8359114672811825
0.01,46,4.516039439535327,-0.37456140762836504,-0.808296166677031,1,72,18,5.555440907715582e-13,2.8889757147553204e-14,5.853257805286538e-14,0.28716694183797403,-1.7039724923742567
0.01,47,4.614214209960009,-0.3490798178757109,-0.812076003457038,1,72,18,6.355272617161562e-13,3.384827867241133e-14,7.015630186934787e-14,0.2803160816874405,-1.572552163026641
0.01,48,4.71238898038469,-0.32335044015045417,-0.8133400067312085,1,72,18,7.544927522800694e-13,4.1366473851773726e-14,8.852805254434207e-14,0.2724891891309763,-1.4418867103089037
0.01,49,4.81056375080937,-0.2976210624251974,-0.812076003457038,1,72,18,9.29988536776588e-13,5.270557815554199e-14,1.169361491840177e-13,0.26370642191936733,-1.312224168350941
0.01,50,4.908738521234052,-0.2721394726725433,-0.808296166677031,1,72,18,1.1908091335031024e-12,7.005770950000348e-14,1.6164514890188964e-13,0.2539916054535692,-1.18382812126166
0.01,51,5.006913291658733,-0.24715107253146412,-0.8020368982856481,1,73,19,1.135266872792868e-12,4.649373489417668e-14,1.194906200803957e-13,0.24337297983644335,-1.0569820978681432
0.01,52,5.105088062083414,-0.22289651395536708,-0.7933584784591623,1,74,19,8.296103878468793e-13,6.062340530501533e-14,1.3041692134101945e-13,0.2318842066300093,-0.9319948474552016
0.01,53,5.203262832508095,-0.19960938160223088,-0.7823444851246097,1,75,19,4.802506408376347e-13,3.3645239663614e-14,6.72021825657349e-14,0.21956571152819945,-0.8092068193178477
0.01,54,5.301437602932776,-0.17751394328665746,-0.7691009890586633,1,75,19,7.224666119844215e-13,5.2480666143192316e-14,1.1113976863705526e-13,0.20646645072865186,-0.6889982951886577
0.01,55,5.399612373357457,-0.15682299015822077,-0.7537555323680691,1,76,19,2.788815355252311e-13,6.722078602996453e-14,1.6800254102558513e-13,0.19264619260745308,-0.5717997960896082
0.01,56,5.497787143782138,-0.13773578740637363,-0.736455900189438,1,76,19,4.687298825197118e-13,1.171616236930425e-13,3.1323572490277815e-13,0.17817839198669047,-0.4581056057862668
0.01,57,5.595961914206819,-0.12043615522774248,-0.7173686974375909,1,76,19,8.253162498877114e-13,2.1494797963948735e-13,6.189491835351896e-13,0.16315368447977646,-0.34849149445074684
0.01,58,5.6941366846315,-0.10509069853714836,-0.6966777443091542,1,76,19,1.5241159419522535e-12,4.148832252244839e-13,1.2987234719460786e-12,0.14768391703725006,-0.24363787481917779
0.01,59,5.792311455056181,-0.09184720247120187,-0.6745823059935808,1,79,20,2.250149020765231e-13,3.688793919181239e-14,2.2301099889763146e-13,0.1319064243709218,-0.14435933312375065
0.01,60,5.890486225480862,-0.08083320913664926,-0.6512951736404446,1,79,20,4.601422186499074e-13,8.301221440384894e-14,5.607242823186356e-13,0.11598792769070373,-0.05163979409062586
0.01,61,5.988660995905543,-0.0721547893101635,-0.6270406150643476,1,80,20,3.1517690294427896e-13,6.885785775064626e-14,3.8160109145890896e-13,0.10012696696816593,0.03333306393610332
0.01,62,6.086835766330224,-0.06589552091878059,-0.6020522149232684,1,80,20,7.42232060315626e-13,1.7762654659227788e-13,1.1371800509487536e-12,0.08455324749432101,0.10915721837958013
0.01,63,6.1850105367549055,-0.06211568413877355,-0.5765706251706142,1,81,21,1.126897921281326e-12,4.456760478023152e-13,3.3335558937389228e-12,0.06952187828712016,0.1743014869822267
