column,gmres_info,gmres_iterations,initial_residual_to_forcing,final_residual_to_forcing,sigma,worst_node,z_real,z_imag
0,0,0,2.2407938320923036e-15,2.2407938320923036e-15,0.01,4,-0.13773578740637357,-0.36522659470127694
1,0,0,3.649407272936023e-15,3.649407272936023e-15,0.01,4,-0.13773578740637357,-0.36522659470127694
2,0,0,2.774504718447723e-15,2.774504718447723e-15,0.01,4,-0.13773578740637357,-0.36522659470127694
3,0,0,3.2560250356887847e-15,3.2560250356887847e-15,0.01,4,-0.13773578740637357,-0.36522659470127694
0,0,0,3.2147144428668934e-15,3.2147144428668934e-15,0.004,6,0.055120913291228923,-0.4935268576089632
1,0,0,1.50428376082797e-14,1.50428376082797e-14,0.004,6,0.055120913291228923,-0.4935268576089632
2,0,0,5.430229710245022e-15,5.430229710245022e-15,0.004,6,0.055120913291228923,-0.4935268576089632
3,0,0,6.797802664109902e-15,6.797802664109902e-15,0.004,6,0.055120913291228923,-0.4935268576089632
4,0,0,8.358341435270944e-15,8.358341435270944e-15,0.004,6,0.055120913291228923,-0.4935268576089632
0,0,0,3.5403041157031457e-15,3.5403041157031457e-15,0.002,9,0.17559861381360542,-0.5018794354019703
1,0,1,3.8104981527330994e-14,1.28304341408038e-14,0.002,9,0.17559861381360542,-0.5018794354019703
2,0,1,2.0979303196171414e-14,6.061456616657885e-15,0.002,9,0.17559861381360542,-0.5018794354019703
3,0,0,1.3505250682075598e-14,1.3505250682075598e-14,0.002,9,0.17559861381360542,-0.5018794354019703
4,0,0,1.3623236548134483e-14,1.3623236548134483e-14,0.002,9,0.17559861381360542,-0.5018794354019703
5,0,0,1.710132995470675e-14,1.710132995470675e-14,0.002,9,0.17559861381360542,-0.5018794354019703
0,0,0,1.1847727926101576e-14,1.1847727926101576e-14,0.001,11,0.2609102304173899,-0.4685838108213959
1,0,16,1.7117214613021768e-13,1.9391373905373972e-14,0.001,11,0.2609102304173899,-0.4685838108213959
2,0,2,6.531825386023911e-14,1.9469798155706946e-14,0.001,11,0.2609102304173899,-0.4685838108213959
3,0,1,5.31233157736485e-14,1.9210003979357555e-14,0.001,11,0.2609102304173899,-0.4685838108213959
4,0,1,4.93320729375972e-14,1.619517589494742e-14,0.001,11,0.2609102304173899,-0.4685838108213959
5,0,1,4.042597000058907e-14,1.411168312888784e-14,0.001,11,0.2609102304173899,-0.4685838108213959
6,0,1,4.855905995981835e-14,1.5726704052561512e-14,0.001,11,0.2609102304173899,-0.4685838108213959
0,0,1,2.1710996495625107e-14,7.515846269423956e-15,0.0005,8,0.3002849031543217,-0.4597883562310625
1,0,3,9.59685718794471e-14,1.963187299737714e-14,0.0005,8,0.3002849031543217,-0.4597883562310625
2,0,1,6.151663385204973e-14,1.9560559007725338e-14,0.0005,8,0.3002849031543217,-0.4597883562310625
3,0,1,3.376330214457462e-14,1.0764011667269295e-14,0.0005,8,0.3002849031543217,-0.4597883562310625
4,0,1,3.815977406579633e-14,1.3016189058743012e-14,0.0005,8,0.3002849031543217,-0.4597883562310625
5,0,1,2.3927112845098087e-14,9.17677525022022e-15,0.0005,8,0.3002849031543217,-0.4597883562310625
6,0,1,2.0842047394756265e-14,6.622869760220177e-15,0.0005,8,0.3002849031543217,-0.4597883562310625
0,0,25,2.794461955220979e-13,1.6969814094300554e-14,0.0002,10,0.3618184301666445,-0.43008984856589627
1,0,30,3.233217135177048e-13,1.7377006865324376e-14,0.0002,10,0.3618184301666445,-0.43008984856589627
2,0,16,2.1512034508971775e-13,1.925510705260874e-14,0.0002,10,0.3618184301666445,-0.43008984856589627
3,0,12,9.415061272191583e-14,1.88282395235521e-14,0.0002,10,0.3618184301666445,-0.43008984856589627
4,0,30,7.228551157624778e-13,1.3584244334930051e-14,0.0002,10,0.3618184301666445,-0.43008984856589627
5,0,31,1.2297120411066175e-12,1.531650040042032e-14,0.0002,10,0.3618184301666445,-0.43008984856589627
6,0,33,2.046293995578827e-12,1.31946047308587e-14,0.0002,10,0.3618184301666445,-0.43008984856589627
7,0,32,1.7397856152366042e-12,1.845236663314812e-14,0.0002,10,0.3618184301666445,-0.43008984856589627
0,0,39,1.5965743387670775e-11,1.562245540984634e-14,0.0001,12,0.4010538961395984,-0.40187277025338
1,0,31,7.938407399103096e-13,1.7282673288754994e-14,0.0001,12,0.4010538961395984,-0.40187277025338
2,0,31,5.882995013095648e-13,1.5590339433513328e-14,0.0001,12,0.4010538961395984,-0.40187277025338
3,0,31,3.1529029795697893e-13,1.615765845626227e-14,0.0001,12,0.4010538961395984,-0.40187277025338
4,0,29,1.6199573684733895e-13,1.4100101604501556e-14,0.0001,12,0.4010538961395984,-0.40187277025338
5,0,31,2.7751073689428495e-13,1.3920290148909449e-14,0.0001,12,0.4010538961395984,-0.40187277025338
6,0,37,3.670928806150347e-12,1.678892007745492e-14,0.0001,12,0.4010538961395984,-0.40187277025338
7,0,37,1.820456369653948e-11,1.4953190921505227e-14,0.0001,12,0.4010538961395984,-0.40187277025338
8,0,38,6.478733408990568e-12,1.1112697040943867e-14,0.0001,12,0.4010538961395984,-0.40187277025338
