sigma,node,theta,z_real,z_imag,base_depth,middle_depth,maximum_depth,first_increment_rouche_ratio,second_increment_rouche_ratio,total_extended_rouche_ratio,increment_is_informative,observed_contraction_ratio,conditional_geometric_total,conditional_tail_admissible,base_true_residual_to_forcing,deep_true_residual_to_forcing,base_reported_residual_bound,deep_reported_residual_bound,feshbach_reconstruction_error,base_smallest_feshbach_singular,deep_smallest_feshbach_singular,base_absolute_residual_norm,deep_absolute_residual_norm,forcing_norm
0.01,0,0.0,-0.06085168086460302,-0.5508412474453575,36,44,52,0.0,0.0,0.0,0,,,0,1.4433425109578535e-15,1.443312440648565e-15,3.3386733814173246e-16,3.3386733814173246e-16,3.9329762204475713e-16,0.055300527795300286,0.055300527795300286,1.5448721747068459e-15,1.5448399891488428e-15,1.0703434305981978
0.01,1,0.19634954084936207,-0.06589552091878054,-0.49963027996744663,36,44,52,0.0,3.508581535577619e-16,3.508581535577619e-16,0,,,0,1.7465440565070267e-15,1.741415129355444e-15,4.688817647932721e-16,4.688817647932721e-16,4.3286478111543253e-16,0.030287167833794294,0.030287167833794353,1.8694019571326235e-15,1.8639122436499103e-15,1.0703434305981978
0.01,2,0.39269908169872414,-0.08083320913664921,-0.4503873212502705,36,44,52,0.0,3.0472028073264744e-15,3.0472028073264744e-15,0,,,0,2.697145430873107e-15,2.701325411901574e-15,9.220801916379061e-16,9.220801916379061e-16,4.722145448560269e-16,0.011482726206679133,0.011482726206679133,2.8868718933029756e-15,2.8913459085368207e-15,1.0703434305981978
0.01,3,0.5890486225480862,-0.10509069853714836,-0.4050047505815607,36,44,52,1.901759513266849e-15,3.965676437683421e-15,4.592004108490304e-15,0,,,0,4.1247428644216785e-15,4.130591507309042e-15,1.4839160306359834e-15,1.4839160306359832e-15,7.228969674515932e-16,0.017877130955062555,0.01787713095506263,4.414891427840537e-15,4.421151484332941e-15,1.0703434305981978
0.01,4,0.7853981633974483,-0.13773578740637357,-0.36522659470127694,36,44,52,3.237488915762148e-15,4.67982322998269e-15,6.395584356772917e-15,0,,,0,3.011829962277755e-15,2.9874690833038005e-15,1.1017005828632237e-15,1.101700582863224e-15,8.667231246529894e-16,0.01842089144263657,0.01842089144263657,3.2236924142028128e-15,3.197617907429443e-15,1.0703434305981978
0.01,5,0.9817477042468103,-0.17751394328665732,-0.3325815058320517,36,44,52,2.6504652067776305e-15,6.308811674901441e-15,4.682400476928439e-15,0,,,0,3.1246220890468836e-15,3.157658612855225e-15,1.1280783563174794e-15,1.1280783563174794e-15,7.272692404051591e-16,0.025037182870112695,0.025037182870112685,3.344418726113349e-15,3.379779152341408e-15,1.0703434305981978
0.01,6,1.1780972450961724,-0.22289651395536714,-0.30832401643155255,36,44,52,3.8953999895422226e-15,4.185065586791848e-15,2.124118772532773e-15,0,,,0,3.0981539449202416e-15,3.1069792893698216e-15,1.0450040972381487e-15,1.0450040972381487e-15,6.954077805424819e-16,0.033968232480284966,0.033968232480285056,3.3160887219272712e-15,3.3255348713816454e-15,1.0703434305981978
0.01,7,1.3744467859455345,-0.27213947267254324,-0.2933863282136839,36,44,52,5.220420756243326e-17,7.539162345909336e-16,7.555039608334564e-16,0,,,0,2.7608376701752416e-15,2.769414451349356e-15,8.470618770523937e-16,8.470618770523937e-16,8.896087536668636e-16,0.04673367792340411,0.046733677923404125,2.9550444632201038e-15,2.9642245646054952e-15,1.0703434305981978
0.01,8,1.5707963267948966,-0.3233504401504541,-0.28834248815950636,36,44,52,0.0,0.0,0.0,0,,,0,2.368146609810328e-15,2.3685267358414153e-15,6.666365043585634e-16,6.666365043585634e-16,5.524849171181008e-16,0.06486690886955111,0.06486690886955111,2.5347301665038786e-15,2.535137031904052e-15,1.0703434305981978
0.01,9,1.7671458676442586,-0.37456140762836493,-0.2933863282136839,36,44,52,5.905252433809636e-16,0.0,5.905252433809636e-16,0,,,0,2.1085773963010045e-15,2.1074584830619664e-15,5.28368253121671e-16,5.28368253121671e-16,6.630644368638188e-16,0.08902449711205533,0.08902449711205529,2.2569019640386327e-15,2.255704342603819e-15,1.0703434305981978
0.01,10,1.9634954084936207,-0.4238043663455411,-0.30832401643155255,36,44,52,0.0,0.0,0.0,0,,,0,1.810249507954398e-15,1.810249507954398e-15,4.2116515263745293e-16,4.2116515263745293e-16,4.3368433842727605e-16,0.11808462648614734,0.11808462648614734,1.93758866858261e-15,1.93758866858261e-15,1.0703434305981978
0.01,11,2.1598449493429825,-0.4691869370142508,-0.33258150583205165,36,44,52,0.0,0.0,0.0,0,,,0,1.5632982756954918e-15,1.5666534623320023e-15,3.374777606590214e-16,3.374777606590214e-16,3.47728771582967e-16,0.1494248709476323,0.1494248709476323,1.6732660394561599e-15,1.6768572414309798e-15,1.0703434305981978
0.01,12,2.356194490192345,-0.5089650928945346,-0.36522659470127694,36,44,52,0.0,0.0,0.0,0,,,0,1.3173901553801632e-15,1.3173901553801632e-15,2.7399941224593884e-16,2.7399941224593884e-16,2.836683988196944e-16,0.1803949287910226,0.1803949287910226,1.4100598983458966e-15,1.4100598983458966e-15,1.0703434305981978
0.01,13,2.552544031041707,-0.5416101817637599,-0.4050047505815607,36,44,52,0.0,0.0,0.0,0,,,0,1.2113488058008546e-15,1.2080154152309746e-15,2.272994807853207e-16,2.272994807853207e-16,3.135389714195286e-16,0.20921210992579295,0.20921210992579295,1.2965592364519169e-15,1.2929913637538278e-15,1.0703434305981978
0.01,14,2.748893571891069,-0.565867671164259,-0.4503873212502704,36,44,52,0.0,0.0,0.0,0,,,0,1.1448630964142756e-15,1.1448630964142756e-15,1.9342458536465456e-16,1.9342458536465456e-16,2.3970118738843235e-16,0.23490688976057197,0.23490688976057197,1.2253966941813312e-15,1.2253966941813312e-15,1.0703434305981978
0.01,15,2.945243112740431,-0.5808053593821276,-0.4996302799674465,36,44,52,0.0,0.0,0.0,0,,,0,9.5578130838982e-16,9.544190455056833e-16,1.6887980855448665e-16,1.6887980855448665e-16,2.6406713798834355e-16,0.25698584859091034,0.25698584859091034,1.023014244523594e-15,1.0215561553948106e-15,1.0703434305981978
0.01,16,3.141592653589793,-0.5858491994363052,-0.5508412474453575,36,44,52,0.0,0.0,0.0,0,,,0,9.512914288302795e-16,9.512914288302795e-16,1.5104077065776188e-16,1.5104077065776188e-16,2.4520578657063445e-16,0.27518770992143166,0.27518770992143166,1.0182085314328626e-15,1.0182085314328626e-15,1.0703434305981978
0.01,17,3.3379421944391554,-0.5808053593821276,-0.6020522149232683,36,44,52,0.0,0.0,0.0,0,,,0,8.826189738212299e-16,8.826189738212299e-16,1.3808207545361527e-16,1.3808207545361527e-16,2.0013749529771647e-16,0.2893620752496386,0.2893620752496386,9.447054203508762e-16,9.447054203508762e-16,1.0703434305981978
0.01,18,3.5342917352885173,-0.5658676711642591,-0.6512951736404444,36,44,52,0.0,0.0,0.0,0,,,0,8.091796458634612e-16,8.091796458634612e-16,1.2877533742808896e-16,1.2877533742808896e-16,1.2981192047344415e-16,0.2994178784166269,0.2994178784166269,8.661001181237319e-16,8.661001181237319e-16,1.0703434305981978
0.01,19,3.730641276137879,-0.54161018176376,-0.6966777443091541,36,44,52,0.0,0.0,0.0,0,,,0,8.1154334047137985e-16,8.1154334047137985e-16,1.2230873798691719e-16,1.2230873798691719e-16,1.6607500134573995e-16,0.30530304733323416,0.30530304733323416,8.686300831192579e-16,8.686300831192579e-16,1.0703434305981978
0.01,20,3.9269908169872414,-0.5089650928945346,-0.736455900189438,36,44,52,0.0,0.0,0.0,0,,,0,7.91431794998504e-16,7.914382301361209e-16,1.1815903598307558e-16,1.1815903598307558e-16,2.639905833824951e-16,0.3069969850886331,0.3069969850886331,8.471038225431884e-16,8.471107103504617e-16,1.0703434305981978
0.01,21,4.123340357836604,-0.46918693701425085,-0.7691009890586632,36,44,52,0.0,0.0,0.0,0,,,0,7.766720964398286e-16,7.766720964398286e-16,1.1600939387238864e-16,1.1600939387238864e-16,2.1753926931487072e-16,0.3045083180780979,0.3045083180780979,8.313058761533005e-16,8.313058761533005e-16,1.0703434305981978
0.01,22,4.319689898685965,-0.42380436634554125,-0.7933584784591623,36,44,52,0.0,0.0,0.0,0,,,0,7.470717738618853e-16,7.470717374065222e-16,1.1570099763410286e-16,1.1570099763410286e-16,1.942028548473951e-16,0.297875120641701,0.297875120641701,7.996233653384114e-16,7.996233263186529e-16,1.0703434305981978
0.01,23,4.516039439535327,-0.37456140762836504,-0.808296166677031,36,44,52,0.0,0.0,0.0,0,,,0,7.892824091019897e-16,7.892824091019897e-16,1.172095496725508e-16,1.172095496725508e-16,2.3331103720461656e-16,0.2871669418379694,0.2871669418379694,8.448032414690339e-16,8.448032414690339e-16,1.0703434305981978
0.01,24,4.71238898038469,-0.32335044015045417,-0.8133400067312085,36,44,52,0.0,0.0,0.0,0,,,0,8.123322077030999e-16,8.123322077030999e-16,1.2064208692999893e-16,1.2064208692999893e-16,2.3778212270705163e-16,0.27248918913097625,0.27248918913097625,8.694744419783436e-16,8.694744419783436e-16,1.0703434305981978
0.01,25,4.908738521234052,-0.2721394726725433,-0.808296166677031,36,44,52,0.0,0.0,0.0,0,,,0,7.778188295669168e-16,7.778188295669168e-16,1.2625390704087385e-16,1.2625390704087385e-16,2.633025100207911e-16,0.2539916054535773,0.2539916054535773,8.325332744225287e-16,8.325332744225287e-16,1.0703434305981978
0.01,26,5.105088062083414,-0.22289651395536708,-0.7933584784591623,36,44,52,0.0,0.0,0.0,0,,,0,7.983908849537391e-16,7.983908849537391e-16,1.3449025639684177e-16,1.3449025639684177e-16,2.448680627667229e-16,0.2318842066300086,0.2318842066300086,8.545524387597162e-16,8.545524387597162e-16,1.0703434305981978
0.01,27,5.301437602932776,-0.17751394328665746,-0.7691009890586633,36,44,52,0.0,0.0,0.0,0,,,0,8.446426477870769e-16,8.446426477870769e-16,1.4606447864255782e-16,1.4606447864255782e-16,2.64220936972988e-16,0.20646645072866338,0.20646645072866338,9.040577092619652e-16,9.040577092619652e-16,1.0703434305981978
0.01,28,5.497787143782138,-0.13773578740637363,-0.736455900189438,36,44,52,0.0,0.0,0.0,0,,,0,8.797742502858133e-16,8.797742502858133e-16,1.620971950646262e-16,1.620971950646262e-16,2.3129953534933055e-16,0.17817839198666788,0.17817839198666788,9.416605892028749e-16,9.416605892028749e-16,1.0703434305981978
0.01,29,5.6941366846315,-0.10509069853714836,-0.6966777443091542,36,44,52,0.0,0.0,0.0,0,,,0,9.539191621900227e-16,9.539191837551322e-16,1.8437018847506715e-16,1.8437018847506715e-16,2.1925774186265107e-16,0.1476839170371294,0.1476839170371294,1.0210211085718276e-15,1.0210211316539009e-15,1.0703434305981978
0.01,30,5.890486225480862,-0.08083320913664926,-0.6512951736404446,36,44,52,0.0,0.0,0.0,0,,,0,1.0692751637782735e-15,1.06912774155337e-15,2.1583217340780296e-16,2.1583217340780296e-16,3.4401473534347633e-16,0.11598792769072906,0.11598792769072906,1.144491647051887e-15,1.1443338546419373e-15,1.0703434305981978
0.01,31,6.086835766330224,-0.06589552091878059,-0.6020522149232684,36,44,52,0.0,0.0,0.0,0,,,0,1.2323510089817577e-15,1.2323510089817577e-15,2.6180562496176633e-16,2.6180562496176633e-16,3.2662705670731714e-16,0.08455324749426017,0.08455324749426017,1.319038806654685e-15,1.319038806654685e-15,1.0703434305981978
0.004,0,0.0,0.14807967319610055,-0.6326494733728317,42,50,58,2.6438681411689987e-16,0.0,2.6438681411689987e-16,0,,,0,1.8659178724188686e-15,1.8633836489651045e-15,4.446034260180976e-16,4.446034260180976e-16,4.261147924615706e-16,0.06819199760105968,0.06819199760105954,2.2665966269164023e-15,2.2635182157938872e-15,1.2147354717054706
0.004,1,0.19634954084936207,0.14518622014578178,-0.6032717515443988,42,50,58,2.159775691728839e-16,0.0,2.159775691728839e-16,0,,,0,2.068150462314083e-15,2.0656046168350433e-15,5.320944377034425e-16,5.320944377034425e-16,3.5847232713913445e-16,0.05372871486441978,0.05372871486441984,2.512255727396985e-15,2.5091631985881143e-15,1.2147354717054706
0.004,2,0.39269908169872414,0.13661705477288213,-0.5750229990906165,42,50,58,7.905923565366684e-16,0.0,7.905923565366684e-16,0,,,0,2.346543975033895e-15,2.3462062475536025e-15,6.583344727802135e-16,6.583344727802135e-16,4.824527653992149e-16,0.040252293787937196,0.04025229378793715,2.8504302023904284e-15,2.8500199528403475e-15,1.2147354717054706
0.004,3,0.5890486225480862,0.12270148529703878,-0.5489887997262005,42,50,58,1.089306799780363e-15,0.0,1.089306799780363e-15,0,,,0,2.7244034617966343e-15,2.7031602963424033e-15,8.526520499875496e-16,8.526520499875496e-16,4.2391988832908306e-16,0.0283681034981119,0.02836810349811185,3.3094295242815515e-15,3.2836246976729888e-15,1.2147354717054706
0.004,4,0.7853981633974483,0.10397427924926712,-0.5261696331325783,42,50,58,2.119096626611128e-15,0.0,2.119096626611128e-15,0,,,0,3.3391119975130166e-15,3.33032288938044e-15,1.2066356519039801e-15,1.2066356519039803e-15,5.983318780765325e-16,0.018637634000681226,0.018637634000681174,4.05613778737637e-15,4.045461345963074e-15,1.2147354717054706
0.004,5,0.9817477042468103,0.08115511265564489,-0.5074424270848066,42,50,58,6.69653415154709e-15,9.213708619121267e-16,6.689700241015444e-15,0,,,0,5.459902813813776e-15,5.525102477013712e-15,2.2030449921614886e-15,2.203044992161489e-15,9.181313863750587e-16,0.011964417767454955,0.011964417767455045,6.632337620004103e-15,6.711537963636316e-15,1.2147354717054706
0.004,6,1.1780972450961724,0.055120913291228923,-0.4935268576089632,42,50,58,1.5093567447091487e-14,4.9571288274255015e-15,1.4592608785355004e-14,0,,,0,8.128224795812305e-15,8.045948729639334e-15,3.288469713440176e-15,3.2884697134401767e-15,1.035611027711896e-15,0.013273469636168243,0.01327346963616827,9.873642981469162e-15,9.773699325416468e-15,1.2147354717054706
0.004,7,1.3744467859455345,0.026872160837446517,-0.48495769223606355,42,50,58,6.657993525021667e-15,4.6789689855657716e-15,5.7634490764859816e-15,0,,,0,4.877335355134927e-15,4.913773677148887e-15,2.0518394591074007e-15,2.0518394591074007e-15,8.161998389053278e-16,0.015203349706257223,0.015203349706257153,5.924672263285595e-15,5.9689351855653786e-15,1.2147354717054706
