sigma,node,theta,z_real,z_imag,base_depth,middle_depth,maximum_depth,first_increment_rouche_ratio,second_increment_rouche_ratio,total_extended_rouche_ratio,increment_is_informative,observed_contraction_ratio,conditional_geometric_total,conditional_tail_admissible,base_true_residual_to_forcing,deep_true_residual_to_forcing,base_reported_residual_bound,deep_reported_residual_bound,feshbach_reconstruction_error,base_smallest_feshbach_singular,deep_smallest_feshbach_singular,base_absolute_residual_norm,deep_absolute_residual_norm,forcing_norm
0.004,8,1.5707963267948966,-0.002505560990986357,-0.4820642391857448,42,50,58,7.461561192642014e-15,1.2457748991056499e-15,6.891085932606142e-15,0,,,0,4.307181133800797e-15,4.3545651254204575e-15,1.7309054837489845e-15,1.7309054837489847e-15,8.792721064557799e-16,0.02040075372187313,0.020400753721873173,5.232085706288414e-15,5.289644721699811e-15,1.2147354717054706
0.004,9,1.7671458676442586,-0.031883282819419226,-0.48495769223606355,42,50,58,2.932207838091513e-15,9.441812831988984e-17,2.9306951563234484e-15,0,,,0,4.147267378636914e-15,4.094750543566298e-15,1.5521445099710742e-15,1.5521445099710746e-15,7.621440024645791e-16,0.027690860799328167,0.027690860799328112,5.0378327954772225e-15,4.974038733055239e-15,1.2147354717054706
0.004,10,1.9634954084936207,-0.060132035273201635,-0.4935268576089632,42,50,58,1.7210991201695194e-15,0.0,1.7210991201695194e-15,0,,,0,3.854308951461878e-15,3.81037667095385e-15,1.35707139983717e-15,1.3570713998371702e-15,6.428408673651191e-16,0.03709701085859404,0.037097010858594064,4.6819658022526615e-15,4.628599702766646e-15,1.2147354717054706
0.004,11,2.1598449493429825,-0.08616623463761758,-0.5074424270848066,42,50,58,6.332198738411127e-16,0.0,6.332198738411127e-16,0,,,0,3.4055120084487753e-15,3.4250187566630076e-15,1.1482560313046574e-15,1.1482560313046574e-15,5.513318895179857e-16,0.048770203493885306,0.04877020349388508,4.1367962359816676e-15,4.160491774975123e-15,1.2147354717054706
0.004,12,2.356194490192345,-0.10898540123123984,-0.5261696331325783,42,50,58,1.3417109083602973e-15,0.0,1.3417109083602973e-15,0,,,0,2.9722048127386194e-15,2.989505048114596e-15,9.54665440004444e-16,9.546654400044443e-16,6.307944517897332e-16,0.06247919993296859,0.062479199932968556,3.6104426152073165e-15,3.631457824787369e-15,1.2147354717054706
0.004,13,2.552544031041707,-0.12771260727901151,-0.5489887997262005,42,50,58,5.314368265573896e-16,0.0,5.314368265573896e-16,0,,,0,2.722628840133232e-15,2.714748610536792e-15,7.894921150639219e-16,7.894921150639219e-16,5.2633422767597e-16,0.07751381073458546,0.07751381073458549,3.30727382839816e-15,3.297701433982181e-15,1.2147354717054706
0.004,14,2.748893571891069,-0.14162817675485487,-0.5750229990906164,42,50,58,1.7165348862892368e-16,0.0,1.7165348862892368e-16,0,,,0,2.395146849553804e-15,2.3965479933036673e-15,6.542195880753986e-16,6.542195880753986e-16,5.197185285143285e-16,0.09289984721518975,0.09289984721518978,2.909469838096612e-15,2.911171857110529e-15,1.2147354717054706
0.004,15,2.945243112740431,-0.1501973421277545,-0.6032717515443988,42,50,58,1.057415425240738e-16,0.0,1.057415425240738e-16,0,,,0,2.163381680991511e-15,2.1635190631227208e-15,5.466131076092675e-16,5.466131076092675e-16,6.420519304903332e-16,0.10772212471450125,0.10772212471450131,2.627936466738197e-15,2.628103349686156e-15,1.2147354717054706
0.004,16,3.141592653589793,-0.15309079517807328,-0.6326494733728317,42,50,58,1.4325284020106312e-17,0.0,1.4325284020106312e-17,0,,,0,1.947785954575797e-15,1.946971399504175e-15,4.630727870955281e-16,4.630727870955281e-16,3.3715619585780714e-16,0.12131151182822776,0.12131151182822764,2.366044690312921e-15,2.3650552213737645e-15,1.2147354717054706
0.004,17,3.3379421944391554,-0.1501973421277545,-0.6620271952012646,42,50,58,2.243486204862994e-16,0.0,2.243486204862994e-16,0,,,0,1.7696064866439572e-15,1.7621372577623834e-15,3.9938436826469513e-16,3.9938436826469503e-16,4.624844544639535e-16,0.13324653444185058,0.1332465344418506,2.1496037702865077e-15,2.140530633017773e-15,1.2147354717054706
0.004,18,3.5342917352885173,-0.14162817675485487,-0.690275947655047,42,50,58,0.0,0.0,0.0,0,,,0,1.625310497310298e-15,1.625310497310298e-15,3.5143293292015515e-16,3.5143293292015515e-16,2.5211596342207193e-16,0.14327344953025176,0.14327344953025176,1.974322313618078e-15,1.974322313618078e-15,1.2147354717054706
0.004,19,3.730641276137879,-0.12771260727901154,-0.7163101470194629,42,50,58,1.8527291467717487e-17,0.0,1.8527291467717487e-17,0,,,0,1.505958935420848e-15,1.505047301080394e-15,3.1570222465060145e-16,3.1570222465060145e-16,3.3592019817710284e-16,0.15123401119692273,0.15123401119692273,1.829341737787512e-15,1.828234343216938e-15,1.2147354717054706
0.004,20,3.9269908169872414,-0.10898540123123987,-0.7391293136130852,42,50,58,0.0,0.0,0.0,0,,,0,1.4546853788577158e-15,1.4546853788577158e-15,2.8944554935442474e-16,2.8944554935442474e-16,3.696124556410328e-16,0.15702487526323783,0.15702487526323783,1.7670579298697787e-15,1.7670579298697787e-15,1.2147354717054706
0.004,21,4.123340357836604,-0.0861662346376176,-0.7578565196608569,42,50,58,0.0,0.0,0.0,0,,,0,1.393726099641104e-15,1.393726099641104e-15,2.706431072949918e-16,2.706431072949918e-16,3.051647213694116e-16,0.16058027868100896,0.16058027868100896,1.693008531075762e-15,1.693008531075762e-15,1.2147354717054706
0.004,22,4.319689898685965,-0.06013203527320173,-0.7717720891367001,42,50,58,7.310929567464363e-18,0.0,7.310929567464363e-18,0,,,0,1.3197433719296116e-15,1.3194167051118323e-15,2.578807115901341e-16,2.578807115901341e-16,2.7631931984869223e-16,0.16186626433484225,0.16186626433484225,1.603139087431085e-15,1.6027422736600993e-15,1.2147354717054706
0.004,23,4.516039439535327,-0.031883282819419295,-0.7803412545095999,42,50,58,5.434036568556118e-18,0.0,5.434036568556118e-18,0,,,0,1.3595781650841285e-15,1.359428959777876e-15,2.5022709293669023e-16,2.5022709293669023e-16,3.987953957019318e-16,0.16087959989196812,0.16087959989196812,1.651527823683927e-15,1.6513465787058555e-15,1.2147354717054706
0.004,24,4.71238898038469,-0.002505560990986394,-0.7832347075599186,42,50,58,0.0,0.0,0.0,0,,,0,1.3209331097017636e-15,1.3211087207681984e-15,2.471401440527572e-16,2.471401440527572e-16,2.4789682241942774e-16,0.15764862896272042,0.15764862896272042,1.604584304104946e-15,1.6047976250965684e-15,1.2147354717054706
0.004,25,4.908738521234052,0.026872160837446514,-0.7803412545095999,42,50,58,0.0,0.0,0.0,0,,,0,1.275784845651229e-15,1.275784845651229e-15,2.484098987853591e-16,2.484098987853591e-16,2.7849547307688315e-16,0.1522353827234693,0.1522353827234693,1.5497411062768367e-15,1.5497411062768367e-15,1.2147354717054706
0.004,26,5.105088062083414,0.055120913291228944,-0.7717720891367001,42,50,58,0.0,0.0,0.0,0,,,0,1.3057646800018149e-15,1.30569186271703e-15,2.541391499919291e-16,2.541391499919291e-16,3.2937255440889553e-16,0.14473914964490733,0.14473914964490733,1.5861586744983473e-15,1.5860702207595659e-15,1.2147354717054706
0.004,27,5.301437602932776,0.08115511265564482,-0.7578565196608569,42,50,58,0.0,0.0,0.0,0,,,0,1.3494095119584567e-15,1.3495638005904388e-15,2.647635073474979e-16,2.647635073474979e-16,3.1724111284031193e-16,0.13530202712033246,0.13530202712033246,1.6391756000327047e-15,1.6393630199068544e-15,1.2147354717054706
0.004,28,5.497787143782138,0.1039742792492671,-0.7391293136130852,42,50,58,3.74840453758443e-18,0.0,3.74840453758443e-18,0,,,0,1.4355874963110659e-15,1.4356030869747994e-15,2.8111763414773184e-16,2.8111763414773184e-16,4.447028847264592e-16,0.12411703427081257,0.12411703427081257,1.743859054505898e-15,1.7438779930381627e-15,1.2147354717054706
0.004,29,5.6941366846315,0.12270148529703878,-0.7163101470194629,42,50,58,8.697123069548362e-18,0.0,8.697123069548362e-18,0,,,0,1.4464474749687246e-15,1.447185382697108e-15,3.0456263642679525e-16,3.0456263642679525e-16,3.146694666881564e-16,0.11143909242143672,0.11143909242143672,1.7570510558033204e-15,1.7579474184958333e-15,1.2147354717054706
0.004,30,5.890486225480862,0.13661705477288208,-0.6902759476550471,42,50,58,2.0796006845858925e-17,0.0,2.0796006845858925e-17,0,,,0,1.53295172023312e-15,1.5331244434275225e-15,3.3720271552478705e-16,3.3720271552478705e-16,3.551070478392942e-16,0.09759823648500057,0.0975982364850006,1.8621308309790916e-15,1.8623406439701185e-15,1.2147354717054706
0.004,31,6.086835766330224,0.14518622014578178,-0.6620271952012646,42,50,58,1.5569199809663947e-16,0.0,1.5569199809663947e-16,0,,,0,1.6901738774091097e-15,1.7049187170126216e-15,3.8224341951164313e-16,3.8224341951164313e-16,4.0013987881227017e-16,0.08301223799162676,0.08301223799162671,2.053114162238819e-15,2.0710252419298126e-15,1.2147354717054706
0.002,0,0.0,0.3149588792031821,-0.6162494494914493,46,54,62,3.056558423951392e-17,0.0,3.056558423951392e-17,0,,,0,2.393760568184206e-15,2.3923415144649187e-15,6.182949813643819e-16,6.182949813643819e-16,2.68080932015316e-16,0.06500293648866468,0.06500293648866465,2.8343836090762978e-15,2.8327033480444283e-15,1.1840714759648363
0.002,1,0.19634954084936207,0.31271823816286753,-0.5934998392316663,46,54,62,5.71844012738257e-17,0.0,5.71844012738257e-17,0,,,0,2.6354586651388343e-15,2.634947219171992e-15,7.103713485772092e-16,7.103713485772092e-16,2.5848730461652123e-16,0.05639796659741483,0.05639796659741483,3.120571431475257e-15,3.1199658428944214e-15,1.1840714759648363
0.002,2,0.39269908169872414,0.3060824216205371,-0.5716244837360381,46,54,62,2.1602280095026939e-16,1.2164701969799635e-17,2.157241959685026e-16,0,,,0,2.908110530371828e-15,2.91003235664581e-15,8.376634632045247e-16,8.376634632045247e-16,2.9355446558282655e-16,0.04767255069982949,0.047672550699829466,3.4434107279662534e-15,3.4456863076390352e-15,1.1840714759648363
0.002,3,0.5890486225480862,0.2953064402845038,-0.5514640406484215,46,54,62,1.5594836254969127e-15,0.0,1.5594836254969127e-15,0,,,0,3.3484286961129744e-15,3.3535019530438646e-15,1.0154967136915013e-15,1.0154967136915015e-15,3.4362957944362163e-16,0.039144148027786915,0.039144148027786985,3.964778908369502e-15,3.97078600719161e-15,1.1840714759648363
0.002,4,0.7853981633974483,0.28080440907427145,-0.5337932644905664,46,54,62,9.560563278791645e-16,6.508520332983419e-19,9.560561064705183e-16,0,,,0,3.880949830992625e-15,3.8872569902904e-15,1.2674173734277567e-15,1.2674173734277567e-15,5.323653698236685e-16,0.031122692009836767,0.031122692009836802,4.59532199452892e-15,4.602790121947781e-15,1.1840714759648363
0.002,5,0.9817477042468103,0.26313363291641645,-0.519291233280334,46,54,62,3.146178267964721e-15,1.5205927795797365e-15,2.444426584040567e-15,0,,,0,4.631592604354985e-15,4.630828219807024e-15,1.6318582465177198e-15,1.6318582465177198e-15,5.958509261872888e-16,0.0238932864013366,0.02389328640133661,5.484136691106427e-15,5.4832316051665185e-15,1.1840714759648363
0.002,6,1.1780972450961724,0.24297318982879973,-0.5085152519443007,46,54,62,6.350287383063392e-15,5.8485622190157344e-15,8.754733671004129e-15,0,,,0,5.687726045679746e-15,5.700552131821608e-15,2.184514475645858e-15,2.1845144756458582e-15,6.55278828195613e-16,0.017750243821745653,0.0177502438217457,6.734674173791659e-15,6.749861176540505e-15,1.1840714759648363
0.002,7,1.3744467859455345,0.22109783433317165,-0.5018794354019703,46,54,62,1.6121689028232786e-14,8.89073042956618e-15,9.441830204672847e-15,0,,,0,7.637555211069315e-15,7.571816976368309e-15,3.1469528360677282e-15,3.1469528360677274e-15,9.827490781829786e-16,0.013262790585374067,0.013262790585374115,9.04341127153377e-15,8.965572502944028e-15,1.1840714759648363
0.002,8,1.5707963267948966,0.19834822407338853,-0.4996387943616557,46,54,62,8.913505153577522e-15,6.261173062295725e-15,8.192948509325258e-15,0,,,0,1.3775492433108577e-14,1.38020955847716e-14,5.6620784823876754e-15,5.662078482387672e-15,1.8230454827966854e-15,0.012425017032377405,0.012425017032377483,1.6311167657413306e-14,1.634266769046826e-14,1.1840714759648363
0.002,9,1.7671458676442586,0.17559861381360542,-0.5018794354019703,46,54,62,2.570561318893576e-14,1.2256248468448014e-14,2.6017157511384096e-14,0,,,0,1.9266623085990122e-14,1.9128576525404206e-14,7.69677029770067e-15,7.696770297700667e-15,2.5829179622561175e-15,0.007392204756727689,0.0073922047567277546,2.2813058834286512e-14,2.2649601839541677e-14,1.1840714759648363
0.002,10,1.9634954084936207,0.15372325831797737,-0.5085152519443007,46,54,62,1.7950550151466807e-14,1.24840342109381e-14,1.3047896908866319e-14,0,,,0,8.911904765352952e-15,8.91482312132007e-15,3.834407428069574e-15,3.834407428069571e-15,1.078410120879073e-15,0.008869338051806026,0.008869338051806,1.0552332229169528e-14,1.0555787771226903e-14,1.1840714759648363
0.002,11,2.1598449493429825,0.13356281523036068,-0.519291233280334,46,54,62,7.930787103383853e-15,1.963264326464046e-15,7.897578183468877e-15,0,,,0,6.423810776102799e-15,6.434014362459727e-15,2.6790296611003783e-15,2.679029661100377e-15,7.482020983589317e-16,0.014525132311755019,0.014525132311755026,7.606251106978861e-15,7.618332882536644e-15,1.1840714759648363
