sigma,node,theta,z_real,z_imag,svds_status,smallest_singular_candidate,resolvent_norm_candidate,singular_triplet_residual,svds_seconds,inverse_feshbach_norm,observation_norm,arnoldi_residual_matrix_norm,global_scalar_rouche_candidate
0.01,22,4.319689898685965,-0.42380436634554125,-0.7933584784591623,converged,0.2453463202027348,4.075871197797786,5.014794532636507e-15,0.7455234527587891,3.3571115232643054,1.6219169046598159,4.801381541586336e-16,1.0655676790840775e-14
0.01,23,4.516039439535327,-0.37456140762836504,-0.808296166677031,converged,0.23484610128751446,4.258107733181964,5.72826254808915e-15,0.7404768466949463,3.4822949800546246,1.6219169046598159,4.855453203732268e-16,1.1677249917379404e-14
0.01,24,4.71238898038469,-0.32335044015045417,-0.8133400067312085,converged,0.2198947246730953,4.547630696855697,5.522274660190062e-15,0.7368931770324707,3.669870365093031,1.6219169046598159,4.911716124532416e-16,1.3295288682906363e-14
0.01,25,4.908738521234052,-0.2721394726725433,-0.808296166677031,converged,0.2009772250265343,4.975688165004635,7.46602276986045e-15,0.7371490001678467,3.9371379940459197,1.6219169046598159,4.640852161205153e-16,1.474552111709486e-14
0.01,26,5.105088062083414,-0.22289651395536708,-0.7933584784591623,converged,0.1787264289318021,5.595143404233612,5.040675132569698e-15,0.7357707023620605,4.312497235292902,1.6219169046598159,4.915044966045331e-16,1.923517524683315e-14
0.01,27,5.301437602932776,-0.17751394328665746,-0.7691009890586633,converged,0.15393665261781997,6.496178674761168,7.241033604277451e-15,0.7339565753936768,4.843401901232819,1.6219169046598159,5.01097543425445e-16,2.5571684845676774e-14
0.01,28,5.497787143782138,-0.13773578740637363,-0.736455900189438,converged,0.12757834766729367,7.838320673409714,1.287347075184445e-14,0.9768674373626709,5.612352815906117,1.6219169046598159,5.195158269513804e-16,3.7067677409752714e-14
0.01,29,5.6941366846315,-0.10509069853714836,-0.6966777443091542,converged,0.10080399521844116,9.920241730826351,9.720823522369801e-15,0.9728593826293945,6.771218017928041,1.6219169046598159,5.692056232515926e-16,6.201358440812889e-14
0.01,30,5.890486225480862,-0.08083320913664926,-0.6512951736404446,converged,0.07492551377814825,13.346588492685736,1.9992363801776435e-14,0.971247673034668,8.621586917790315,1.6219169046598159,6.643161731497411e-16,1.2398264786593312e-13
0.01,31,6.086835766330224,-0.06589552091878059,-0.6020522149232684,converged,0.05133071840161104,19.481511873183027,1.85734687181895e-14,1.213916301727295,11.826866851777444,1.6219169046598159,7.750717333387978e-16,2.8964288451087513e-13
