sigma,probe,contour_node,theta,z_real,z_imag,dimension,maximum_iterations,ncv,wall_time_budget_seconds,status,seconds,smallest_singular_candidate,singular_triplet_residual,message
0.001,0,0,0.0,0.41032332684952244,-0.5484467747212602,20480,120,24,20.0,wall_time_budget_exhausted,20.01024866104126,,,wall-clock budget of 20 seconds exhausted
0.001,1,4,1.5707963267948966,0.3142729568561994,-0.4523964047279372,20480,120,24,20.0,wall_time_budget_exhausted,20.057422637939453,,,wall-clock budget of 20 seconds exhausted
0.001,2,8,3.141592653589793,0.2182225868628763,-0.5484467747212602,20480,120,24,20.0,wall_time_budget_exhausted,20.00015878677368,,,wall-clock budget of 20 seconds exhausted
0.001,3,12,4.71238898038469,0.3142729568561994,-0.6444971447145833,20480,120,24,20.0,wall_time_budget_exhausted,20.034019708633423,,,wall-clock budget of 20 seconds exhausted
