d,h,eigenvalue_real,eigenvalue_imag,phase_derivative,eigenvalue_error_to_extrapolation,phase_error_to_extrapolation
2000,0.001,-0.474026207114568,0.5059941961571736,2.3024167506513358,0.00023573582445753842,0.02038122921284158
5000,0.0004,-0.473859029360694,0.5061006955774501,2.2852810023003935,3.75175786153938e-05,0.0032454808618993525
10000,0.0002,-0.4738352499906946,0.50611574784225,2.2828465005950984,9.374567177992664e-06,0.000810979156604219
20000,0.0001,-0.4738293091517838,0.5061195046491872,2.2822384214053404,2.345544332600351e-06,0.00020289996684619283
50000,4e-05,-0.47382764600256777,0.5061205561071869,2.2820681958343614,3.7790107868624027e-07,3.267439586718268e-05
