x,start,stop_exclusive,h,shifted_upper_exclusive,theta,y,block_size,factor_bins,A,N_PP,N_PS,N_SP,N_SS,R,L10,L01,L11,inversion_numerator,inverted_N_PP,inversion_error,sector_sum_error,elapsed_seconds
100000000,100000000,200000000,30,200000030,0.34000000000000002,664,4194304,40,2630688,995142,623262,623349,388935,1635546,-606120,-606294,137466,3980568,995142,0,0,4.6484785999999998
100000000,100000000,200000000,30,200000030,0.35999999999999999,973,4194304,40,2371094,995142,541221,541188,293543,1375952,-701632,-701566,206276,3980568,995142,0,0,4.6484785999999998
100000000,100000000,200000000,30,200000030,0.38,1426,4194304,40,2125074,995142,459010,459310,211612,1129932,-783230,-783830,288434,3980568,995142,0,0,4.6484785999999998
100000000,100000000,200000000,30,200000030,0.40000000000000002,2091,4194304,40,1875708,995142,371142,371012,138412,880566,-856860,-856600,391400,3980568,995142,0,0,4.6484785999999998
100000000,100000000,200000000,30,200000030,0.41999999999999998,3065,4194304,40,1658288,995142,289505,289286,84355,663146,-911006,-910568,500706,3980568,995142,0,0,4.6484785999999998
100000000,100000000,200000000,30,200000030,0.44,4492,4194304,40,1456072,995142,208721,208354,43855,460930,-951654,-950920,621922,3980568,995142,0,0,4.6484785999999998
100000000,100000000,200000000,30,200000030,0.46000000000000002,6583,4194304,40,1266487,995142,127567,127319,16459,271345,-978931,-978435,756715,3980568,995142,0,0,4.6484785999999998
100000000,100000000,200000000,30,200000030,0.47999999999999998,9649,4194304,40,1091156,995142,46831,46655,2528,96014,-992790,-992438,904184,3980568,995142,0,0,4.6484785999999998
100000000,100000000,200000000,30,200000030,0.48999999999999999,11681,4194304,40,1022877,995142,13746,13630,359,27735,-994899,-994667,968125,3980568,995142,0,0,4.6484785999999998
