x,start,stop_exclusive,h,shifted_upper_exclusive,theta,y,block_size,factor_bins,A,N_PP,N_PS,N_SP,N_SS,R,L10,L01,L11,inversion_numerator,inverted_N_PP,inversion_error,sector_sum_error,elapsed_seconds
100000000,100000000,200000000,6,200000006,0.34000000000000002,664,4194304,40,1972727,746466,466999,467300,291962,1226261,-454203,-454805,104129,2985864,746466,0,0,4.6367623
100000000,100000000,200000000,6,200000006,0.35999999999999999,973,4194304,40,1778002,746466,405302,405764,220470,1031536,-525534,-526458,155870,2985864,746466,0,0,4.6367623
100000000,100000000,200000000,6,200000006,0.38,1426,4194304,40,1593854,746466,343952,344511,158925,847388,-586982,-588100,216928,2985864,746466,0,0,4.6367623
100000000,100000000,200000000,6,200000006,0.40000000000000002,2091,4194304,40,1406306,746466,277763,278149,103928,659840,-642152,-642924,294482,2985864,746466,0,0,4.6367623
100000000,100000000,200000000,6,200000006,0.41999999999999998,3065,4194304,40,1243639,746466,216687,217000,63486,497173,-682667,-683293,376265,2985864,746466,0,0,4.6367623
100000000,100000000,200000000,6,200000006,0.44,4492,4194304,40,1092150,746466,156051,156323,33310,345684,-712884,-713428,467402,2985864,746466,0,0,4.6367623
100000000,100000000,200000000,6,200000006,0.46000000000000002,6583,4194304,40,949700,746466,95373,95263,12598,203234,-733978,-733758,568428,2985864,746466,0,0,4.6367623
100000000,100000000,200000000,6,200000006,0.47999999999999998,9649,4194304,40,818242,746466,34997,34835,1944,71776,-744684,-744360,678578,2985864,746466,0,0,4.6367623
100000000,100000000,200000000,6,200000006,0.48999999999999999,11681,4194304,40,767003,746466,10107,10140,290,20537,-746143,-746209,726509,2985864,746466,0,0,4.6367623
