sigma,folded_dimension,component_period,left_return_eigenvalue,right_return_eigenvalue,both_return_eigenvalue,full_endpoint_return_eigenvalue,left_one_step_radius,right_one_step_radius,both_one_step_radius,full_endpoint_one_step_radius,archived_bulk_radius,archived_cloud_mean_radius,sibling_exit_norm_ratio,far_exit_norm_ratio,both_additivity_defect,full_vs_both_defect,right_return_residual,both_return_residual,full_return_residual,elapsed_seconds
0.01,2048,3,0.16523050648587284,0.07577075233480852,0.2645469242833554,0.30347714372967566,0.7407671342623723,0.6505044420932334,0.8012175485049181,0.8197617770588576,0.6746693518397261,0.6078407249427005,0.8929468733334827,0.35910350882560976,0.08900373922871374,0.12828056494757842,9.900669448560905e-11,3.961624350355673e-09,1.9433727906213154e-16,0.2628743648529053
0.004,5120,4,0.09550137460265595,0.05784640465673256,0.15930553122053884,0.18190975425566658,0.745591937034988,0.7003006773552836,0.7948384300856963,0.808131431188141,0.7179413580952657,0.67084910699873,0.8960631988722166,0.3860030366220763,0.03739827434430102,0.12426064301839718,5.806228565803475e-14,3.245341854924003e-12,1.6366180657800925e-16,0.7661340236663818
0.002,10240,5,0.056082191757780536,0.05434568476837852,0.11053413506312702,0.11097891114674131,0.7496913462936622,0.7473370382122746,0.8023237380891274,0.8026460004193032,0.7362778600305048,0.7059583381382031,0.9858132153915204,0.009723846029669787,0.0009613187537703431,0.004007753175972208,4.9895892924523635e-15,2.783567160919058e-16,1.5633524333993857e-16,1.989088535308838
0.001,20480,6,0.03022239957411437,0.03039300723945166,0.060610414228435716,0.06063593911518421,0.7470690511660122,0.74741958345206,0.7916725821184676,0.7917003598718483,0.7391415382320545,0.6969078403125467,0.9903039062791991,6.121124773441763e-08,-8.237173749543905e-05,0.0004209531034063135,4.281891157620475e-17,1.1581736001186e-16,7.152210660216693e-17,4.793904066085815
0.0005,40960,6,0.03236519137638653,0.015693199057533185,0.04886464973720109,0.06352511242102087,0.7513457744313061,0.7073634628494915,0.7775880287357062,0.7947772981596846,0.7480149959741871,0.7085863057728007,0.7234178682983793,0.6769007195459035,0.016499848205553874,0.2307821603943913,0.0,3.0585857061077156e-15,2.510515635026547e-16,9.638412952423096
0.0002,102400,7,0.01959401862788871,0.013567252083922078,0.03336972109438037,0.0388391532892432,0.7551075673832436,0.7355404546729766,0.7843776023946851,0.7929276345240867,0.7547488160013469,0.7244679979244436,0.8831663557685673,0.4569764754218043,0.0062466923825948584,0.14082264240239326,7.802462412036032e-17,1.53416462830843e-16,3.387783338321461e-16,28.010923385620117
0.0001,204800,8,0.011496635259006132,0.011436358115219524,0.022934738425268213,0.022978806096711706,0.7564594838651771,0.7562109890893755,0.7898249741684651,0.7899197388138907,0.7570230789796144,0.7302687845096624,0.9973818059557827,0.005824135851064164,7.608768019058424e-05,0.0019177528744541267,5.461260795521489e-16,7.797866002189491e-17,1.7164090822031838e-16,63.38749885559082
