sigma,component_period,return_type,return_eigenvalue,one_step_radius,residual,perron_eigenvalue,parity_eigenvalue,perron_right_residual,perron_left_residual,parity_right_residual,parity_left_residual
0.001,6,left,0.017023982735332698,0.712177798561614,3.6202151642769736e-17,1.0000000000000002,-0.996389276627418,1.2574238574705985e-15,2.0135432335816555e-15,1.78566591883376e-15,1.9864018185348295e-15
0.001,6,right,0.018291713822357374,0.7164532655604942,3.8330625969216803e-16,1.0000000000000002,-0.996389276627418,1.2574238574705985e-15,2.0135432335816555e-15,1.78566591883376e-15,1.9864018185348295e-15
0.001,6,both,0.03530896880258048,0.7568161995623247,4.965976041736039e-16,1.0000000000000002,-0.996389276627418,1.2574238574705985e-15,2.0135432335816555e-15,1.78566591883376e-15,1.9864018185348295e-15
0.001,6,full,0.010042413419897001,0.6815324016092116,3.369237489226261e-16,1.0000000000000002,-0.996389276627418,1.2574238574705985e-15,2.0135432335816555e-15,1.78566591883376e-15,1.9864018185348295e-15
