sigma,folded_dimension,dimension_times_sigma,component_period,principal_return_eigenvalue,one_step_edge_radius,return_residual
0.001,10240,10.24,6,0.030225480108110023,0.7470753965261165,1.4004780479422021e-16
0.001,20480,20.48,6,0.03022239957411437,0.7470690511660122,1.4080764371738392e-16
0.001,40960,40.96,6,0.030167540757992342,0.7469559522170816,1.4608565102143004e-16
