sigma,folded_dimension,dimension_times_sigma,row_sum_error,hellinger_degree,linear_row_degree,cloud_degree,component_period,principal_return_eigenvalue,local_one_step_edge_radius,linear_degree_local_radius,deterministic_cycle_radius,archived_bulk_radius,archived_cloud_mean_radius,local_minus_bulk_radius,deterministic_minus_bulk_radius,return_residual,endpoint_window_nodes,critical_branch_nodes,build_and_return_seconds
0.01,2048,20.48,4.440892098500626e-16,2,3,3,3,0.16523050648587284,0.7407671342623723,0.7236387928174668,0.7035006823239199,0.6746693518397261,0.6078407249427005,0.06609778242264619,0.02883133048419384,2.5936966450669922e-09,89,272,0.22206497192382812
0.004,5120,20.48,4.440892098500626e-16,3,4,3,4,0.09550137460265595,0.745591937034988,0.7278584361680457,0.7150760112907206,0.7179413580952657,0.67084910699873,0.027650578939722337,-0.002865346804545088,5.037837893220138e-12,84,417,0.6108036041259766
0.002,10240,20.48,4.440892098500626e-16,4,4,4,5,0.056082191757780536,0.7496913462936622,0.7496913462936622,0.7241515826376854,0.7362778600305048,0.7059583381382031,0.013413486263157415,-0.012126277392819351,6.567956256938128e-16,75,614,0.9361097812652588
0.001,20480,20.48,4.440892098500626e-16,5,5,5,6,0.03022239957411437,0.7470690511660122,0.7470690511660122,0.7310895116978252,0.7391415382320545,0.6969078403125467,0.007927512933957659,-0.008052026534229317,1.4080764371738392e-16,68,932,2.160322904586792
0.0005,40960,20.48,4.440892098500626e-16,5,6,5,6,0.03236519137638653,0.7513457744313061,0.7407737254246921,0.7310895116978252,0.7480149959741871,0.7085863057728007,0.0033307784571190435,-0.01692548427636187,4.989511369317031e-16,86,1130,7.587488174438477
0.0002,102400,20.48,5.551115123125783e-16,6,7,6,7,0.01959401862788871,0.7551075673832436,0.7410705868655609,0.7364234792935456,0.7547488160013469,0.7244679979244436,0.00035875138189667144,-0.018325336707801343,1.471771467617817e-16,82,1807,21.21371030807495
0.0001,204800,20.48,5.551115123125783e-16,7,7,7,8,0.011496635259006132,0.7564594838651771,0.7564594838651771,0.7405947444953139,0.7570230789796144,0.7302687845096624,-0.0005635951144372653,-0.016428334484300477,1.6195733658617165e-16,73,2728,25.83219838142395
