sigma,component_period,return_order,return_real,return_imag,return_modulus,modulus_ratio_to_principal,one_step_root_radius
0.001,6,0,0.030222399574114364,0.0,0.030222399574114364,1.0,0.7470690511660122
0.001,6,1,-0.0003327344643381493,0.0,0.0003327344643381493,0.011009531639676223,0.5130678664913961
0.001,6,2,2.270581980306331e-06,0.0,2.270581980306331e-06,7.512910994172335e-05,0.3385930963283536
0.001,6,3,-1.2289366522593439e-08,0.0,1.2289366522593439e-08,4.066310648979488e-07,0.2191765692850833
0.001,6,4,5.6182509281509286e-11,0.0,5.6182509281509286e-11,1.858969177603948e-09,0.13989432410995403
0.0001,8,0,0.011496635259006136,0.0,0.011496635259006136,1.0,0.7564594838651771
0.0001,8,1,-6.205683723340404e-05,0.0,6.205683723340404e-05,0.0053978260452153155,0.5458198834481242
0.0001,8,2,2.042252961775897e-07,0.0,2.042252961775897e-07,1.7763918883797366e-05,0.38184037327464715
0.0001,8,3,-5.410546495910997e-10,0.0,5.410546495910997e-10,4.706200008974391e-08,0.2635284883554003
0.0001,8,4,1.2123298422603366e-12,0.0,1.2123298422603366e-12,1.0545083974118707e-10,0.17998085049518353
