sigma,component_period,window_multiple,endpoint_nodes,critical_branch_nodes,return_eigenvalue,one_step_edge_radius,return_residual
0.001,6,2.0,34,443,0.026806184664333123,0.7396386270253279,1.7240614127605214e-16
0.001,6,2.5,39,504,0.029397891326584037,0.7453490146723637,3.319224308971338e-17
0.001,6,3.0,43,565,0.030065182842312688,0.746744422401265,2.67840588102712e-16
0.001,6,4.0,51,688,0.03021918939914054,0.7470624381373557,1.4567700085475286e-16
0.001,6,5.0,60,810,0.030222379821805378,0.7470690104778048,1.5711661566313627e-16
0.001,6,6.0,68,932,0.03022239957411437,0.7470690511660122,1.4080764371738392e-16
0.001,6,8.0,84,1177,0.03022239963003406,0.7470690512812024,1.2210921990859623e-16
0.001,6,10.0,101,1422,0.03022239963003408,0.7470690512812024,1.504827099141017e-16
