sigma,folded_dimension,full_dimension,dimension_times_sigma,row_sum_error,perron_real,perron_imag,perron_error,parity_real,parity_imag,parity_gap,gap_over_sigma_two_thirds,reciprocal_gap_lifetime,exact_efolding_lifetime,bulk_radius
0.08,256,512,20.48,4.440892098500626e-16,0.9999999999999987,0.0,1.3322676295501878e-15,-0.937365367227851,0.0,0.06263463277214898,0.3373555641043141,15.96560809477051,15.460218292276629,0.4620570469324419
0.06,342,684,20.52,4.440892098500626e-16,1.0000000000000007,0.0,6.661338147750939e-16,-0.9519449781834399,0.0,0.04805502181656007,0.31354841650885795,20.80947967971567,20.305375842110948,0.5619278094098038
0.05,410,820,20.5,4.440892098500626e-16,1.0000000000000004,0.0,4.440892098500626e-16,-0.9588385439125644,0.0,0.0411614560874356,0.3032802015120316,24.29457300722767,23.791070395607058,0.5890729006052601
0.04,512,1024,20.48,4.440892098500626e-16,1.0000000000000007,0.0,6.661338147750939e-16,-0.9653545463737071,0.0,0.0346454536262929,0.296214461813319,28.863816037354077,28.360877778274403,0.573559442445129
0.03,683,1366,20.49,4.440892098500626e-16,0.9999999999999984,0.0,1.5543122344752192e-15,-0.971949426858044,0.0,0.028050573141956026,0.29053217559107336,35.64989545629897,35.147524529464675,0.5571361640399055
0.02,1024,2048,20.48,4.440892098500626e-16,0.9999999999999996,0.0,4.440892098500626e-16,-0.9790942594608427,0.0,0.02090574053915728,0.28373455203725406,47.83375160171726,47.33199100150534,0.6564262048863423
0.015,1366,2732,20.49,4.440892098500626e-16,0.9999999999999996,0.0,4.440892098500626e-16,-0.982681430113038,0.0,0.01731856988696201,0.2847417744357452,57.741488271086,57.24003242094217,0.6822616919160516
0.012,1707,3414,20.484,4.440892098500626e-16,0.9999999999999987,0.0,1.3322676295501878e-15,-0.9849225577587335,0.0,0.015077442241266503,0.2876560479142165,66.32424677861012,65.82298076160802,0.6771277578019427
0.01,2048,4096,20.48,4.440892098500626e-16,1.0000000000000016,0.0,1.5543122344752192e-15,-0.9865534036028754,0.0,0.013446596397124644,0.28969813740823075,74.36826171222297,73.86713356395502,0.6746693518397266
