sigma,folded_dimension,dimension_times_sigma,parity_real,parity_difference_from_finest,bulk_radius
0.01,1024,10.24,-0.9865742950278018,-2.339323265254656e-05,0.6746693487811976
0.01,1536,15.36,-0.9865588125092959,-7.910714146630582e-06,0.6746693935606648
0.01,2048,20.48,-0.9865534036028754,-2.5018077260963167e-06,0.6746693518397266
0.01,2560,25.6,-0.9865509017951493,0.0,0.6746693225423588
