sigma,length,raw_trace_real,raw_trace_imag,perron_parity_real,perron_parity_imag,bulk_trace_real,bulk_trace_imag,deterministic_flat_trace,deterministic_parity_baseline
0.08,2,1.5026128651622515,1.734723475976807e-18,1.8786538316782013,0.0,-0.37604096651594976,1.7347234759768069e-18,1.1801429862402304,2
0.08,3,0.19309249979509954,-7.047314121155779e-18,0.17638032840279794,0.0,0.016712171392301575,-7.047314121155779e-18,0.17453335382628332,0
0.08,4,1.8665550126867132,1.2197274440461925e-19,1.7720325559227843,0.0,0.0945224567639289,1.2197274440461925e-19,1.4198783447036916,2
0.08,5,0.27576179512904325,-6.776263578034403e-20,0.27632341970557117,0.0,-0.0005616245765280012,-6.776263578034403e-20,0.06980285351283122,0
0.08,6,1.6591119277372925,-1.3499587596865412e-20,1.6783493634418685,0.0,-0.019237435704576,-1.3499587596865412e-20,1.6221410887189234,2
0.08,7,0.3646133862976629,-5.095763445571672e-19,0.36413879982851727,0.0,0.0004745864691456376,-5.095763445571672e-19,0.02594193052751372,0
0.08,8,1.600195794565359,1.2779940463944278e-21,1.5960342674046646,0.0,0.00416152716069454,1.2779940463944278e-21,1.7638731479009206,2
0.08,9,0.44118481329652076,-2.2594955419768797e-21,0.4412981200538213,0.0,-0.00011330675730041673,-2.2594955419768797e-21,0.00936377389597427,0
0.08,10,1.52282340715476,-7.722958864404272e-22,1.5237077928666158,0.0,-0.000884385711855965,-7.722958864404272e-22,1.8555077105429811,2
0.08,11,0.5091249702011471,7.214343761880028e-21,0.50909445241947,0.0,3.051778167696114e-05,7.214343761880028e-21,0.0033435012156383935,0
0.08,12,1.4603466827189016,6.146309399922369e-22,1.460157858881983,0.0,0.00018882383691871024,6.146309399922369e-22,1.9125745570267334,2
0.08,13,0.5686563177363403,2.5845292838658653e-21,0.568663959626276,0.0,-7.641889935701744e-06,2.5845292838658653e-21,0.001189209794428551,0
0.08,14,1.404279212049121,7.870921686309796e-23,1.404319465883488,0.0,-4.02538343670815e-05,7.870921686309796e-23,1.947439879820811,2
0.08,15,0.6210068203276814,-5.106499633128045e-22,0.6210049353847182,0.0,1.8849429632209886e-06,-5.106499633128045e-22,0.0004223874853263602,0
0.08,16,1.3552654309538477,1.457896952782486e-23,1.3552568479206069,0.0,8.5830332408784e-06,1.457896952782486e-23,1.968518085449592,2
0.08,17,0.6669940786110947,-1.5156781065327474e-22,0.666994534288649,0.0,-4.5567755419187243e-07,-1.5156781065327474e-22,0.00014995075730286802,0
0.08,18,1.312145961083721,-5.346269584552068e-24,1.312147790655357,0.0,-1.8295716359144698e-06,-5.346269584552068e-24,1.9811845485117667,2
0.08,19,0.7074035802657525,8.46680146352039e-24,0.7074034715829313,0.0,1.0868282120010703e-07,8.46680146352039e-24,5.322429836552389e-05,0
0.08,20,1.2742702422427854,-7.060838814794775e-26,1.2742698523092095,0.0,3.8993357591519496e-07,-7.060838814794775e-26,1.9887693744422983,2
0.08,21,0.742908913540877,-6.330286628687387e-24,0.7429089391705963,0.0,-2.5629719282896582e-08,-6.330286628687387e-24,1.8890529271466197e-05,0
0.08,22,1.2409881735554211,6.57677483498688e-26,1.2409882566452963,0.0,-8.308987501119291e-08,6.57677483498688e-26,1.993301805978037,2
0.08,23,0.7741059603010612,-9.267222793797769e-25,0.7741059543120242,0.0,5.989036946861944e-09,-9.267222793797769e-25,6.704535397451469e-06,0
0.08,24,1.2117452727929827,1.0146733318013762e-25,1.2117452550908339,0.0,1.7702149027599175e-08,1.0146733318013762e-25,1.9960068857799356,2
