truncation_degree,smallest_positive_real_root,lambda_fixed,root_minus_lambda,absolute_error
3,1.996262961075727,1.6785735104283177,0.3176894506474093,0.3176894506474093
4,1.829631760533672,1.6785735104283177,0.15105825010535434,0.15105825010535434
5,1.7571209189105352,1.6785735104283177,0.07854740848221753,0.07854740848221753
6,1.7215098224384542,1.6785735104283177,0.04293631201013648,0.04293631201013648
7,1.7027667334651073,1.6785735104283177,0.024193223036789613,0.024193223036789613
8,1.6924706051725973,1.6785735104283177,0.013897094744279581,0.013897094744279581
9,1.6866567723807864,1.6785735104283177,0.008083261952468668,0.008083261952468668
10,1.6833139574503984,1.6785735104283177,0.004740447022080652,0.004740447022080652
11,1.681368677904561,1.6785735104283177,0.002795167476243199,0.002795167476243199
12,1.6802275680356524,1.6785735104283177,0.0016540576073347246,0.0016540576073347246
13,1.6795546175112324,1.6785735104283177,0.0009811070829146562,0.0009811070829146562
14,1.6791563419696476,1.6785735104283177,0.0005828315413298757,0.0005828315413298757
