index,diagonal_real,diagonal_imag,diagonal_real_hex,diagonal_imag_hex,exact_squared_margin_sign,classification,floating_signed_boundary_distance
38,-6.312159114475971e-05,-7.904104525251475e-06,-0x1.08c04adb5a4a6p-14,-0x1.0937bdaa53d70p-17,1,outside,0.3761968352482803
39,-6.312159114475972e-05,7.904104525251485e-06,-0x1.08c04adb5a4a7p-14,0x1.0937bdaa53d76p-17,1,outside,0.3762104688489035
40,2.760760020992171e-05,7.703719777548943e-34,0x1.cf2dbd721ff3ep-16,0x1.0000000000000p-110,1,outside,0.37624958055871416
41,-1.8998816500974549e-06,8.58011867633236e-06,-0x1.fdfedf736d4c0p-20,0x1.1fe6a88130cd3p-17,1,outside,0.376242041838746
42,-1.899881650097452e-06,-8.58011867633236e-06,-0x1.fdfedf736d4b2p-20,-0x1.1fe6a88130cd3p-17,1,outside,0.37622724291555654
43,-4.543290513945505e-06,-3.811487909859025e-07,-0x1.30e522fe69044p-18,-0x1.994161c43a308p-22,1,outside,0.3762329754811877
44,-4.543290513945505e-06,3.8114879098590395e-07,-0x1.30e522fe69044p-18,0x1.994161c43a323p-22,1,outside,0.37623363288508993
45,8.370388167018324e-07,-3.800432116749161e-06,0x1.c161bd2dfc6c4p-21,-0x1.fe15da6c6b504p-19,1,outside,0.37623275042069015
46,8.370388167018325e-07,3.8004321167491618e-06,0x1.c161bd2dfc6c5p-21,0x1.fe15da6c6b506p-19,1,outside,0.3762393053627727
47,1.4783971126168742e-06,4.705242153418399e-22,0x1.8cdaad0d7caa3p-20,0x1.1c6a188000000p-71,1,outside,0.3762363525684682
48,-1.221933179154212e-06,2.706295999218366e-22,-0x1.48029bd24f808p-20,0x1.472bcdec7cb08p-72,1,outside,0.37623498556319035
49,-9.322647417512658e-07,-6.757397642031348e-07,-0x1.f4817d8f1f90ep-21,-0x1.6ac8f74c87822p-21,1,outside,0.3762345494486137
50,-9.322647417512642e-07,6.757397642031335e-07,-0x1.f4817d8f1f8ffp-21,0x1.6ac8f74c87816p-21,1,outside,0.3762357149585065
51,3.0458836080949275e-07,-8.572243739653349e-07,0x1.470c9c70f8dabp-22,-0x1.cc380556538d8p-21,1,outside,0.3762350190772097
52,3.045883608094924e-07,8.572243739653344e-07,0x1.470c9c70f8da4p-22,0x1.cc380556538d3p-21,1,outside,0.3762364976086823
53,7.294232656554983e-07,-2.1907662251854353e-32,0x1.879b2b96cd8ddp-21,-0x1.c7011ca8b8494p-106,1,outside,0.37623597340985104
54,2.8929549158841656e-07,2.6469779601696886e-23,0x1.36a0f0707860fp-22,0x1.0000000000000p-75,1,outside,0.3762357506009897
55,1.3551027361987794e-07,-1.9493009321346816e-07,0x1.23018f8e3c1f2p-23,-0x1.a29bf3b94698ep-23,1,outside,0.3762355046426219
56,1.3551027361987805e-07,1.949300932134681e-07,0x1.23018f8e3c1f6p-23,0x1.a29bf3b94698cp-23,1,outside,0.376235840856016
57,1.7198489685852404e-07,-1.1294256761160833e-07,0x1.7155b26b3e437p-23,-0x1.e515aa968ef9fp-24,1,outside,0.37623559381301486
58,1.71984896858524e-07,1.1294256761160833e-07,0x1.7155b26b3e435p-23,0x1.e515aa968ef9fp-24,1,outside,0.37623578861517337
59,-8.893398930878014e-08,-1.4339165642094762e-07,-0x1.7df7f491c916bp-24,-0x1.33ee659367418p-23,1,outside,0.3762354354672648
60,-8.893398930877855e-08,1.4339165642094733e-07,-0x1.7df7f491c90f3p-24,0x1.33ee65936740dp-23,1,outside,0.3762356827877442
