parent_arc,start_numerator,end_numerator,turn_denominator,center_id,complement_resolvent_upper,transformed_resolvent_upper,transformed_residual_upper,homotopy_neumann_product_upper,homotopy_denominator_lower,homotopy_certified
42,113,114,2048,arc_00040,255.1270220994743,255.12702345938024,9.552266437209501e-10,2.4370413034161987e-07,0.9999997562958696,True
43,228,229,4096,arc_00040,284.33710958157667,284.33711109718143,9.552266437209501e-10,2.716063843186715e-07,0.9999997283936156,True
44,229,230,4096,arc_00040,321.1006468171022,321.100648528668,9.552266437209501e-10,3.067238947906599e-07,0.999999693276105,True
45,230,231,4096,arc_00040,368.7824071582457,368.78240912397,9.552266437209501e-10,3.522707829308161e-07,0.999999647729217,True
46,231,232,4096,arc_00040,433.09436259739863,433.09436490592554,9.552266437209501e-10,4.1370327660354367e-07,0.9999995862967233,True
47,232,233,4096,arc_00040,524.5744273979934,524.5744301941374,9.552266437209501e-10,5.010874723361757e-07,0.9999994989125276,True
48,233,234,4096,arc_00040,665.0479465463798,665.0479500912911,9.552266437209501e-10,6.352715212792019e-07,0.9999993647284786,True
49,234,235,4096,arc_00040,908.2674634489715,908.267468290318,9.552266437209501e-10,8.676012853358848e-07,0.9999991323987145,True
50,235,236,4096,arc_00040,1431.9543511463137,1431.9543587790733,9.552266437209501e-10,1.3678409560981192e-06,0.9999986321590438,True
51,236,237,4096,turn_00031445_of_00524288,958.484350743805,958.484355852823,9.552266437209501e-10,9.155697943003289e-07,0.9999990844302056,True
52,237,238,4096,turn_00031445_of_00524288,691.5758431223109,691.5758468086241,9.552266437209501e-10,6.606116750254759e-07,0.9999993393883249,True
53,238,239,4096,turn_00031445_of_00524288,540.9399320611752,540.9399349445524,9.552266437209501e-10,5.167202385117139e-07,0.9999994832797614,True
54,239,240,4096,turn_00031445_of_00524288,444.1884190540422,444.1884214217039,9.552266437209501e-10,4.243006149743611e-07,0.9999995756993849,True
55,240,241,4096,turn_00031445_of_00524288,376.7952712694592,376.7952732778945,9.552266437209501e-10,3.599248842631614e-07,0.9999996400751157,True
56,241,242,4096,turn_00031445_of_00524288,327.1580520504349,327.1580537942885,9.552266437209501e-10,3.125100896921962e-07,0.9999996874899102,True
57,242,243,4096,turn_00031445_of_00524288,289.07640616130897,289.07640770217563,9.552266437209501e-10,2.761334867082582e-07,0.9999997238665131,True
58,243,244,4096,turn_00031445_of_00524288,258.9358607863622,258.9358621665704,9.552266437209501e-10,2.473424345563636e-07,0.9999997526575654,True
59,244,245,4096,turn_00031445_of_00524288,234.48704307433303,234.4870443242215,9.552266437209501e-10,2.2398827234587173e-07,0.9999997760117275,True
60,245,246,4096,turn_00031445_of_00524288,214.25682247990713,214.25682362196227,9.552266437209501e-10,2.0466382652271858e-07,0.9999997953361733,True
61,246,247,4096,turn_00031445_of_00524288,227.44054866384315,227.44054987617162,9.552266437209501e-10,2.1725727310426275e-07,0.9999997827427268,True
62,247,248,4096,turn_00031445_of_00524288,250.37020095405117,250.37020228860177,9.552266437209501e-10,2.3916028801987644e-07,0.9999997608397119,True
63,248,249,4096,turn_00031445_of_00524288,278.44154022226127,278.44154170644083,9.552266437209501e-10,2.659747793567304e-07,0.9999997340252206,True
64,249,250,4096,turn_00031445_of_00524288,313.60236918976716,313.6023708613648,9.552266437209501e-10,2.9956134018083413e-07,0.9999997004386597,True
65,250,251,4096,turn_00031445_of_00524288,358.92651647433695,358.9265183875263,9.552266437209501e-10,3.428561735017626e-07,0.9999996571438264,True
66,251,252,4096,turn_00031445_of_00524288,419.5649987271892,419.5650009636004,9.552266437209501e-10,4.007796676932372e-07,0.9999995992203322,True
67,252,253,4096,turn_00031445_of_00524288,504.8573226179736,504.85732530901925,9.552266437209501e-10,4.822531684128703e-07,0.9999995177468315,True
68,253,254,4096,turn_00031445_of_00524288,633.6750219751099,633.6750253527938,9.552266437209501e-10,6.053032676775371e-07,0.9999993946967322,True
69,254,255,4096,turn_00031445_of_00524288,850.7480329966301,850.7480375313802,9.552266437209501e-10,8.126571925432851e-07,0.9999991873428073,True
70,255,256,4096,turn_00031445_of_00524288,1294.0319638627063,1294.031970760297,9.552266437209501e-10,1.236093816296965e-06,0.9999987639061836,True
71,512,513,8192,arc_00086,1028.409678781236,1028.4096842629776,9.552266437209501e-10,9.82364331068646e-07,0.9999990176356688,True
72,513,514,8192,arc_00086,852.0020852328294,852.002089774264,9.552266437209501e-10,8.138550966583058e-07,0.9999991861449032,True
73,514,515,8192,arc_00086,727.252959237661,727.2529631141442,9.552266437209501e-10,6.946914070916398e-07,0.9999993053085928,True
74,515,516,8192,arc_00086,634.3692020412068,634.3692054225909,9.552266437209501e-10,6.059663669757474e-07,0.9999993940336329,True
75,516,517,8192,arc_00086,562.5242450161167,562.5242480145449,9.552266437209501e-10,5.37338149442585e-07,0.9999994626618505,True
76,517,518,8192,arc_00086,505.297144115169,505.29714680855903,9.552266437209501e-10,4.82673297627712e-07,0.9999995173267022,True
77,518,519,8192,arc_00086,458.63854556206866,458.638548006754,9.552266437209501e-10,4.381037608935414e-07,0.999999561896239,True
78,519,520,8192,arc_00086,419.86830357616856,419.8683058141965,9.552266437209501e-10,4.0106939256769635e-07,0.9999995989306073,True
79,520,521,8192,arc_00086,387.1418745324156,387.14187659600157,9.552266437209501e-10,3.698082354246288e-07,0.9999996301917644,True
80,521,522,8192,arc_00086,359.14821425806815,359.1482161724392,9.552266437209501e-10,3.4306794513276534e-07,0.9999996569320547,True
81,522,523,8192,arc_00086,334.9299035413275,334.9299053266075,9.552266437209501e-10,3.1993396934691085e-07,0.9999996800660306,True
82,523,524,8192,arc_00086,313.77145195061246,313.77145362311137,9.552266437209501e-10,2.997228525398484e-07,0.9999997002771474,True
83,524,525,8192,arc_00086,295.12742258426914,295.1274241573896,9.552266437209501e-10,2.819135788478725e-07,0.9999997180864211,True
84,525,526,8192,arc_00086,278.57474398100254,278.57474546589214,9.552266437209501e-10,2.6610201913680207e-07,0.9999997338979808,True
85,526,527,8192,arc_00086,263.78021757133484,263.780218977365,9.552266437209501e-10,2.5196989325372563e-07,0.9999997480301066,True
86,527,528,8192,arc_00086,250.47785657421096,250.4778579093354,9.552266437209501e-10,2.392631235371475e-07,0.9999997607368764,True
87,528,529,8192,arc_00086,263.78021757133314,263.7802189773633,9.552266437209501e-10,2.51969893253724e-07,0.9999997480301066,True
88,529,530,8192,arc_00086,278.57474398099885,278.57474546588844,9.552266437209501e-10,2.661020191367985e-07,0.9999997338979808,True
89,530,531,8192,arc_00086,295.12742258426476,295.12742415738524,9.552266437209501e-10,2.819135788478683e-07,0.9999997180864211,True
90,531,532,8192,arc_00086,313.77145195060433,313.77145362310324,9.552266437209501e-10,2.9972285253984063e-07,0.9999997002771474,True
91,532,533,8192,arc_00086,334.92990354132394,334.92990532660394,9.552266437209501e-10,3.199339693469074e-07,0.9999996800660306,True
92,533,534,8192,arc_00086,359.1482142580646,359.1482161724357,9.552266437209501e-10,3.4306794513276196e-07,0.9999996569320547,True
93,534,535,8192,arc_00086,387.14187453241254,387.1418765959985,9.552266437209501e-10,3.698082354246258e-07,0.9999996301917644,True
94,535,536,8192,arc_00086,419.8683035761677,419.86830581419565,9.552266437209501e-10,4.0106939256769556e-07,0.9999995989306073,True
95,536,537,8192,arc_00086,458.63854556206843,458.63854800675375,9.552266437209501e-10,4.3810376089354116e-07,0.999999561896239,True
96,537,538,8192,arc_00086,505.29714411515795,505.297146808548,9.552266437209501e-10,4.826732976277016e-07,0.9999995173267022,True
97,538,539,8192,arc_00086,562.5242450161073,562.5242480145356,9.552266437209501e-10,5.373381494425761e-07,0.9999994626618505,True
98,539,540,8192,arc_00086,634.3692020411876,634.3692054225717,9.552266437209501e-10,6.05966366975729e-07,0.9999993940336329,True
99,540,541,8192,arc_00086,727.252959237631,727.2529631141142,9.552266437209501e-10,6.946914070916112e-07,0.9999993053085928,True
100,541,542,8192,arc_00086,852.0020852327679,852.0020897742025,9.552266437209501e-10,8.13855096658247e-07,0.9999991861449032,True
101,542,543,8192,turn_00004435_of_00065536,1025.5786866471417,1025.5786921137935,9.552266437209501e-10,9.796600919395805e-07,0.999999020339908,True
102,543,544,8192,turn_00004435_of_00065536,850.057235741767,850.0572402728351,9.552266437209501e-10,8.119973245965134e-07,0.9999991880026753,True
103,544,545,8192,turn_00004435_of_00065536,725.8348845275343,725.8348883964588,9.552266437209501e-10,6.933368243385196e-07,0.9999993066631756,True
104,545,546,8192,turn_00004435_of_00065536,633.2895501000686,633.2895534756979,9.552266437209501e-10,6.049350546701299e-07,0.9999993950649452,True
105,546,547,8192,turn_00004435_of_00065536,561.6748413218936,561.6748443157943,9.552266437209501e-10,5.365267763982633e-07,0.9999994634732234,True
106,547,548,8192,turn_00004435_of_00065536,504.61145783947853,504.6114605292137,9.552266437209501e-10,4.820183118244475e-07,0.9999995179816881,True
107,548,549,8192,turn_00004435_of_00065536,458.0734189672855,458.0734214089585,9.552266437209501e-10,4.3756393691025177e-07,0.999999562436063,True
108,549,550,8192,turn_00004435_of_00065536,419.3945204663015,419.394522701804,9.552266437209501e-10,4.0061682231539405e-07,0.9999995993831776,True
109,550,551,8192,turn_00004435_of_00065536,386.73895300683307,386.7389550682713,9.552266437209501e-10,3.694233540460121e-07,0.9999996305766459,True
110,551,552,8192,turn_00004435_of_00065536,358.8013704606029,358.8013723731252,9.552266437209501e-10,3.427366306944512e-07,0.9999996572633691,True
111,552,553,8192,turn_00004435_of_00065536,334.62819932996456,334.6282011136364,9.552266437209501e-10,3.196457734441579e-07,0.9999996803542265,True
112,553,554,8192,turn_00004435_of_00065536,313.50662089889084,313.5066225699781,9.552266437209501e-10,2.994698788618108e-07,0.999999700530121,True
113,554,555,8192,turn_00004435_of_00065536,299.3361488548589,299.3361504504132,9.552266437209501e-10,2.8593386633909753e-07,0.9999997140661335,True
114,555,556,8192,turn_00004435_of_00065536,318.53303603382295,318.53303773170256,9.552266437209501e-10,3.04271244546693e-07,0.9999996957287554,True
115,556,557,8192,turn_00004435_of_00065536,340.3608999251257,340.3609017393546,9.552266437209501e-10,3.251218018223197e-07,0.9999996748781981,True
116,557,558,8192,turn_00004435_of_00065536,365.40039907238395,365.4004010200811,9.552266437209501e-10,3.490401986807013e-07,0.9999996509598013,True
117,558,559,8192,turn_00004435_of_00065536,394.41662955819476,394.4166316605574,9.552266437209501e-10,3.7675727528883644e-07,0.9999996232427246,True
118,559,560,8192,turn_00004435_of_00065536,428.43867149021355,428.4386737739242,9.552266437209501e-10,4.092560363893206e-07,0.9999995907439635,True
119,560,561,8192,turn_00004435_of_00065536,468.88419127171363,468.8841937710114,9.552266437209501e-10,4.478906747096868e-07,0.9999995521093252,True
120,561,562,8192,turn_00004435_of_00065536,517.7619765782092,517.7619793380408,9.552266437209501e-10,4.945800377693925e-07,0.9999995054199621,True
121,562,563,8192,turn_00004435_of_00065536,578.0158888214056,578.0158919024092,9.552266437209501e-10,5.521361804393098e-07,0.9999994478638194,True
122,563,564,8192,turn_00004435_of_00065536,654.1406049901254,654.1406084768972,9.552266437209501e-10,6.248525379569665e-07,0.999999375147462,True
123,564,565,8192,turn_00004435_of_00065536,753.3577134785378,753.3577174941674,9.552266437209501e-10,7.196273640032292e-07,0.9999992803726359,True
124,565,566,8192,turn_00004435_of_00065536,888.0534747094129,888.0534794430125,9.552266437209501e-10,8.482923446130606e-07,0.9999991517076553,True
125,1132,1133,16384,turn_00004435_of_00065536,975.2360544263263,975.2360596246361,9.552266437209501e-10,9.315714680708854e-07,0.9999990684285318,True
126,1133,1134,16384,arc_00144,888.8608932475505,888.860897985454,9.552266437209501e-10,8.49063612317435e-07,0.9999991509363876,True
127,1134,1135,16384,arc_00144,815.8590736059534,815.8590779547346,9.552266437209501e-10,7.793303287839701e-07,0.9999992206696711,True
128,1135,1136,16384,arc_00144,753.9383539980594,753.938358016784,9.552266437209501e-10,7.201820073008566e-07,0.9999992798179926,True
129,1136,1137,16384,arc_00144,700.7536813655382,700.7536851007721,9.552266437209501e-10,6.69378590693898e-07,0.9999993306214092,True
130,1137,1138,16384,arc_00144,654.5781008037725,654.5781042928762,9.552266437209501e-10,6.252704456169062e-07,0.9999993747295542,True
131,1138,1139,16384,arc_00144,614.1117006173123,614.1117038907176,9.552266437209501e-10,5.866158617772841e-07,0.9999994133841381,True
132,1139,1140,16384,arc_00144,578.3572978596661,578.3573009424895,9.552266437209501e-10,5.524623034508016e-07,0.9999994475376964,True
133,1140,1141,16384,arc_00144,546.5371609425852,546.5371638557973,9.552266437209501e-10,5.220668606987401e-07,0.9999994779331391,True
134,1141,1142,16384,arc_00144,518.0357891004861,518.0357918617772,9.552266437209501e-10,4.9484159078745e-07,0.9999995051584091,True
135,1142,1143,16384,arc_00144,492.3597083330206,492.35971095745015,9.552266437209501e-10,4.7031511420130215e-07,0.9999995296848857,True
136,1143,1144,16384,arc_00144,469.10865878985487,469.1086612903491,9.552266437209501e-10,4.481050920648081e-07,0.9999995518949079,True
137,1144,1145,16384,arc_00144,447.95457780221057,447.954580189947,9.552266437209501e-10,4.278981501742703e-07,0.9999995721018498,True
138,1145,1146,16384,arc_00144,428.6260239832158,428.6260262679251,9.552266437209501e-10,4.0943500048335783e-07,0.9999995905649994,True
139,1146,1147,16384,arc_00144,410.89646696695036,410.89646915715565,9.552266437209501e-10,3.924992551497786e-07,0.9999996075007448,True
140,1147,1148,16384,arc_00144,394.5753679709122,394.575370074121,9.552266437209501e-10,3.7690890645085436e-07,0.9999996230910935,True
141,1148,1149,16384,arc_00144,379.50130485635344,379.5013068792128,9.552266437209501e-10,3.625097596579447e-07,0.9999996374902402,True
142,1149,1150,16384,arc_00144,365.5366150627514,365.53661701117466,9.552266437209501e-10,3.491703158246947e-07,0.9999996508296841,True
143,1150,1151,16384,arc_00144,352.5631793173294,352.5631811966002,9.552266437209501e-10,3.3677774427400954e-07,0.9999996632222556,True
144,1151,1152,16384,arc_00144,340.4790724205299,340.4790742353887,9.552266437209501e-10,3.252346833390865e-07,0.9999996747653166,True
145,1152,1153,16384,arc_00144,352.5631793173382,352.56318119660904,9.552266437209501e-10,3.3677774427401796e-07,0.9999996632222556,True
146,1153,1154,16384,arc_00144,365.5366150627524,365.5366170111756,9.552266437209501e-10,3.491703158246956e-07,0.9999996508296841,True
147,1154,1155,16384,arc_00144,379.5013048563626,379.50130687922194,9.552266437209501e-10,3.6250975965795344e-07,0.9999996374902402,True
148,1155,1156,16384,arc_00144,394.5753679709221,394.5753700741309,9.552266437209501e-10,3.7690890645086384e-07,0.9999996230910935,True
149,1156,1157,16384,arc_00144,410.89646696695263,410.8964691571579,9.552266437209501e-10,3.924992551497808e-07,0.9999996075007448,True
150,1157,1158,16384,arc_00144,428.6260239832212,428.6260262679305,9.552266437209501e-10,4.09435000483363e-07,0.9999995905649994,True
151,1158,1159,16384,arc_00144,447.95457780222443,447.9545801899609,9.552266437209501e-10,4.278981501742835e-07,0.9999995721018498,True
152,1159,1160,16384,arc_00144,469.108658789867,469.1086612903612,9.552266437209501e-10,4.481050920648197e-07,0.9999995518949079,True
153,1160,1161,16384,arc_00144,492.3597083330424,492.359710957472,9.552266437209501e-10,4.70315114201323e-07,0.9999995296848857,True
154,1161,1162,16384,arc_00144,518.0357891005024,518.0357918617934,9.552266437209501e-10,4.948415907874656e-07,0.9999995051584091,True
155,1162,1163,16384,arc_00144,546.5371609425973,546.5371638558095,9.552266437209501e-10,5.220668606987518e-07,0.9999994779331391,True
156,1163,1164,16384,arc_00144,578.3572978596817,578.357300942505,9.552266437209501e-10,5.524623034508165e-07,0.9999994475376964,True
157,1164,1165,16384,arc_00144,614.1117006173349,614.1117038907403,9.552266437209501e-10,5.866158617773057e-07,0.9999994133841381,True
158,1165,1166,16384,arc_00144,654.5781008037917,654.5781042928954,9.552266437209501e-10,6.252704456169245e-07,0.9999993747295542,True
159,1166,1167,16384,arc_00144,700.7536813655623,700.7536851007962,9.552266437209501e-10,6.693785906939211e-07,0.9999993306214092,True
160,1167,1168,16384,arc_00144,753.9383539980861,753.9383580168108,9.552266437209501e-10,7.201820073008822e-07,0.9999992798179926,True
161,1168,1169,16384,arc_00144,815.8590736059798,815.859077954761,9.552266437209501e-10,7.793303287839953e-07,0.9999992206696711,True
162,1169,1170,16384,arc_00144,888.8608932475886,888.8608979854921,9.552266437209501e-10,8.490636123174713e-07,0.9999991509363876,True
163,1170,1171,16384,arc_00144,976.2106702135321,976.2106754170369,9.552266437209501e-10,9.325024470431779e-07,0.9999990674975529,True
164,1171,1172,16384,arc_00144,1082.5993609275722,1082.5993666981617,9.552266437209501e-10,1.034127759545511e-06,0.9999989658722404,True
165,1172,1173,16384,arc_00144,1215.0129308739965,1215.0129373503914,9.552266437209501e-10,1.1606127302227472e-06,0.9999988393872696,True
166,1173,1174,16384,turn_00076221_of_01048576,1295.2478524043852,1295.247859308457,9.552266437209501e-10,1.2372552654339625e-06,0.9999987627447344,True
167,1174,1175,16384,turn_00076221_of_01048576,1145.8435530344711,1145.843559142172,9.552266437209501e-10,1.0945402972286447e-06,0.9999989054597027,True
168,1175,1176,16384,turn_00076221_of_01048576,1027.3416383211902,1027.341643797239,9.552266437209501e-10,9.813441103592004e-07,0.9999990186558896,True
169,1176,1177,16384,turn_00076221_of_01048576,931.0530708384622,931.053075801263,9.552266437209501e-10,8.893667047237077e-07,0.9999991106332952,True
170,1177,1178,16384,turn_00076221_of_01048576,851.267203979505,851.2672085170225,9.552266437209501e-10,8.131531185014175e-07,0.9999991868468814,True
171,1178,1179,16384,turn_00076221_of_01048576,784.0763586245941,784.0763628039637,9.552266437209501e-10,7.489706324621602e-07,0.9999992510293674,True
172,1179,1180,16384,turn_00076221_of_01048576,726.7163346648641,726.716338538487,9.552266437209501e-10,6.941788089992966e-07,0.9999993058211909,True
173,1180,1181,16384,turn_00076221_of_01048576,677.176662281105,677.1766658906661,9.552266437209501e-10,6.468571937648841e-07,0.9999993531428061,True
174,1181,1182,16384,turn_00076221_of_01048576,633.9600922821224,633.9600956613259,9.552266437209501e-10,6.055755744315807e-07,0.9999993944244254,True
175,1182,1183,16384,turn_00076221_of_01048576,595.9286555220577,595.9286586985419,9.552266437209501e-10,5.692469325457357e-07,0.9999994307530673,True
176,1183,1184,16384,turn_00076221_of_01048576,562.201995822067,562.2019988187776,9.552266437209501e-10,5.370303284248705e-07,0.9999994629696715,True
177,1184,1185,16384,turn_00076221_of_01048576,532.0883767435362,532.0883795797318,9.552266437209501e-10,5.082649969888661e-07,0.9999994917350029,True
178,1185,1186,16384,turn_00076221_of_01048576,505.03673417546133,505.03673686746333,9.552266437209501e-10,4.824245471136876e-07,0.9999995175754528,True
179,1186,1187,16384,turn_00076221_of_01048576,480.60264727153117,480.60264983329193,9.552266437209501e-10,4.5908445616365044e-07,0.9999995409155438,True
180,1187,1188,16384,turn_00076221_of_01048576,458.42373161436467,458.42373405790494,9.552266437209501e-10,4.3789856488615793e-07,0.999999562101435,True
181,1188,1189,16384,turn_00076221_of_01048576,438.20154515746907,438.20154749321887,9.552266437209501e-10,4.1858179348527394e-07,0.9999995814182064,True
182,1189,1190,16384,turn_00076221_of_01048576,419.6880808557926,419.68808309285987,9.552266437209501e-10,4.008972390224717e-07,0.9999995991027608,True
183,1190,1191,16384,turn_00076221_of_01048576,402.67554450350656,402.67554664989177,9.552266437209501e-10,3.8464641093487497e-07,0.9999996153535889,True
184,1191,1192,16384,turn_00076221_of_01048576,404.21165531280917,404.21165746738234,9.552266437209501e-10,3.861137449154499e-07,0.999999613886255,True
185,1192,1193,16384,turn_00076221_of_01048576,421.35699997956567,421.35700222552884,9.552266437209501e-10,4.0249143504421275e-07,0.9999995975085648,True
186,1193,1194,16384,turn_00076221_of_01048576,440.0212710995874,440.0212734450369,9.552266437209501e-10,4.2032004419872097e-07,0.9999995796799557,True
187,1194,1195,16384,turn_00076221_of_01048576,460.4156683884214,460.41567084257935,9.552266437209501e-10,4.398013159754867e-07,0.999999560198684,True
188,1195,1196,16384,turn_00076221_of_01048576,482.79244966987915,482.79245224331225,9.552266437209501e-10,4.611762137701862e-07,0.9999995388237861,True
189,1196,1197,16384,turn_00076221_of_01048576,507.4554178908834,507.4554205957777,9.552266437209501e-10,4.847349382537079e-07,0.9999995152650616,True
190,1197,1198,16384,turn_00076221_of_01048576,534.7737954718672,534.7737983223769,9.552266437209501e-10,5.108301805213883e-07,0.9999994891698194,True
191,1198,1199,16384,turn_00076221_of_01048576,565.2008350916949,565.2008381043902,9.552266437209501e-10,5.398948996107247e-07,0.9999994601051003,True
192,1199,1200,16384,turn_00076221_of_01048576,599.2991671285075,599.2991703229575,9.552266437209501e-10,5.724665350523486e-07,0.9999994275334648,True
193,1200,1201,16384,turn_00076221_of_01048576,637.7759113326641,637.7759147322071,9.552266437209501e-10,6.092205464757049e-07,0.9999993907794534,True
194,1201,1202,16384,turn_00076221_of_01048576,681.5322420216773,681.532245654455,9.552266437209501e-10,6.510177596041071e-07,0.9999993489822403,True
195,1202,1203,16384,turn_00076221_of_01048576,731.7348594318615,731.7348633322347,9.552266437209501e-10,6.989726375944586e-07,0.9999993010273623,True
196,1203,1204,16384,turn_00076221_of_01048576,789.9215608408024,789.9215650513287,9.552266437209501e-10,7.545541253867807e-07,0.9999992454458745,True
197,1204,1205,16384,turn_00076221_of_01048576,858.161532125125,858.1615366993914,9.552266437209501e-10,8.197387644717724e-07,0.9999991802612355,True
198,1205,1206,16384,turn_00076221_of_01048576,939.3065789585999,939.3065839653945,9.552266437209501e-10,8.972506756262544e-07,0.9999991027493242,True
199,1206,1207,16384,turn_00076221_of_01048576,1037.3997761557275,1037.3997816853894,9.552266437209501e-10,9.909519116561806e-07,0.9999990090480882,True
200,1207,1208,16384,turn_00076221_of_01048576,1158.3700294462085,1158.3700356206791,9.552266437209501e-10,1.1065059213128587e-06,0.9999988934940786,True
201,1208,1209,16384,turn_00076221_of_01048576,1311.2767351610578,1311.2767421505685,9.552266437209501e-10,1.252566481393829e-06,0.9999987474335185,True
202,1209,1210,16384,turn_00156599_of_02097152,1201.7868649165837,1201.7868713224796,9.552266437209501e-10,1.1479788395612733e-06,0.9999988520211603,True
