parent_arc,start_numerator,end_numerator,turn_denominator,center_id,complement_resolvent_upper,transformed_resolvent_upper,transformed_residual_upper,homotopy_neumann_product_upper,homotopy_denominator_lower,homotopy_certified
0,0,1,256,arc_00001,761.0502591234585,761.0502631800919,9.552266437209501e-10,7.269754886004648e-07,0.9999992730245113,True
1,1,2,256,arc_00001,128.9241145810682,128.92411526827362,9.552266437209501e-10,1.2315174992240592e-07,0.99999987684825,True
2,2,3,256,arc_00001,761.0502591234473,761.0502631800806,9.552266437209501e-10,7.26975488600454e-07,0.9999992730245113,True
3,3,4,256,arc_00004,1897.820318507335,1897.8203286233045,9.552266437209501e-10,1.8128485428962294e-06,0.9999981871514569,True
4,4,5,256,arc_00004,143.48339824759074,143.48339901240163,9.552266437209501e-10,1.370591656682903e-07,0.9999998629408342,True
5,10,11,512,arc_00006,200.79826215323664,200.79826322355348,9.552266437209501e-10,1.9180785104403087e-07,0.9999998081921488,True
6,11,12,512,arc_00006,121.92970341948661,121.92970406940965,9.552266437209501e-10,1.1647050198811084e-07,0.9999998835294979,True
7,12,13,512,arc_00006,200.79826215323575,200.7982632235526,9.552266437209501e-10,1.9180785104403002e-07,0.9999998081921488,True
8,13,14,512,arc_00006,568.5307383170272,568.5307413474719,9.552266437209501e-10,5.430757119095291e-07,0.9999994569242879,True
9,14,15,512,arc_00011,1144.6497864537278,1144.6497925550652,9.552266437209501e-10,1.0933999795782567e-06,0.9999989066000203,True
10,15,16,512,arc_00011,244.2102278525781,244.21022915429415,9.552266437209501e-10,2.332761175573805e-07,0.9999997667238824,True
11,16,17,512,arc_00011,136.68378447142996,136.68378519999683,9.552266437209501e-10,1.3056399338766822e-07,0.9999998694360065,True
12,17,18,512,arc_00011,244.21022785257708,244.21022915429313,9.552266437209501e-10,2.3327611755737953e-07,0.9999997667238824,True
13,36,37,1024,arc_00016,385.45701070369574,385.45701275830083,9.552266437209501e-10,3.6819880859581514e-07,0.9999996318011913,True
14,37,38,1024,arc_00016,237.81511243424032,237.81511370186843,9.552266437209501e-10,2.2716733288755188e-07,0.999999772832667,True
15,38,39,1024,arc_00016,171.95125121570067,171.95125213225404,9.552266437209501e-10,1.6425241745790788e-07,0.9999998357475824,True
16,39,40,1024,arc_00016,134.6570760882013,134.65707680596518,9.552266437209501e-10,1.286280275306363e-07,0.9999998713719723,True
17,40,41,1024,arc_00016,171.95125121569916,171.95125213225253,9.552266437209501e-10,1.6425241745790642e-07,0.9999998357475824,True
18,41,42,1024,arc_00016,237.8151124342396,237.81511370186772,9.552266437209501e-10,2.2716733288755122e-07,0.999999772832667,True
19,42,43,1024,turn_00005731_of_00131072,321.22806045103226,321.22806216327723,9.552266437209501e-10,3.06845603689212e-07,0.9999996931543962,True
20,43,44,1024,turn_00005731_of_00131072,211.6984202664998,211.69842139491786,9.552266437209501e-10,2.0221997255009075e-07,0.9999997977800273,True
21,44,45,1024,turn_00005731_of_00131072,157.86894949193982,157.86895033343015,9.552266437209501e-10,1.5080062757475185e-07,0.9999998491993723,True
22,45,46,1024,turn_00005731_of_00131072,178.42700045715088,178.427001408222,9.552266437209501e-10,1.7043822570436912e-07,0.9999998295617741,True
23,46,47,1024,turn_00005731_of_00131072,250.383540438471,250.3835417730927,9.552266437209501e-10,2.3917303025087567e-07,0.9999997608269696,True
24,47,48,1024,arc_00027,300.00535806514523,300.0053596642666,9.552266437209501e-10,2.8657311281039387e-07,0.9999997134268871,True
25,96,97,2048,arc_00027,202.26804275012825,202.26804382827947,9.552266437209501e-10,1.9321182463808942e-07,0.9999998067881752,True
26,97,98,2048,arc_00027,173.93516743348096,173.9351683606092,9.552266437209501e-10,1.661475070981431e-07,0.9999998338524928,True
27,98,99,2048,arc_00027,152.5645084400744,152.56450925329042,9.552266437209501e-10,1.4573368412495445e-07,0.9999998542663158,True
28,99,100,2048,arc_00027,173.9351674334814,173.93516836060965,9.552266437209501e-10,1.6614750709814354e-07,0.9999998338524928,True
29,100,101,2048,arc_00027,202.2680427501276,202.26804382827882,9.552266437209501e-10,1.9321182463808879e-07,0.9999998067881752,True
30,101,102,2048,arc_00027,241.62733396623116,241.6273352541796,9.552266437209501e-10,2.3080886848608675e-07,0.9999997691911314,True
31,102,103,2048,arc_00027,300.0047824307656,300.0047840298839,9.552266437209501e-10,2.8657256294909447e-07,0.999999713427437,True
32,103,104,2048,arc_00027,395.57535437684254,395.5753564853815,9.552266437209501e-10,3.778641201142493e-07,0.9999996221358798,True
33,104,105,2048,arc_00027,580.4989541696359,580.4989572638749,9.552266437209501e-10,5.545080706306824e-07,0.9999994454919292,True
34,105,106,2048,arc_00027,1090.0845988506685,1090.0846046611566,9.552266437209501e-10,1.0412778582823553e-06,0.9999989587221416,True
35,106,107,2048,arc_00040,665.0506836344648,665.0506871793907,9.552266437209501e-10,6.352741358186808e-07,0.999999364725864,True
36,107,108,2048,arc_00040,433.09511237965273,433.0951146881836,9.552266437209501e-10,4.1370399281553357e-07,0.999999586296007,True
37,108,109,2048,arc_00040,321.10088189380645,321.1008836053735,9.552266437209501e-10,3.067241193421923e-07,0.9999996932758806,True
38,109,110,2048,arc_00040,255.12702209947767,255.12702345938362,9.552266437209501e-10,2.437041303416231e-07,0.9999997562958696,True
39,110,111,2048,arc_00040,211.64244848799467,211.6424496161144,9.552266437209501e-10,2.021665068156812e-07,0.999999797833493,True
40,111,112,2048,arc_00040,180.82247945399436,180.8224804178341,9.552266437209501e-10,1.727264510788249e-07,0.9999998272735489,True
41,112,113,2048,arc_00040,211.6424484879939,211.64244961611362,9.552266437209501e-10,2.0216650681568047e-07,0.999999797833493,True
