sigma,node,theta,z_real,z_imag,base_depth,primal_depth,dual_depth,primal_residual_radius_frobenius,primal_residual_norm_upper,dual_residual_radius_frobenius,dual_residual_norm_upper,base_consistency_radius_frobenius,base_consistency_norm_upper,total_correction_radius_frobenius,total_correction_norm_upper,correction_rouche_ratio_upper,weighted_dual_residual_norm_upper,remainder_coefficient_upper,resolvent_budget_lower,normwise_correction_rouche_ratio_upper,normwise_resolvent_budget_lower,eta_tightening_factor,budget_gain_over_normwise,corrected_feshbach_smallest_singular,corrected_determinant_phase,node_seconds
0.0002,0,0.0,0.4384415813283888,-0.48128780134223514,58,74,74,6.8246095449490775e-09,6.8246222294696e-09,3.6253877988113615e-09,3.62539464882342e-09,2.2246898520149603e-09,2.2246923947784754e-09,3.0393096693504715e-08,3.039309909948732e-08,1.1964804549514051e-06,1.427201479234202e-07,9.740110941113632e-16,1026681122592234.1,0.002524059686145525,1328259860.0600176,2109.57034500663,772952.0054500807,0.025506730619114956,-0.028419495648078313,7.01259970664978
0.0002,1,0.19634954084936207,0.437376773340001,-0.4704766244060468,58,74,74,7.705632515734539e-09,7.705646366548303e-09,3.975143123599899e-09,3.9751506005154246e-09,2.5010287214774907e-09,2.5010317490702173e-09,3.77521169639686e-08,3.7752119483204875e-08,1.6648437140510984e-06,1.7530128193048168e-07,1.350809686158876e-15,740295502321909.1,0.003326893446250129,1006879384.7955976,1998.3217752942892,735237.5205022134,0.022750877453714468,0.14127748535536283,7.024404048919678
0.0002,2,0.39269908169872414,0.43422326934868016,-0.46008091493653835,58,74,74,8.890063582368026e-09,8.890079234855473e-09,4.403184538349389e-09,4.403192489799212e-09,2.870881673023143e-09,2.870884686108202e-09,4.8422114440206733e-08,4.8422117694388395e-08,2.438200224324867e-06,2.217137676340131e-07,1.9710529617247117e-15,507341802183111.75,0.004600133450668849,727237217.2527037,1886.6922432273243,697629.0406309312,0.019910605597360614,0.2962398847043666,6.983154773712158
0.0002,3,0.5890486225480862,0.4291022567443073,-0.45050017421864186,58,74,74,1.0471243565313964e-08,1.0471261344489541e-08,4.91153764742749e-09,4.911546761735706e-09,3.3615154602820585e-09,3.361518310154527e-09,6.3867784152572e-08,6.386778791110502e-08,3.7468527336383444e-06,2.8813923928425804e-07,3.0171812781478737e-15,331433931527350.4,0.006673659835900638,500223651.8206023,1781.1374799938417,662571.4924135858,0.01707848067206724,0.43147340155501224,6.984601259231567
0.0002,4,0.7853981633974483,0.42221053316937157,-0.44210258474520486,58,74,74,1.259044126639558e-08,1.2590462021194383e-08,5.499376310075096e-09,5.499386650242156e-09,4.0134143276657056e-09,4.013417496834801e-09,8.633333172058438e-08,8.633333431704236e-08,6.024552465166606e-06,3.8376015398508875e-07,4.831717643996969e-15,206964489468863.84,0.010174877365636673,326928888.88671756,1688.9017772634322,633056.5958047777,0.014350291553442512,0.539333583077388,6.956403493881226
0.0002,5,0.9817477042468103,0.4138129436959346,-0.43521086117026914,58,74,74,1.549747995332128e-08,1.549750496295777e-08,6.170280130189023e-09,6.1702915696805776e-09,4.897541505895382e-09,4.89754473512303e-09,1.1973085210653366e-07,1.197308552666026e-07,1.0130154254928976e-05,5.220535031914921e-07,8.090526756639639e-15,123600094273847.45,0.016409949508618436,201425094.8035181,1619.9111183952537,613628.0804257,0.011830968050005186,0.6081147079273291,6.947376012802124
0.0002,6,1.1780972450961724,0.4042322029780381,-0.43008984856589627,58,74,74,1.9731025200540742e-08,1.9731056615110556e-08,6.954655417636598e-09,6.9546687768717955e-09,6.167391278715042e-09,6.167394894412115e-09,1.7258462789227616e-07,1.7258463657068745e-07,1.787420604364661e-05,7.202784288212477e-07,1.421185445771492e-14,70362536343813.63,0.02845074760062477,114747514.28665629,1591.720915108148,613194.4276199099,0.00966225776828314,0.6215742267107967,7.036870718002319
0.0002,7,1.3744467859455345,0.3938364935085296,-0.4269363445745754,58,74,74,2.671301748343979e-08,2.6713061620404933e-08,7.969460366880398e-09,7.969475815414431e-09,8.23075702272527e-09,8.230760756531013e-09,2.691551897239014e-07,2.691552133412511e-07,3.316771206423494e-05,9.820685493650767e-07,2.623405767465098e-14,38117124109785.234,0.05455048028929765,58228295.358673945,1644.686259445672,654615.1467253478,0.008119265249282262,0.5678030619142297,6.950667142868042
0.0002,8,1.5707963267948966,0.3830253165723413,-0.42587153658618765,58,74,74,4.11227476608873e-08,4.112282174067355e-08,9.622570884418869e-09,9.62259381821035e-09,1.2433349768098394e-08,1.2433354130051088e-08,5.040354560859476e-07,5.040355336736626e-07,6.379984683325837e-05,1.2180070325113687e-06,5.0087886076851795e-14,19963633494512.527,0.12154594653515716,24272453.023084056,1905.113453529424,822481.0848547664,0.00790455847187874,0.5184213987246771,7.046740770339966
0.0002,9,1.7671458676442586,0.37221413963615296,-0.4269363445745754,58,74,74,7.241152596665924e-08,7.24116718227253e-08,1.3529603964349405e-08,1.3529646347533471e-08,2.146268758696727e-08,2.1462694163820718e-08,1.2612613947496087e-06,1.2612616827527053e-06,0.00013738681831631337,1.473754632966324e-06,1.0671703682957844e-13,9369287630975.098,0.3363356303531871,6624460.029915999,2448.0924332844124,1414347.3715085431,0.009187529876209972,1.0506426455843596,6.959341526031494
0.0002,10,1.9634954084936207,0.3618184301666445,-0.43008984856589627,58,74,74,5.760421025207804e-08,5.7604317356573914e-08,1.3763889501580757e-08,1.3763923347048977e-08,1.724147661738275e-08,1.724148271560944e-08,1.0158838079630978e-06,1.0158840729939086e-06,0.00023812874221667215,3.226332061330065e-06,1.8585065595854638e-13,5379383064866.759,0.43884393436881225,4293965.3788046725,1842.885198501197,1252777.4656544246,0.004266852233607793,2.5167739939329055,7.040759801864624
0.0002,11,2.1598449493429825,0.352237689448748,-0.4352108611702691,58,74,74,3.972468410971778e-08,3.9724749756589035e-08,1.132745627968582e-08,1.132747911227411e-08,1.2126586350491285e-08,1.2126591368810854e-08,5.736774023658337e-07,5.736775865013876e-07,0.0001322599455338174,2.611518399124085e-06,1.0374191488993229e-13,9638030502090.709,0.20241308218298323,13237716.350626579,1530.4186113643036,728073.502015664,0.0043383411285719065,-2.7737864714236364,6.98317813873291
0.0002,12,2.356194490192345,0.343840099975311,-0.44210258474520486,58,74,74,3.1863594724077164e-08,3.186364345667787e-08,1.012832121607005e-08,1.0128340216357216e-08,9.877249276398138e-09,9.877253958045081e-09,4.1043552851044354e-07,4.1043566564638637e-07,6.495638177008787e-05,1.6029296340993964e-06,5.107517834708629e-14,19577710269028.812,0.09282456815088609,32840883.861843087,1429.0292288667995,596138.3485106383,0.0063213925269790285,-2.5329751694500935,6.97418212890625
0.0002,13,2.552544031041707,0.3369483764003753,-0.45050017421864186,58,74,74,2.7066514130309134e-08,2.706655463515681e-08,9.282267415975224e-09,9.282284279068449e-09,8.487631807748957e-09,8.487636399596364e-09,3.1895034989113555e-07,3.1895044068855196e-07,3.686248710521113e-05,1.0727925601077903e-06,2.903679844034726e-14,34437788985834.74,0.05190077750146629,61393929.01408234,1407.956477633579,560931.5047736318,0.008659791261083,-2.496405407296888,7.113577842712402
0.0002,14,2.748893571891069,0.3318273637960024,-0.4600809149365383,58,74,74,2.3289776097054028e-08,2.3289810960495053e-08,8.468016548744847e-09,8.468031586475908e-09,7.368575771399368e-09,7.3685799426035145e-09,2.4988726138740665e-07,2.498873135702734e-07,2.220895218101275e-05,7.52602728453007e-07,1.752797527402333e-14,57050388046233.59,0.03175918446005615,102468668.58133054,1430.0172381481484,556759.3376208657,0.011268078629586942,-2.498778586232021,7.072721481323242
0.0002,15,2.945243112740431,0.32867385980468156,-0.4704766244060468,58,74,74,1.9945701905765784e-08,1.9945732020535165e-08,7.612853479867937e-09,7.61286732187229e-09,6.354942100251662e-09,6.3549463617007145e-09,1.9193742385771647e-07,1.919374491575625e-07,1.3601986524255137e-05,5.394985778008865e-07,1.0760694058276326e-14,92929544562635.34,0.02014353077803778,163501606.47100082,1480.9256531843878,568370.8348096117,0.014143268926093506,-2.4975509112500918,7.01593804359436
0.0002,16,3.141592653589793,0.3276090518162938,-0.48128780134223514,58,74,74,1.6940529546243267e-08,1.6940555657743993e-08,6.748435680253699e-09,6.748447714062415e-09,5.427856136673906e-09,5.427859993659748e-09,1.4408753511982334e-07,1.4408754706514005e-07,8.384973507843221e-06,3.9271596861962056e-07,6.652826724085526e-15,150310786151423.0,0.013024404460538506,254715654.64360675,1553.3029947388154,590112.0854222131,0.01724106066976837,-2.4795401574049944,7.050772428512573
0.0002,17,3.3379421944391554,0.32867385980468156,-0.49209897827842347,58,74,74,1.4318274068911301e-08,1.4318296968364937e-08,5.933205298679578e-09,5.933216152957434e-09,4.608778726437367e-09,4.60878228008323e-09,1.0670911971685457e-07,1.0670912528181512e-07,5.238465695518387e-06,2.912675616395497e-07,4.170455444806613e-15,239780708550568.03,0.00860348554309959,387337620.7794067,1642.367449396499,619048.3332553073,0.020461905338941176,-2.4400031589686666,7.058850049972534
