sigma,folded_dimension,packet_rank,base_depth,primal_depth,dual_depth,contour_nodes,enclosed_center_winding_float,enclosed_center_winding_integer,enclosed_center_maximum_phase_increment,maximum_primal_residual_center_relative,maximum_primal_residual_upper_relative,maximum_dual_residual_center_relative,maximum_dual_residual_upper_relative,maximum_primal_residual_inflation,maximum_dual_residual_inflation,maximum_base_consistency_norm_upper,maximum_correction_center_rouche_ratio,maximum_correction_rouche_ratio_upper,minimum_resolvent_budget_lower,minimum_rh26_unrounded_resolvent_budget,minimum_budget_retention_fraction,minimum_budget_to_rh23_lower_bound,maximum_base_inverse_neumann_defect_upper,maximum_base_inverse_norm_upper,minimum_corrected_feshbach_singular,rh23_eigenmode_resolvent_lower_bound,direct_block_radius,forcing_block_radius,observation_adjoint_block_radius,direct_center_reproduction_defect,forcing_center_reproduction_defect,observation_center_reproduction_defect,primal_arnoldi_seconds,dual_arnoldi_seconds,dimension,matrix_nonzeros,maximum_row_nonzeros,maximum_column_nonzeros,minimum_nonzero_stored_magnitude,subnormal_stored_count,matrix_abs_operator_upper,maximum_row_sum_defect,synthesis_frobenius_upper,analysis_frobenius_upper
0.01,2048,4,36,52,52,32,1.0,1,2.9975151298377614,4.1375472065051175e-15,5.797972689482393e-09,1.812753547226573e-15,2.1114231775488796e-09,1401306.71629963,1438721.952901258,2.158733152996675e-09,2.3169056072732638e-14,2.1232806150904366e-06,892398287783540.6,7.087722845234069e+27,9.776656161508619e-14,170023002698847.8,1.340249903970988e-12,87.13580654182529,0.011482726206679119,5.248691492434089,6.026878048048012e-11,1.415461277116423e-10,1.771764391107619e-10,0.0,0.0,8.686952455971097e-16,1.2672019004821777,1.486205816268921,2048,618816,333,664,7.097310078089515e-17,0,2.4610781653285523,4.440892098500626e-16,1.9204427002093118,2.216255158178544
0.004,5120,5,42,58,58,32,1.0,1,2.3700844451621768,8.131620459360183e-15,4.2092236930431275e-08,3.0389511674241242e-15,1.1010057526522371e-08,5235330.398489556,3651933.876219318,1.3553386835521837e-08,4.6100352974694295e-14,3.5482073602388903e-05,11904617104459.824,1.6899819065100534e+27,5.529095880219241e-15,1673807877161.126,1.913759665969601e-12,83.62962970714948,0.011964417767454903,7.1122960208854655,1.9886978777143667e-10,5.194778099504132e-10,6.089224145450578e-10,0.0,0.0,2.770279106774253e-15,4.54084324836731,5.0289270877838135,5120,1611611,333,1050,7.094392785111689e-17,0,3.094641958146997,4.440892098500626e-16,2.206562960054383,2.336556398083467
0.002,10240,6,46,62,62,32,1.0,1,1.8549974190610745,1.9138679999719174e-14,3.1129910096504937e-07,5.124357416743153e-15,6.060495017442152e-08,16361251.785725823,12146910.957705695,7.889591147836208e-08,1.252642847906018e-13,0.0007797026812194891,159635962147.02972,3.282008282186793e+26,4.615272515844196e-16,16594190927.553284,5.006599781921886e-12,135.312752528517,0.0073922047567277615,9.619990684931038,5.366003936362807e-10,1.5184907449443435e-09,1.681155324276681e-09,0.0,0.0,2.919538591943755e-15,11.561028957366943,12.286624431610107,10240,3282563,333,1485,7.094437274064998e-17,0,3.6801702350145433,4.440892098500626e-16,2.453408119948272,2.509800451129178
0.001,20480,7,50,66,66,32,1.0,1,2.1495369014528816,6.831141269331976e-14,3.543103569998657e-06,1.2689656523796105e-14,3.874197982578342e-07,52536847.742886014,47892482.67924857,7.627777656114134e-07,3.0396156974117765e-13,0.006359061760603046,5888340603.93794,7.620152123331422e+25,5.2069522235720985e-17,426664791.04733723,1.74553193542018e-11,347.75676524934835,0.0028757464883657517,13.8008589588182,1.4387092917305098e-09,4.352417154953432e-09,4.573004455038185e-09,0.0,0.0,1.2221856904938362e-15,26.19579815864563,29.293766975402832,20480,6644373,333,2100,7.094226318112276e-17,0,4.376484627900829,4.440892098500626e-16,2.6730620595101198,2.6795341599846725
0.0005,40960,7,54,70,70,32,1.0000000000000002,1,1.5545699474914574,3.282059462684275e-14,4.253331776937822e-06,6.317646174960143e-15,4.544009184213134e-07,131296763.20596716,108095882.2043619,1.1567668305502646e-06,2.661454390370183e-13,0.023254412133238377,630127282.3167764,6.383587035634164e+25,9.047310626954764e-18,34365065.3777939,5.992971100432689e-12,142.39233200670316,0.007025262056851163,18.336274800860807,3.1485259708118154e-09,9.498770131342667e-09,1.0192084099147865e-08,0.0,0.0,1.9328911488039432e-15,55.485028982162476,69.24295282363892,40960,13396183,333,2970,7.094294189388492e-17,0,5.204546658200199,4.440892098500626e-16,2.6593466507190584,2.6706521001080628
0.0002,102400,8,58,74,74,32,1.0,1,1.4661313483485459,8.385926757213679e-14,4.659687203089011e-05,1.0936496087843086e-14,2.9282793131434364e-06,565538504.8204315,477832130.7933305,1.000821423193009e-05,8.967445992866187e-12,0.43884393436881225,4293965.3788046725,1.4254766428892432e+25,3.012301464372928e-19,156825.78758673763,1.447947777600558e-11,234.40548159238895,0.004266852233607793,27.380480244231226,1.108241003455413e-08,3.534223098512846e-08,3.6424462217079567e-08,0.0,0.0,1.4188407880519968e-15,169.65515637397766,205.77202248573303,102400,33720729,333,4696,7.094228089486303e-17,0,6.544370954366794,5.551115123125783e-16,2.8528557024732177,2.844068728150519
0.0001,204800,9,62,78,78,32,1.0,1,1.6324739834344995,2.794415488549109e-13,0.0004959156256207185,2.590486969463561e-14,1.8400570966280925e-05,1785937569.6108088,1456591090.0990286,7.044312456482047e-05,4.9736309676157805e-11,5.657508823134548,0.0,3.351762782075445e+24,0.0,0.0,4.5913812577558955e-11,467.1887395006699,0.0021406131402827086,37.51418237232528,3.011886975628764e-08,1.0104370616161025e-07,9.911130180155325e-08,0.0,0.0,1.7756185776506187e-15,380.2279727458954,448.2405598163605,204800,67667810,333,6642,7.094253919121837e-17,0,7.782612502151755,5.551115123125783e-16,3.038394179667437,3.0109259639285657
