sigma,folded_dimension,packet_rank,selected_enclosure,maximum_correction_rouche_ratio_upper,minimum_resolvent_budget_lower,center_winding_integer,center_maximum_phase_increment
0.01,2048,4,normwise,2.1232806150904366e-06,892398287783540.6,1,2.9975151298377614
0.004,5120,5,normwise,3.5482073602388903e-05,11904617104459.824,1,2.3700844451621768
0.002,10240,6,normwise,0.0007797026812194891,159635962147.02972,1,1.8549974190610745
0.001,20480,7,normwise,0.006359061760603046,5888340603.93794,1,2.1495369014528816
0.0005,40960,7,normwise,0.023254412133238377,630127282.3167764,1,1.5545699474914574
0.0002,102400,8,componentwise,0.00023812874221667215,5379383064866.759,1,1.4661313483485459
0.0001,204800,9,componentwise,0.0013173300056563153,478412832151.83484,1,1.6324739834344995
