sigma,folded_dimension,packet_rank,base_depth,primal_depth,dual_depth,contour_nodes,componentwise_center_winding_float,componentwise_center_winding_integer,componentwise_center_maximum_phase_increment,maximum_componentwise_correction_rouche_ratio_upper,minimum_componentwise_resolvent_budget_lower,maximum_normwise_correction_rouche_ratio_upper,minimum_normwise_resolvent_budget_lower,minimum_eta_tightening_factor,maximum_eta_tightening_factor,minimum_positive_budget_gain_over_normwise,maximum_primal_residual_norm_upper,maximum_dual_residual_norm_upper,maximum_base_consistency_norm_upper,minimum_corrected_feshbach_singular,primal_arnoldi_seconds,dual_arnoldi_seconds
0.0002,102400,8,58,74,74,32,1.0,1,1.4661313483485459,0.00023812874221667215,5379383064866.759,0.43884393436881225,4293965.3788046725,1407.956477633579,2456.415992750649,556759.3376208657,7.24116718227253e-08,1.3763923347048977e-08,2.1462694163820718e-08,0.004266852233607793,170.47679781913757,200.32929801940918
0.0001,204800,9,62,78,78,32,1.0,1,1.6324739834344995,0.0013173300056563153,478412832151.83484,5.657508823134548,0.0,2905.6628630057994,5654.90663046821,1967297.197871491,3.258726824072474e-07,4.356193121878426e-08,8.45787760640797e-08,0.0021406131402827086,359.29827404022217,426.56060123443604
