dimension,tail_degree,beta_one_cube_bound_upper,lambda_inverse_six_lower,beta_one_radius_bound_upper,beta_two_square_bound_upper,lambda_inverse_four_lower,beta_two_radius_bound_upper,target_radius_lower,both_certified
30,80,0.043735692206203054,0.04470517596187811,0.3523265204924336,0.07003902574640719,0.1259617074739775,0.2646488725583527,0.3549108444017701,True
40,90,0.03721659505509315,0.04470517596187811,0.3338711392153444,0.06542011161586318,0.1259617074739775,0.25577355534899066,0.3549108444017701,True
50,100,0.03582019310741138,0.04470517596187811,0.32964207629317005,0.06463843745471333,0.1259617074739775,0.2542409043696811,0.3549108444017701,True
60,110,0.03551411486380808,0.04470517596187811,0.32870047499483956,0.0644660686595515,0.1259617074739775,0.2539016909348016,0.3549108444017701,True
70,120,0.03544666313047272,0.04470517596187811,0.3284922435317669,0.06442802737887493,0.1259617074739775,0.2538267664744499,0.3549108444017701,True
