sigma,folded_dimension,packet_rank,tightest_arc,spectral_parameter_real,spectral_parameter_imag,arc_disc_radius,rh28_arc_resolvent_budget_lower,center_inverse_budget_lower,stored_singular_scalar,floating_center_inverse_candidate,floating_arc_inverse_candidate,floating_arc_budget_margin,right_vector_norm_lower,right_vector_norm_upper,left_vector_norm_lower,left_vector_norm_upper,raw_right_residual_norm_upper,raw_left_residual_norm_upper,normalized_right_residual_norm_upper,normalized_left_residual_norm_upper,normalization_norm_mismatch_upper,lift,lifted_inverse_budget_lower,required_lifted_singular_lower,lifted_bulk_singular_candidate,lifted_bulk_inverse_candidate,lifted_bulk_triplet_residual,lifted_bulk_budget_margin,conditional_full_inverse_candidate_bound,conditional_arc_inverse_candidate_bound,final_floating_triplet_residual,maximum_primal_gmres_iterations,maximum_dual_gmres_iterations,build_seconds,inverse_iteration_seconds,scale_seconds,triplet_file,triplet_sha256
0.01,2048,4,433,-0.09992358355749356,-0.4130514133515469,0.00010066701278021832,39725908713979.94,9933.740677625912,0.002286722975816321,437.30701557455467,457.4448307403578,86843059631.22372,0.9999999999999996,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0462011215673184e-11,4.416348144188851e-11,1.0462012738936694e-11,4.4163482965152044e-11,6.66133814775094e-16,1.0,9497.41451992225,0.00010529181367227367,0.06277403055940058,15.930154413993533,0.001588935174134449,596.190989308894,452.23720209453677,473.8074612240629,2.9520068837087754e-11,25,24,0.18385934829711914,1.2639539241790771,1.5186128616333008,results/triplets/dangerous_triplet_sigma_1e-02.npz,af8fe5811e128e1f97c072290856ef639a324a778f960fe8b0badc850c2add15
0.004,5120,5,1348,0.050745219137947176,-0.4917939900900011,2.88743569785507e-05,593710913439.3038,34632.803854647755,0.0017241314556562268,580.0021783254265,589.8810279455628,1006492640.5703871,0.9999999999999997,0.9999999999999999,1.0,1.0000000000000004,1.9943693369135986e-11,6.171504145124125e-11,1.9943694709055312e-11,6.171504279116061e-11,7.771561172376097e-16,1.0,34053.572294052305,2.9365494796405163e-05,0.03406532535632926,29.355363248107135,2.4341742609636466e-05,1160.0460197421714,608.3577392313367,619.2351864542043,3.3924544370959e-11,31,30,0.5251407623291016,5.267667770385742,5.989437103271484,results/triplets/dangerous_triplet_sigma_4e-03.npz,a8dbf3b1b8d5573b14bbb626e08de7176c712c2016af031018e28d98eec15877
0.002,10240,6,5453,0.16331234299716565,-0.5050265564926947,1.1179906535221128e-05,99688832602.19664,89446.10579673358,0.0014263061767278615,701.1117362571721,706.650721609366,141072285.86020502,0.9999999999999999,1.0000000000000002,0.9999999999999997,0.9999999999999999,3.447154654674949e-11,3.9082315984149556e-10,3.44715473385085e-11,3.9082316063325485e-10,5.551115123125784e-16,1.0,88744.46489479771,1.1268308408704158e-05,0.015890368677524996,62.93120193078836,2.690325027610476e-08,1410.1822652680103,763.0440202415826,769.6093737403799,3.385874605770003e-10,35,34,1.3976325988769531,20.15160322189331,22.008150100708008,results/triplets/dangerous_triplet_sigma_2e-03.npz,2bbed41101456d8cf1b664f62fc11c749655eeb4e87c8f4761690ba4f1cc634f
0.001,20480,7,2851,0.2617901277380918,-0.46800284254726854,4.604356944558759e-06,3179278015.3973255,217170.7588790588,0.00023860010529578148,4191.11298698023,4273.581922091255,743937.5384294873,0.9999999999999999,1.0000000000000002,0.9999999999999997,0.9999999999999999,5.855071943585359e-11,2.7028506152692647e-10,5.85507195683033e-11,2.702850616593764e-10,5.551115123125784e-16,1.0,212749.59106348892,4.700361561219542e-06,0.0081414280729192,122.82857393610048,1.009109542432416e-08,1732.0854931863685,4313.067999005042,4400.45623963617,1.7484532819135323e-10,40,39,3.1377546787261963,42.751047134399414,46.8907413482666,results/triplets/dangerous_triplet_sigma_1e-03.npz,c4791f997173052afe02531db83f15cf51af7e91340b11b49ad7968a2009718f
0.0005,40960,7,1281,0.31432601781974107,-0.46140479308411775,5.924234900788464e-06,506906413.74651325,168741.97780481502,0.000304497870978727,3284.0952115223904,3349.257533705902,151348.8911035244,1.0,1.0000000000000004,0.9999999999999999,1.0000000000000002,1.0788457430018503e-10,8.013771856902727e-10,1.0788457446921536e-10,8.013771858593034e-10,5.551115123125784e-16,1.0,165254.24426839445,6.051281795678842e-06,0.00650051476760274,153.83397096239196,5.305450240975369e-06,1074.2376552757287,3437.10853839013,3508.5504795562047,6.582374055962399e-10,49,48,6.368937253952026,111.21148347854614,119.56990432739258,results/triplets/dangerous_triplet_sigma_5e-04.npz,fb7ffde27ebb4f42f7fc02127d151db2682ad96465228313c4ac9583f3441ca0
0.0002,102400,8,2754,0.3752594942345641,-0.4264183708464624,2.6564839207821375e-06,40367986.37233823,372959.53476918594,0.0001183285528903373,8451.04563162168,8645.129363625367,4669.4485038231705,0.9999999999999998,1.0,0.9999999999999994,0.9999999999999997,2.409762333431091e-10,2.438200745251869e-09,2.409762334087949e-10,2.4382007453175576e-09,5.551115123125784e-16,1.0,344605.43761216855,2.9018694740546613e-06,0.0029921165478777015,334.21158033075176,1.293901616391047e-05,1031.0996323680063,8790.019308235074,9000.178378061231,2.106867468708597e-09,56,56,19.28352189064026,302.3349349498749,326.5928280353546,results/triplets/dangerous_triplet_sigma_2e-04.npz,a0f2341eb8cff1d9093205c154c231b5ca316c555add326faaac904a9c145af7
0.0001,204800,9,6375,0.4128851572919285,-0.3927930476601373,1.3700088812107225e-06,109987.85575676149,95584.73337012116,5.810814479514094e-05,17209.291460353437,17624.830000001504,6.240505908808885,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000007,4.3710206999243004e-10,3.5589875875666623e-09,4.371020700375894e-10,3.5589875876118226e-09,7.771561172376097e-16,1.0,62910.76333400045,1.5895531177882637e-05,0.0015107127703729527,661.9391982455593,1.1008582742927591e-06,95.04009356258499,17956.384544655615,18409.259815818295,2.8963613520066013e-09,60,58,50.63762545585632,637.9031116962433,698.617865562439,results/triplets/dangerous_triplet_sigma_1e-04.npz,555d3868a3f4a682342673f9ee4fd613fcf7882e724fbe8767cb1fd00159d270
