sigma,selected_arc,accepted_arc_count,transport_closed_arc_count,neumann_failure_arc_count,budget_failure_arc_count,ambiguous_arc_count,lifted_inverse_upper,sherman_morrison_denominator_lower,center_inverse_upper,selected_arc_neumann_product_upper,nearest_unselected_arc,nearest_unselected_neumann_product_lower,selected_arc_inverse_upper,selected_arc_budget_lower,selected_arc_budget_margin_lower,selected_arc_closed,full_contour_closed
0.01,433,936,1,935,0,0,4748.707259961125,0.0022866734083872397,5185.023846392756,0.5219608618105565,432,1.043921718823362,10846.44212612141,39725908713979.93,3662575087.024002,1,0
0.004,1348,2065,1,2064,0,0,17026.786147026152,0.0017237924641068639,17605.902993931843,0.5083591279765226,1347,1.0167182547850577,35810.49500923328,593710913439.3037,16579243.411358118,1,0
0.002,5453,6368,1,6367,0,0,44372.232447398856,0.0014247787788652403,45073.10794682516,0.5039131340974381,5452,1.0078262679052015,90857.28940801692,99688832602.19662,1097202.3626472002,1,0
