u,c2,dc2_du,c3,dc3_du,c4,dc4_du,c5,dc5_du,c6,dc6_du,largest_condition_top8
1.35,0.908664702879959,-4.993506976548538,-0.7801239653356506,-0.2662591796554156,1.6643943925319706,2.510466944232063,-0.8913269015646024,-0.25134902981243734,0.8864102974185215,-2.582705017507989,10.22030906909193
1.355,0.8839629088859589,-4.8872566790148735,-0.7814496296618583,-0.26401029909154006,1.6766147003131722,2.373521660181115,-0.8925746465450095,-0.2477569216353756,0.8736016492531038,-2.5377639423391103,11.053794076481008
1.36,0.859791442693602,-4.781421846916539,-0.7827641056218996,-0.2617837957716629,1.6880882233561052,2.2117527291114216,-0.8938045462840176,-0.24421006436398582,0.8610627964558812,-2.4747494207463587,9.534780943830484
1.365,0.8361475520541481,-4.676269379439351,-0.7840675045418295,-0.25957944584776627,1.6986910370497732,2.0252776540377546,-0.8950168125852416,-0.24070237347993906,0.8488844212238931,-2.3935855971426743,7.095875241874517
1.37,0.8130271981337414,-4.572046657326686,-0.7853599366317086,-0.2573970267639728,1.7083004135352402,1.814459211561514,-0.8962116216982778,-0.23722559051404538,0.8371568147577317,-2.2945082437167588,6.899565901757168
1.375,0.7904251579244728,-4.46897971374162,-0.7866415109919344,-0.2552363171966803,1.7167960689429793,1.579913223984158,-0.8973891014221712,-0.2337684286975972,0.82596827017433,-2.1780835515892956,7.047948927109274
1.3800000000000001,0.7683351343343758,-4.367271989356218,-0.7879123356191323,-0.25309709693396065,1.7240614405366967,1.3225126873380724,-0.8985493132174962,-0.23031541711201486,0.8154033938761016,-2.0452218399424744,7.346136916227647
1.385,0.7467498710871818,-4.267103648003016,-0.7891725174112207,-0.25097914665754834,1.7299849746460283,1.0433879049071004,-0.8996922275984125,-0.2268453514911495,0.8055413625235448,-1.8971854928220386,7.757869934438636
1.3900000000000001,0.7256612697219178,-4.168631413325783,-0.7904221621710243,-0.24888224756903388,1.734461404658922,0.7439223348213705,-0.9008176905634773,-0.22332923801090848,0.7964541561324374,-1.7355904664814559,8.292093072611197
1.395,0.7050605062135493,-4.071988874107024,-0.7916613746074481,-0.24680618076798266,1.7373929970703506,0.42574393632748864,-0.901925378195473,-0.21972759192735986,0.7882048009881781,-1.5624007588530877,8.985645216513975
1.4000000000000001,0.684938145022286,-3.97728719659832,-0.7928902583326349,-0.24475072623765978,1.7386907427320404,0.09071189203731797,-0.903014735804497,-0.21598692658146346,0.7808456589478627,-1.3799153022761705,9.90821014256539
1.405,0.6652842487036961,-3.8846161763007707,-0.7941089158526238,-0.24271566121447968,1.73827547009861,-0.25910130844327783,-0.9040848970989251,-0.21203524147827651,0.7744168021671454,-1.1907468366689231,11.184365398100912
1.4100000000000001,0.6460884815571877,-3.7940455591094078,-0.7953174485476315,-0.24070075759734422,1.736078857490626,-0.6214323169550982,-0.9051345778484136,-0.20777629307171294,0.768944514197262,-0.9977924483701509,13.050187117650662
1.415,0.6273402061407669,-3.7056265622595754,-0.7965159566359392,-0.2387057778736503,1.7320443222516335,-0.9938536699389107,-0.906161937367986,-0.20308241172317057,0.7644399595760287,-0.804195624441268,16.01535207458987
1.4200000000000002,0.6090285718208284,-3.6193935286795016,-0.7977045391121269,-0.23673046877369625,1.7261277662020373,-1.3738044528790763,-0.9071643999373721,-0.1977856173719991,0.7608980642945138,-0.6132998761639019,21.47993878971714
1.425,0.5911425948452944,-3.5353656536612417,-0.7988832936455511,-0.23477455147764995,1.7182981590012023,-1.7586243765349665,-0.908138427034602,-0.19166679031487982,0.7582966486593743,-0.42859422919726764,36.10198903319192
1.4300000000000002,0.5736712297170596,-3.4535487296657017,-0.8000523164177711,-0.23283770663910267,1.7085379439058572,-2.1455906252593353,-0.9090792300979083,-0.18444267893512736,0.7565958518959226,-0.2536511586512505,71.50690975241353
1.435,0.5566034318961672,-3.3739368630248467,-0.8012117018670545,-0.2309195516892793,1.6968432539129772,-2.5319567196381483,-0.9099804125624179,-0.17575058113211375,0.7557378841779738,-0.09205785882630707,44.87490196471136
1.4400000000000002,0.5399282120691886,-3.296514124770084,-0.8023615422927602,-0.22901960675734287,1.6832239303221623,-2.9149925360415097,-0.9108335293166198,-0.16513062917609184,0.7556471364977841,0.05265793071669855,56.95321288613822
1.445,0.5236346823918538,-3.2212561063311584,-0.8035019272503527,-0.22713724397024854,1.6677033402391839,-3.29202455037788,-0.9116275517003194,-0.15200574744522435,0.7562306718348979,0.17710598295241606,54.268116404753826
1.4500000000000002,0.5077120952365539,-3.1481313590174995,-0.8046329426364988,-0.22527161273519103,1.650317994333447,-3.6604753275965045,-0.9123482269747412,-0.13565954682776432,0.7573791124582092,0.2781136386088508,51.683714925917485
1.455,0.4921498750627349,-3.07710270370472,-0.8057546693197513,-0.2234215306797871,1.6311169710995017,-4.017901266359599,-0.9129773231250332,-0.11521267420544094,0.758967928008869,0.35280567774220833,52.92754015248563
1.46,0.47693764407905603,-3.0081284037797245,-0.8068671811113909,-0.2215853260152247,1.6101611587806062,-4.362027632443118,-0.9134917532141456,-0.08959845237177455,0.7608591174780435,0.3986815861996239,55.77731587227858
1.465,0.46206524238648594,-2.9411632000159407,-0.8079705417875351,-0.21976061194737112,1.587522330806805,-4.690779975726709,-0.913862578600219,-0.05753902143350736,0.7629032656402741,0.41368763172855205,60.18256868456792
1.47,0.4475227432862927,-2.8761592105971667,-0.8090648007608205,-0.21794396711469707,1.5632820748965512,-5.002311123123724,-0.9140538974270009,-0.01752361616561459,0.7649419413668208,0.3962810982885936,193.81977792308538
1.475,0.43330046441165715,-2.8130667029967427,-0.8101499868495718,-0.21613048759185333,1.5375305996952409,-5.295023070544473,-0.9140216340903924,0.03220893539110755,0.7668103920575446,0.3454840760878455,70.8330098558151
1.48,0.41938897530149566,-2.7518347469107987,-0.8112260993946953,-0.21431316548720347,1.5103654458213085,-5.567583256168019,-0.9137122569380818,0.09368095963702307,0.7683404758039647,0.26092438142749075,53.17411049261854
1.485,0.4057791019847057,-2.692411759042299,-0.8122930957186573,-0.21248203635375856,1.4818901303338348,-5.818934878424576,-0.9130614651537124,0.1691769978866286,0.7693637614853013,0.1428614901693281,48.547243332088804
1.49,0.3924619290867304,-2.634745951363344,-0.8133508735949317,-0.21062302239907643,1.452212754834747,-6.048301117304954,-0.9119929012528131,0.26123194435390784,0.7697147174663947,-0.007804191057562804,46.63099006476453
1.495,0.37942879991144274,-2.5787856946835213,-0.8143992469881451,-0.2087163808641656,1.4214446076245544,-6.255183318134267,-0.9104169622256049,0.37260288617661785,0.7692339025393031,-0.18953983250830952,43.941374482662034
1.5,0.36667131489277605,-2.5244798090619094,-0.8154379128235166,-0.2067346472446148,1.3896987895398354,-6.439353393562924,-0.9082297991276539,0.5062213583577401,0.7677710687757424,-0.4002069268832763,40.58436453203915
1.5050000000000001,0.35418132875433006,-2.4717777919496666,-0.8164664059401577,-0.2046399419076367,1.3570888913555539,-6.600840883161828,-0.9053126105330098,0.6651231095870438,0.7651880854570219,-0.637106005322009,42.73724957216865
1.51,0.34195094666291226,-2.420629994058171,-0.8174840386718426,-0.20238048724520707,1.3237277480222618,-6.73991527225786,-0.9015313481031739,0.8523532101931064,0.7613615964779159,-0.8970382973024701,44.230690477271445
1.5150000000000001,0.32997251961452,-2.3709877519142646,-0.8184898206835387,-0.19988616250722585,1.289726291652662,-6.8570643053073645,-0.8967369607196447,1.0708454604572537,0.7561853306414847,-1.1763825578823426,44.767228910393804
1.52,0.31823863924921514,-2.322803484972531,-0.8194823537850568,-0.19706290727242565,1.255192521231634,-6.952969128603804,-0.890766305177066,1.3232765876430477,0.7495719949187194,-1.471184588589376,44.11424592889269
1.5250000000000001,0.30674213225468105,-2.276030764067898,-0.8204596954712321,-0.19378577528007934,1.220230602679325,-7.028477158835037,-0.8834438443705832,1.611897627038068,0.7414546946666976,-1.7772563771448922,42.19014657976865
1.53,0.29547605448699255,-2.230624356957072,-0.8214191839452702,-0.18989044196330312,1.1849401083418272,-7.084573596469443,-0.8745842365107452,1.9383470939830576,0.7317878414019188,-2.090281315060281,46.955203743011964
1.5350000000000001,0.28443368491077314,-2.186540255744914,-0.8223572164337887,-0.18516298608369208,1.1494154004135733,-7.12235248686701,-0.8639958899232585,2.3034529477699213,0.7205475272538417,-2.4059216526179945,52.677684007245354
1.54,0.2736085194391349,-2.143735690140405,-0.8232689717883979,-0.17932780346201727,1.113745158396764,-7.142988180154825,-0.8514855169397602,2.707032751726328,0.7077313647860033,-2.7199242393113017,59.359139705150184
1.5450000000000002,0.2629942647359411,-2.1021691297436913,-0.8241480678053463,-0.1720335742144354,1.0780120466436025,-7.147707957867669,-0.8368636677368064,3.1477036303635515,0.6933578104994287,-3.028220683667212,85.4583498172565
1.55,0.2525848320286048,-2.061800277931189,-0.8249861435235948,-0.1628372991428165,1.042292514448616,-7.137766486169857,-0.8199511623757716,3.62271536749811,0.6774650090440808,-3.3270183452026116,174.67050568924515
1.5550000000000002,0.2423743309681179,-2.02259005937396,-0.8257723571476278,-0.15118655009334117,1.0066567181688812,-7.114422629178213,-0.8005862696458369,4.127821022375294,0.6601092120331455,-3.6128790251062273,202.98976035985115
1.56,0.232357063564002,-1.9845006027871743,-0.8264927913659273,-0.13640024562741004,0.9711685525218818,-7.078919019027751,-0.7786324087777985,4.657199524321808,0.6413628395787394,-3.8827828204707684,200.1069446702207
1.565,0.2225275182147768,-1.9474952201535851,-0.8271297598871761,-0.11764846715687065,0.9358857765774586,-7.0324646393890555,-0.7539860799338124,5.203443647629394,0.6213122636231625,-4.134175308334489,200.36446087165405
1.57,0.21288036384908082,-1.9115383833811037,-0.8276610121731691,-0.09393206828347812,0.9008602190197643,-6.976220543213752,-0.7265846676248842,5.757624452441787,0.6000553994305837,-4.364996981768477,194.71894924607471
