u,rank_by_modulus,real,imag,modulus,condition_number
1.375,9,-0.13959903990761294,0.0,0.13959903990761294,25.06165968688428
1.375,10,0.06933918722774735,0.0,0.06933918722774735,53.957842255046664
1.375,11,0.00014506890327759567,0.046073760939753385,0.04607398932282989,46.041746238130344
1.375,12,0.00014506890327759567,-0.046073760939753385,0.04607398932282989,46.041746238130344
1.3800000000000001,1,-0.9998199139495402,0.0,0.9998199139495402,1.304821659121005
1.3800000000000001,2,1.4964571867018273e-05,0.7118860755537578,0.7118860757110431,1.310555084265034
1.3800000000000001,3,1.4964571867018273e-05,-0.7118860755537578,0.7118860757110431,1.310555084265034
1.3800000000000001,4,0.6443591612700018,0.0,0.6443591612700018,2.262808998004712
1.3800000000000001,5,-0.40765031221278397,0.0,0.40765031221278397,4.113243874283891
1.3800000000000001,6,-0.24785068089750062,0.0,0.24785068089750062,4.420229321345597
1.3800000000000001,7,0.24635378004162134,0.02242499334984233,0.24737232114271804,7.346136916227647
1.3800000000000001,8,0.24635378004162134,-0.02242499334984233,0.24737232114271804,7.346136916227647
1.3800000000000001,9,-0.1334961110924297,0.0,0.1334961110924297,25.311261934448478
1.3800000000000001,10,0.06537124678751216,0.0,0.06537124678751216,55.41609262918323
1.3800000000000001,11,0.00015382969013136457,0.04612172247861379,0.0461219790118316,53.309998369857865
1.3800000000000001,12,0.00015382969013136457,-0.04612172247861379,0.0461219790118316,53.309998369857865
1.385,1,-0.9997754089198989,0.0,0.9997754089198989,1.2940366342292466
1.385,2,1.9287529029576866e-05,0.715381952600034,0.7153819528600411,1.3145905124378552
1.385,3,1.9287529029576866e-05,-0.715381952600034,0.7153819528600411,1.3145905124378552
1.385,4,0.6421224315241267,0.0,0.6421224315241267,2.223507174193745
1.385,5,-0.40272333588688086,0.0,0.40272333588688086,4.020194644695016
1.385,6,-0.24888423730627895,0.0,0.24888423730627895,4.533796850804905
1.385,7,0.24346286517047672,0.02372544676326762,0.24461615551948807,7.757869934438636
1.385,8,0.24346286517047672,-0.02372544676326762,0.24461615551948807,7.757869934438636
1.385,9,-0.1271776376638196,0.0,0.1271776376638196,25.698238017471642
1.385,10,0.06165450500021454,0.0,0.06165450500021454,57.30403330941951
1.385,11,0.00015099643199026737,0.045934636731555276,0.04593488490877517,62.637935160607405
1.385,12,0.00015099643199026737,-0.045934636731555276,0.04593488490877517,62.637935160607405
1.3900000000000001,1,-0.9997206395485212,0.0,0.9997206395485212,1.28337964075379
1.3900000000000001,2,2.4375931669831652e-05,0.7184113432315002,0.7184113436450419,1.3203844295649938
1.3900000000000001,3,2.4375931669831652e-05,-0.7184113432315002,0.7184113436450419,1.3203844295649938
1.3900000000000001,4,0.6397863423346591,0.0,0.6397863423346591,2.185309738518042
1.3900000000000001,5,-0.3973992736149657,0.0,0.3973992736149657,3.9388308174632276
1.3900000000000001,6,-0.2495238870584653,0.0,0.2495238870584653,4.664959517114066
1.3900000000000001,7,0.24011622293258433,0.024586100986303806,0.24137165715369166,8.292093072611197
1.3900000000000001,8,0.24011622293258433,-0.024586100986303806,0.24137165715369166,8.292093072611197
1.3900000000000001,9,-0.1206392776683281,0.0,0.1206392776683281,26.272993183962654
1.3900000000000001,10,0.05828207990985801,0.0,0.05828207990985801,59.919135409995235
1.3900000000000001,11,0.00013673861876429107,0.04550524388313307,0.045505449325473984,74.69997814456896
1.3900000000000001,12,0.00013673861876429107,-0.04550524388313307,0.045505449325473984,74.69997814456896
1.395,1,-0.999653480315465,0.0,0.999653480315465,1.2728625910249118
1.395,2,3.023089910519916e-05,0.7209665619602821,0.7209665625940891,1.3280132720884783
1.395,3,3.023089910519916e-05,-0.7209665619602821,0.7209665625940891,1.3280132720884783
1.395,4,0.6373334080324892,0.0,0.6373334080324892,2.1483644409375353
1.395,5,-0.3916255418403988,0.0,0.3916255418403988,3.8707736482640254
