sigma,folded_dimension,packet_rank,base_depth,primal_depth,dual_depth,initial_arc_count,arc_workers,accepted_arc_count,attempted_arc_count,subdivision_count,maximum_refinement_level,exact_dyadic_partition_verified,contour_center_real,contour_center_imag,contour_radius,maximum_arc_disc_radius,maximum_correction_ratio_upper,minimum_resolvent_budget_lower,maximum_projected_inverse_norm_upper,maximum_projected_family_neumann_product,maximum_coordinate_contraction,maximum_coordinate_iterations,direct_defect_norm_upper,observation_norm_upper,maximum_primal_relation_norm_upper,maximum_dual_relation_norm_upper,maximum_primal_source_defect_norm_upper,maximum_dual_source_defect_norm_upper,static_certificate_seconds,primal_arnoldi_seconds,dual_arnoldi_seconds,scale_seconds
0.01,2048,4,36,52,52,64,16,936,1808,872,8,1,-0.3233504401504541,-0.5508412474453575,0.2624987592858511,0.012884084077230098,0.00042264030655160675,39725908713979.94,112612.38093807633,0.9995965227894321,0.9413006272051071,14,7.857357678105863e-12,1.6510898006707035,2.653225304398315e-06,1.5635747132388802e-06,1.0585792624692965e-11,1.1012386162423893e-11,2.853224277496338,1.261369228363037,1.2986536026000977,11.223611116409302
0.004,5120,5,42,58,58,64,16,2065,4066,2001,9,1,-0.0025055609909863663,-0.6326494733728317,0.1505852341870869,0.0073910932887231795,0.013300778339780918,593710913439.3038,752611.664321688,0.9999004146733269,0.8374385091183457,12,1.5192537685353956e-11,1.9789454730587557,0.00011517400288762256,0.00028341134229321034,2.2022150877525922e-11,1.8942789311346736e-11,9.48267912864685,4.273320913314819,4.561620235443115,36.40042448043823
0.002,10240,6,46,62,62,64,16,6368,12672,6304,11,1,0.19834822407338853,-0.6162494494914493,0.1166106551297936,0.005723537471493618,0.04275180627754622,99688832602.19664,840838.1397642877,0.9998259484693498,0.6425174577283941,12,3.036439463047557e-11,2.0707512362070815,0.00118403193583363,0.0006813401933785158,4.781120218777597e-11,3.273845831071944e-11,23.981544733047485,11.511207818984985,12.10711932182312,113.91245555877686
0.001,20480,7,50,66,66,64,16,8942,17820,8878,11,1,0.3142729568561994,-0.5484467747212602,0.09605036999332309,0.004714388159432896,0.40328311039276316,3179278015.3973255,1352059.847260266,0.9998731787282122,0.5551249976492453,12,5.868090729050494e-11,1.937948195842356,0.0028550042762513794,0.00605962930678728,9.560860976487367e-11,5.887441056147106e-11,58.962058544158936,25.80534529685974,28.63829517364502,219.132958650589
0.0005,40960,7,54,70,70,64,16,7160,14256,7096,10,1,0.3002849031543217,-0.5215803677067302,0.061792011475667735,0.0015165660691506598,0.7366199549426983,506906413.74651325,869765.4203280584,0.9999156039270376,0.31465927340192373,9,7.940980770190563e-11,3.210918523638994,0.014939354398879912,0.016146138741784524,1.2709506031905718e-10,9.005048640327372e-11,125.34937810897827,51.67161226272583,64.5293378829956,345.3292245864868
0.0002,102400,8,58,74,74,64,16,13440,26816,13376,11,1,0.3830253165723413,-0.48128780134223514,0.05541626475604751,0.0013600856292109163,0.9318645783845858,40367986.37233823,307058.26505920716,0.9992982496266875,0.18001903186676838,9,2.2223785807765809e-10,3.8753896791297398,0.0510189515591063,0.07050169942100805,3.4397336942059454e-10,2.1803946981917725e-10,459.32931184768677,168.68919396400452,202.58527183532715,1072.4355463981628
0.0001,204800,9,62,78,78,64,16,29538,59012,29474,13,1,0.4414713022650376,-0.4422901763788192,0.05715884389853751,0.001402853882536816,0.9995896159321441,109987.85575676149,150915.313392042,0.9988923520121881,0.1822913598280091,9,5.859918771137926e-10,3.9220406463679995,0.06296831072578704,0.11791198917565546,8.525519845216085e-10,5.002068203366147e-10,1121.9129114151,373.56117153167725,438.0011887550354,2516.3837790489197
