case,separation,separation_squared,vandermonde_quotient,extrapolated_limit
three_step,0.003,9e-06,-0.004873570168828206,-0.004873490984317172
three_step,0.002,4e-06,-0.004873542541750085,-0.004873490984317172
three_step,0.0015,2.25e-06,-0.004873521339573726,-0.004873490984317172
three_step,0.001,1e-06,-0.004873518255623044,-0.004873490984317172
three_step,0.0007,4.9e-07,-0.00487349066188752,-0.004873490984317172
six_step,0.003,9e-06,-3.144856716605598,-3.114153424584272
six_step,0.002,4e-06,-3.1277456596923074,-3.114153424584272
six_step,0.0015,2.25e-06,-3.1217899705607954,-3.114153424584272
six_step,0.001,1e-06,-3.1175473314003805,-3.114153424584272
six_step,0.0007,4.9e-07,-3.1158111400347774,-3.114153424584272
