case,rank,action,active_coordinates,points
autonomous_three,1,0.014154618536360221,1,1 -0.674048874335 0.235995845427
autonomous_three,2,0.31232957570700265,3,-1 -1 -1
autonomous_six,1,0.028309237072720452,2,0.235995845406 1 -0.674048874375 0.235995845434 1 -0.67404887436
autonomous_six,2,0.09975030997186721,1,0.46850425808 0.718932910258 0.176096321812 1 -0.952225582951 -0.538678306554
autonomous_six,3,0.3262642579312109,3,0.246400561743 1 -1 -1 -0.991802271641 -0.664826581004
autonomous_six,4,0.6246591514140053,6,-1 -1 -1 -1 -1 -1
directed_three_forward,1,0.004907356765531398,1,-0.736250695989 0.19365510942 1
directed_three_forward,2,0.010597017688003474,1,0.233144498711 1 -0.655787906489
directed_three_forward,3,0.03546344775391087,1,1 -0.635284295944 0.269106747571
directed_three_forward,4,0.3267295757070027,3,-1 -1 -1
directed_three_reverse,1,0.0028306931797570834,1,0.181457086935 1 -0.717329213201
directed_three_reverse,2,0.01864694789325265,1,-0.693540093239 0.239325860009 1
directed_three_reverse,3,0.029684541737583118,1,1 -0.617795358281 0.27059168194
directed_three_reverse,4,0.3267295757070027,3,-1 -1 -1
directed_three_reverse,5,1.5128231507569094,0,0.461403247917 -0.832567570105 0.663251606817
directed_six_forward,1,0.000773474721337138,1,-0.0937246442034 1 -0.45185847424 0.664623303552 0.327955890458 0.812043961133
directed_six_forward,2,0.0015852298969467919,1,1 -0.463283131876 0.664416783113 0.333171175123 0.814420866696 -0.0982446031729
directed_six_forward,3,0.019339128264466786,2,-0.733079734558 0.201657757401 1 -0.677971175761 0.226298147649 1
directed_six_forward,4,0.0359562081517707,2,0.160752765248 1 -0.629982436102 0.281280205246 1 -0.703084385681
directed_six_forward,5,0.0472120218538143,1,-0.580260557581 0.466288892215 0.731390671232 0.156101863137 1 -0.94650740167
directed_six_forward,6,0.05135127888935031,2,1 -0.642464581306 0.2927644186 1 -0.663271292858 0.213910973516
directed_six_forward,7,0.07278129546823905,2,-1 -0.560271381203 0.467483055925 0.721960788211 0.16877413455 1
directed_six_forward,8,0.08358501191797083,1,0.460936104056 0.750512584228 0.173282208546 1 -0.920049283601 -0.531236494961
directed_six_reverse,1,0.0006154706481196597,1,-0.0921810585602 1 -0.449217643022 0.647194154747 0.311077835453 0.842360145946
directed_six_reverse,2,0.0017048402790683628,1,1 -0.464833483079 0.661296983917 0.286573661446 0.848554402721 -0.10586951085
directed_six_reverse,3,0.018909495400012254,2,-0.684320934331 0.261119655558 1 -0.705228308705 0.154867115291 1
directed_six_reverse,4,0.04413787321401509,2,1 -0.648233471601 0.280102608537 1 -0.719972553927 0.174491927627
directed_six_reverse,5,0.04417935785940908,2,0.246791283277 1 -0.622685479278 0.258880931941 1 -0.669668340945
directed_six_reverse,6,0.047109697554884596,1,0.75854710078 0.163198266034 1 -0.947286828512 -0.582889678837 0.425518739758
directed_six_reverse,7,0.05705080301857621,1,0.448605803976 0.75972898276 0.156887124524 1 -0.973098015768 -0.564737593899
directed_six_reverse,8,0.09959301469668483,1,-0.529482945807 0.509072172846 0.694371399304 0.170440596473 1 -0.949287918709
