length,word,point,clearance,clearance_times_lambda_power,inverse_fixed_point_residual
2,CA,0.9010184338065744,0.09898156619342557,0.27889135470139315,1.1102230246251565e-15
4,CACB,0.9572289089633425,0.04277109103665755,0.33955629765889916,2.220446049250313e-16
6,CACBCB,0.9829698048162306,0.01703019518376936,0.3809445957284992,3.3306690738754696e-16
8,CACBCBCB,0.9935052674345288,0.006494732565471173,0.40934000883784283,0.0
10,CACBCBCBCB,0.9975875164401486,0.0024124835598513528,0.4284183011922251,1.1102230246251565e-16
12,CACBCBCBCBCB,0.9991190189710948,0.0008809810289052145,0.44080949350703535,1.1102230246251565e-16
14,CACBCBCBCBCBCB,0.999681788100708,0.0003182118992920424,0.4486229935032553,0.0
16,CACBCBCBCBCBCBCB,0.9998858486967954,0.00011415130320457934,0.4534471928177528,0.0
18,CACBCBCBCBCBCBCBCB,0.9999592239863259,4.0776013674137523e-05,0.4563849772122768,0.0
20,CACBCBCBCBCBCBCBCBCB,0.9999854719093499,1.4528090650056669e-05,0.45815860272217096,1.1102230246251565e-16
22,CACBCBCBCBCBCBCBCBCBCB,0.9999948318359738,5.1681640261813655e-06,0.4592237321449588,0.0
24,CACBCBCBCBCBCBCBCBCBCBCB,0.9999981632158306,1.8367841694288956e-06,0.4598613322954508,0.0
26,CACBCBCBCBCBCBCBCBCBCBCBCB,0.9999993475653643,6.524346356506783e-07,0.4602422712588232,0.0
28,CACBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999997683294982,2.3167050178241055e-07,0.46046960231871253,0.0
30,CACBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999999177534192,8.224658076816382e-08,0.4606051706787411,0.0
32,CACBCBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999999708046753,2.919532471334918e-08,0.460685981687366,0.0
34,CACBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999999896371796,1.0362820379583582e-08,0.46073413366199717,0.0
36,CACBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999999963218938,3.6781061529822523e-09,0.4607627985545868,0.0
38,CACBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.999999998694552,1.305447971944318e-09,0.4607798155754759,0.0
40,CACBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999999995366724,4.633275985099772e-10,0.4607897175034915,0.0
42,CACBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999999998355581,1.6444190453768215e-10,0.4607950845547706,0.0
44,CACBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999999999416376,5.836242600310015e-11,0.46079674898036505,0.0
46,CACBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999999999792867,2.0713319948129083e-11,0.460793680199985,0.0
48,CACBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCB,0.9999999999926488,7.351230735253012e-12,0.46078420668995995,0.0
