two_step_length,fixed_F_count,expected_fixed_F_count,fixed_iota_F_count,expected_fixed_iota_F_count,even_beta_one_flat_trace,odd_beta_two_flat_trace,orbifold_branch_weight,interval_endpoint_weight,reconstructed_component_trace,direct_component_trace,reconstruction_error
1,1,1,3,3,1.2384911978162352,0.1829255670361356,0.5957439419765593,0.3549108444017701,0.8147325332053104,0.8147325332053105,-1.1102230246251565e-16
2,3,3,5,5,1.043940546389003,0.023976300252288668,0.3549108444017701,0.12596170747397747,0.7910151092089218,0.79101510920892,1.7763568394002505e-15
3,7,7,9,9,1.0090025259375839,0.0035670780045273798,0.2114359854941398,0.0447051759618781,0.8387046384007948,0.8387046384007948,0.0
4,15,15,17,17,1.001867979414481,0.0005417428719470957,0.12596170747397747,0.01586635174975987,0.8912308808183161,0.8912308808183145,1.6653345369377348e-15
5,31,31,33,33,1.0003882235899553,8.25694298082491e-05,0.07504092414864558,0.005631140297082778,0.9308958703085841,0.9308958703085873,-3.219646771412954e-15
6,63,63,65,65,1.0000807015627058,1.2592539976867545e-05,0.0447051759618781,0.0019985527577824833,0.9573614858186335,0.9573614858186323,1.1102230246251565e-15
7,127,127,129,129,1.000016776198787,1.920674864078556e-06,0.02663283775428498,0.0007093080468460675,0.9740913258164842,0.9740913258164801,4.107825191113079e-15
8,255,255,257,257,1.0000034874394423,2.929560168800707e-07,0.01586635174975987,0.0002517411178471081,0.9843885838515127,0.9843885838515012,1.1546319456101628e-14
9,511,511,513,513,1.0000007249699006,4.4684035463513766e-08,0.009452282936188624,8.934565270576265e-05,0.9906377430023824,0.9906377430023816,7.771561172376096e-16
10,1023,1023,1025,1025,1.0000001507069647,6.815576547147123e-09,0.005631140297082778,3.170974104542952e-05,0.9944007133353507,0.9944007133353435,7.216449660063518e-15
