two_step_length,long_double_trace,multiprecision_trace,long_double_minus_multiprecision
1,8.14732533205310424564e-01,0.81473253320531042470694471174498247515906703,4.71285582828e-17
2,7.91015109208919997791e-01,0.791015109208919997714406263017062989307340902,4.42577288324e-17
3,8.38704638400794801306e-01,0.838704638400794801123364989388804461466906612,-1.2556992472e-17
4,8.91230880818314450753e-01,0.891230880818314450229180352399730949863764765,2.45935474363e-17
5,9.30895870308587307027e-01,0.930895870308587305583755206456488044688799074,3.0933081579e-17
6,9.57361485818632310389e-01,0.957361485818632309850790704439739144112667348,3.07878102038e-17
