truncation_degree,centered_zeta_positive_root,lambda_fixed,root_minus_lambda,absolute_root_error,partial_log_G_at_lambda,partial_G_at_lambda,last_log_G_term_at_lambda
3,1.996262961075691,1.6785735104283224,0.31768945064736864,0.31768945064736864,1.29965815418714674204e-01,1.1387894536185836,8.569099405908e-03
4,1.8296317605336267,1.6785735104283224,0.15105825010530438,0.15105825010530438,1.32598037085775786298e-01,1.1417909484594855,2.632221667061e-03
5,1.757120918910432,1.6785735104283224,0.07854740848210962,0.07854740848210962,1.33412670337212460844e-01,1.1427214682970306,8.146332514367e-04
6,1.721509822438184,1.6785735104283224,0.04293631200986159,0.04293631200986159,1.33666589565663096145e-01,1.1430116640921815,2.539192284506e-04
7,1.702766733464408,1.6785735104283224,0.02419322303608573,0.02419322303608573,1.33746273815696347035e-01,1.1431027477483322,7.968425003325e-05
8,1.6924706051710565,1.6785735104283224,0.01389709474273415,0.01389709474273415,1.33771440938740178599e-01,1.143131516717851,2.516712304383e-05
9,1.6866567723767925,1.6785735104283224,0.008083261948470088,0.008083261948470088,1.33779437664905153223e-01,1.1431406580641112,7.996726164975e-06
10,1.6833139574051406,1.6785735104283224,0.004740446976818191,0.004740446976818191,1.33781992944534609469e-01,1.1431435791118805,2.555279629456e-06
11,1.6813686778380965,1.6785735104283224,0.0027951674097741463,0.0027951674097741463,1.33782813754398621404e-01,1.1431445174157913,8.208098640119e-07
12,1.6802275681582228,1.6785735104283224,0.00165405772990046,0.00165405772990046,1.33783078701119926727e-01,1.143144820288223,2.649467213053e-07
13,1.6795546167439348,1.6785735104283224,0.0009811063156124344,0.0009811063156124344,1.33783164607681426584e-01,1.1431449184918683,8.590656149985e-08
14,1.6791563531359233,1.6785735104283224,0.0005828427076008946,0.0005828427076008946,1.33783192577753542446e-01,1.1431449504657145,2.797007211587e-08
15,1.678920106269846,1.6785735104283224,0.00034659584152363365,0.00034659584152363365,1.33783201719248199873e-01,1.143144960915768,9.141494657425e-09
16,1.6787797531028292,1.6785735104283224,0.0002062426745068624,0.0002062426745068624,1.33783204717469394966e-01,1.1431449643431695,2.998221195099e-09
17,1.6786962872684363,1.6785735104283224,0.0001227768401139695,0.0001227768401139695,1.33783205703997492596e-01,1.143144965470914,9.865280976247e-10
18,1.6786466195744159,1.6785735104283224,7.310914609348629e-05,7.310914609348629e-05,1.33783206029564938930e-01,1.1431449658430848,3.255674463315e-10
19,1.6786170517871275,1.6785735104283224,4.3541358805132546e-05,4.3541358805132546e-05,1.33783206137299299140e-01,1.1431449659662407,1.077343602103e-10
20,1.6785994450544888,1.6785735104283224,2.5934626166401742e-05,2.5934626166401742e-05,1.33783206173039284750e-01,1.1431449660070967,3.573998561684e-11
