sigma,folded_dimension,component_period,packet_rank,arnoldi_depth,direct_center_real,direct_center_imag,direct_center_modulus,direct_lower_half_root_count,discovery_radius_factor,selected_radius_factor,selected_contour_radius,root_radial_distance_from_direct,next_projected_event_radius,next_projected_zero_radius,next_projected_pole_radius,next_projected_event_type,isolation_corridor_width,relative_isolation_corridor_width,selected_contour_event_clearance,selected_winding_float,selected_winding_integer,selected_projected_pole_count,selected_projected_zero_count,selected_cauchy_count_error,selected_cauchy_centroid_real,selected_cauchy_centroid_imag,predicted_root_real,predicted_root_imag,predicted_root_newton_iterations,predicted_root_relative_singular,projected_augmented_count,projected_augmented_closest_error,projected_determinant_factorization_residual,reference_mu_real,reference_mu_imag,reference_root_real,reference_root_imag,direct_root_reference_error,feshbach_root_reference_error,prediction_improvement_factor,reference_right_residual,reference_left_residual,reference_pairing_error,reference_eigenvalue_condition,captured_outer_reference_count,outer_capture_cutoff,selected_contour_radial_floor,outer_count_radially_complete,maximum_relative_arnoldi_residual,minimum_feshbach_singular_value,maximum_contour_phase_increment,maximum_arnoldi_orthogonality_error,sampled_rouche_base_depth,sampled_rouche_maximum_relative_perturbation,sampled_rouche_criterion_on_mesh,matrix_build_seconds,peripheral_eigensolve_seconds,reference_eigensolve_seconds,total_eigensolve_seconds,arnoldi_build_seconds
0.01,2048,3,4,36,-0.3233504401504541,-0.5508412474453575,0.6387343634349493,1,0.43,0.4109670221501787,0.2624987592858511,0.24807965556636363,0.2769178630053385,0.2769178630053385,0.27691786300533944,projected_pole_zero_cluster,0.02883820743897486,0.045148983818391095,0.014419103719487403,1.0000000000000002,1,0,1,1.0125464655814656e-12,-0.09936041465368489,-0.444201742645836,-0.09936041465371162,-0.44420174264580264,1,2.8120567500959025e-17,1,1.2366035645442176e-15,2.1921667150858183e-15,-0.4217927925285867,0.5265639319995015,-0.09936041465371223,-0.44420174264580514,0.24807965556636202,2.571550710572905e-15,96470839383561.44,2.3003871231485514e-15,3.76841672208808e-15,4.2146927063254517e-16,9.21282020175403,1,0.0014032328567665725,0.3762356041490982,1,2.032565081814395e-15,0.010243074237331581,0.273115689579023,1.3712433341869098e-15,28,7.398752170867434e-15,1,0.09229588508605957,0.0704507827758789,0.11196231842041016,0.18241310119628906,0.5390982627868652
0.004,5120,4,5,42,-0.0025055609909863663,-0.6326494733728317,0.6326544348969672,1,0.25,0.23802130496660617,0.1505852341870869,0.1362292215686876,0.16494124680548622,0.16494124680548622,0.16494124680548652,projected_pole_zero_cluster,0.02871202523679861,0.04538342522087053,0.014356012618399305,1.0,1,0,1,1.5307778266434325e-15,0.060517327855508736,-0.511874822511598,0.0605173278555088,-0.5118748225115979,1,5.26380383810983e-17,1,1.240723903432475e-15,3.350864835086215e-15,-0.5366363393953042,0.4769289600182421,0.060517327855510145,-0.5118748225115977,0.13622922156868855,1.364335476065276e-15,99850237686094.39,3.659255434533307e-15,3.1424319520078223e-15,2.227286095547329e-16,12.958581067413554,1,0.013802649078580444,0.48206920070988024,1,3.7159922905215525e-15,0.01123639018131501,0.20281989581658277,1.925550283723885e-15,34,1.724954738663348e-14,1,0.17707085609436035,0.23811936378479004,0.29416894912719727,0.5322883129119873,2.0561532974243164
0.002,10240,5,6,46,0.19834822407338853,-0.6162494494914493,0.6473835045717349,2,0.19,0.18012608338999203,0.1166106551297936,0.10582912575742595,0.12739218450216125,0.12739218450216125,0.12739218450216266,projected_pole_zero_cluster,0.021563058744735297,0.033308013862663924,0.010781529372367649,1.0000000000000002,1,0,1,3.72718165839867e-15,0.17545688329346626,-0.5129257330664262,0.17545688329346637,-0.5129257330664263,1,1.3484530557828554e-17,1,1.79383492860469e-15,3.910290665570822e-15,-0.5989832929492147,0.4281636392068091,0.17545688329346615,-0.5129257330664281,0.10582912575742438,1.790180836524724e-15,59116444326859.375,2.5196053441107415e-15,2.713976248508873e-15,2.5673907444456745e-16,18.047292896913337,1,0.023565713578007158,0.5307728494419413,1,9.184665005251664e-15,0.00627692695836786,0.18045175407821645,2.2226126401383437e-15,38,5.523890048046817e-14,1,0.3419063091278076,0.7535090446472168,0.5888388156890869,1.3423478603363037,6.484741926193237
0.001,20480,6,7,50,0.3142729568561994,-0.5484467747212602,0.6321086584704336,2,0.16,0.15195230868335868,0.09605036999332309,0.09004833819298136,0.1020524017936648,0.1020524017936648,0.10205240179366633,projected_pole_zero_cluster,0.012004063600683443,0.018990506521031816,0.0060020318003417145,1.0000000000000002,1,0,1,4.251411894738604e-14,0.24923453184405592,-0.486167512657093,0.24923453184405583,-0.4861675126570922,1,3.322922940037015e-17,1,1.8209011484034673e-15,4.0237484322209356e-15,-0.630699907001778,0.38541904577744013,0.24923453184405897,-0.486167512657091,0.09004833819297989,3.3460149361160777e-15,26912114832788.06,3.277101957112101e-15,2.8126943203766156e-15,6.938893903907228e-18,31.73569672859922,1,0.039851326022539824,0.5360582884771106,1,2.811482067584368e-14,0.0025676468706543037,0.1871298386732434,2.7429154755220035e-15,42,1.0885504466677318e-13,1,0.6565299034118652,1.6278636455535889,1.392416000366211,3.0202796459198,15.965250968933105
0.0005,40960,6,7,54,0.3002849031543217,-0.5215803677067302,0.6018447499475993,2,0.12,0.10267101520956654,0.061792011475667735,0.05095680031785862,0.07262722263347685,0.07262722263347808,0.07262722263347685,projected_pole_zero_cluster,0.021670422315618228,0.03600666503696344,0.01083521115780911,1.0,1,0,1,3.1110841951128668e-15,0.30254903313953185,-0.4706738925385924,0.3025490331395319,-0.47067389253859254,1,6.167730406100818e-17,1,1.885745754155791e-15,1.5898299229157208e-14,-0.6565346401149739,0.3584532054974039,0.3025490331395342,-0.47067389253859365,0.0509568003178579,2.532306526238824e-15,20122682538572.0,2.8610938876086555e-15,3.630720245422362e-15,1.3877787807814457e-16,48.30513689110006,1,0.10621708613382215,0.5400527384719316,1,1.8004718502499848e-14,0.006714080522330717,0.10808782867208146,7.4390167011822e-15,46,1.96945107005598e-08,1,1.289114236831665,3.571653366088867,2.774869203567505,6.346522569656372,36.39578437805176
0.0002,102400,7,8,58,0.3830253165723413,-0.48128780134223514,0.6150986431916308,3,0.1,0.09009329701737427,0.05541626475604751,0.04710414732818572,0.06372838218390929,0.06372838218390987,0.06372838218390929,projected_pole_zero_cluster,0.01662423485572357,0.02702694119021878,0.008312117427861782,1.0,1,0,1,5.171118053786563e-15,0.3639527378986947,-0.4382176557857941,0.36395273789869487,-0.4382176557857945,1,5.4348989403976224e-17,1,8.95090418262362e-16,5.284171398331755e-15,-0.6832270900491824,0.320696926518428,0.3639527378987075,-0.43821765578580407,0.04710414732817174,1.5854046988893558e-14,2971111878321.6816,4.005737795318994e-15,3.840438832320425e-15,3.841541122891592e-16,89.55173862261772,1,0.12725212413193307,0.5596823784355832,1,1.4011603400672395e-12,0.0037509978935589025,0.09575511716252905,1.5654382273840787e-14,50,2.386362068904084e-06,1,3.1950533390045166,11.889272212982178,8.555336713790894,20.44460892677307,113.52085089683533
0.0001,204800,8,9,62,0.4414713022650376,-0.4422901763788192,0.6249140027594159,3,0.09,0.09146673565665475,0.05715884389853751,0.05213345431302764,0.06218423348404737,0.06218423348404737,0.06218423348404766,projected_pole_zero_cluster,0.010050779171019729,0.016083459686674927,0.005025389585509861,1.0,1,0,1,1.8199225807735145e-14,0.40103156797864836,-0.4093884294729976,0.40103156797864936,-0.4093884294729978,1,2.4399805848638425e-17,1,7.939647233708026e-15,4.6963104407139324e-15,-0.697895232139611,0.29330221114845567,0.40103156797862827,-0.40938842947302534,0.05213345431302539,3.468518681322935e-14,1503046663515.1885,2.8429587257916367e-15,3.2307111797948668e-15,3.5005327124830286e-16,151.06034196642761,1,0.12915692446060845,0.5677551588608784,1,1.9302946077702317e-11,0.0016886213144537425,0.13051825391031002,3.0975386646205144e-14,54,4.588651750542068e-06,1,6.458911180496216,35.28416061401367,21.53601312637329,56.82017374038696,280.19199562072754
