outer_mode_order,mu_real,mu_imag,mu_modulus,two_step_real,two_step_imag,two_step_modulus,inside_selected_contour,selected_reference_target,sigma
6,-0.3886163884679527,0.6010261931145482,0.7157200445674557,-0.21020978742389143,-0.467137257085636,0.5122551821956409,0,0,0.0005
7,-0.3886163884679527,-0.6010261931145482,0.7157200445674557,-0.21020978742389143,0.467137257085636,0.5122551821956409,0,0,0.0005
8,-0.025199778493637873,0.6656770409356948,0.6661538498462882,-0.44249089399277425,-0.03354982795975964,0.4437609516650311,0,0,0.0005
9,-0.025199778493637873,-0.6656770409356948,0.6661538498462882,-0.44249089399277425,0.03354982795975964,0.4437609516650311,0,0,0.0005
10,0.062495159266901856,0.48054566772451085,0.48459238923098186,-0.22701849383700057,0.06006355607892601,0.23482978370059143,0,0,0.0005
11,0.062495159266901856,-0.48054566772451085,0.48459238923098186,-0.22701849383700057,-0.06006355607892601,0.23482978370059143,0,0,0.0005
12,0.39869689921550583,0.10760751122995345,0.41296318712103597,0.14737984097095466,0.08580556211936033,0.17053859391716378,0,0,0.0005
13,0.39869689921550583,-0.10760751122995345,0.41296318712103597,0.14737984097095466,-0.08580556211936033,0.17053859391716378,0,0,0.0005
14,0.2803814359450774,0.23729488044633484,0.36731813174503636,0.022304889336583204,0.1330661586439177,0.13492260990866392,0,0,0.0005
15,0.2803814359450774,-0.23729488044633484,0.36731813174503636,0.022304889336583204,-0.1330661586439177,0.13492260990866392,0,0,0.0005
16,0.13558905172538632,0.32053121272340446,0.3480296672379035,-0.08435586738214687,0.08692104636310899,0.12112464927772584,0,0,0.0005
17,0.13558905172538632,-0.32053121272340446,0.3480296672379035,-0.08435586738214687,-0.08692104636310899,0.12112464927772584,0,0,0.0005
18,-0.05979446265172665,0.33855102365658346,0.3437908861251695,-0.1110414178551118,-0.040486953079474815,0.11819217338272928,0,0,0.0005
19,-0.05979446265172665,-0.33855102365658346,0.3437908861251695,-0.1110414178551118,0.040486953079474815,0.11819217338272928,0,0,0.0005
20,-0.2223652419235748,0.2382662068319639,0.32590962878353585,-0.007324484502362252,-0.10596424544880433,0.10621708613382215,0,0,0.0005
21,-0.2223652419235748,-0.2382662068319639,0.32590962878353585,-0.007324484502362252,0.10596424544880433,0.10621708613382215,0,0,0.0005
0,0.679429424981671,0.29296015430537165,0.7398986386942141,0.375798691520297,0.39809149836448054,0.5474499955415513,0,0,0.0002
1,0.679429424981671,-0.29296015430537165,0.7398986386942141,0.375798691520297,-0.39809149836448054,0.5474499955415513,0,0,0.0002
2,0.45827956804597103,0.5412952156670016,0.7092395032655665,-0.08298034801558395,0.4961290752424484,0.5030206729923875,0,0,0.0002
3,0.45827956804597103,-0.5412952156670016,0.7092395032655665,-0.08298034801558395,-0.4961290752424484,0.5030206729923875,0,0,0.0002
4,0.15331561154251466,0.6792808315891922,0.6963678086379063,-0.4379167714218492,0.20828871220840983,0.4849281249071597,0,0,0.0002
5,0.15331561154251466,-0.6792808315891922,0.6963678086379063,-0.4379167714218492,-0.20828871220840983,0.4849281249071597,0,0,0.0002
6,-0.1779357810412596,0.6893740535038873,0.7119675047494397,-0.44357544346961736,-0.24532862127958652,0.5068977278191436,0,0,0.0002
7,-0.1779357810412596,-0.6893740535038873,0.7119675047494397,-0.44357544346961736,0.24532862127958652,0.5068977278191436,0,0,0.0002
8,-0.6832270900491824,0.320696926518428,0.7547488160013499,0.3639527378987075,-0.43821765578580407,0.5696457752554396,1,1,0.0002
9,-0.6832270900491824,-0.320696926518428,0.7547488160013499,0.3639527378987075,0.43821765578580407,0.5696457752554396,0,0,0.0002
10,-0.4727143723696886,0.5622786645405847,0.7345857161981929,-0.09269841875267482,-0.5315944120103384,0.539616174442412,0,0,0.0002
11,-0.4727143723696886,-0.5622786645405847,0.7345857161981929,-0.09269841875267482,0.5315944120103384,0.539616174442412,0,0,0.0002
12,0.4020341197841847,0.09815905815279907,0.41384373158003585,0.15199623277319957,0.07892658108661034,0.17126663416808874,0,0,0.0002
13,0.4020341197841847,-0.09815905815279907,0.41384373158003585,0.15199623277319957,-0.07892658108661034,0.17126663416808874,0,0,0.0002
14,0.3048785779125399,0.2154114726694963,0.3733002140738923,0.04654884471233152,0.131348686907044,0.13935304982761382,0,0,0.0002
15,0.3048785779125399,-0.2154114726694963,0.3733002140738923,0.04654884471233152,-0.131348686907044,0.13935304982761382,0,0,0.0002
16,0.09673436561544835,0.38329947696611283,0.3953176274004473,-0.1375609515514724,0.07415646349010016,0.15627602653351888,0,0,0.0002
17,0.09673436561544835,-0.38329947696611283,0.3953176274004473,-0.1375609515514724,-0.07415646349010016,0.15627602653351888,0,0,0.0002
18,0.19353945128852607,0.299657479344116,0.3567241569223103,-0.052337085721805565,0.1159910882535261,0.12725212413193307,0,0,0.0002
19,0.19353945128852607,-0.299657479344116,0.3567241569223103,-0.052337085721805565,-0.1159910882535261,0.12725212413193307,0,0,0.0002
20,0.0019098558172022384,0.3724331633323979,0.3724380602180973,-0.13870281360053408,0.001422587287018823,0.1387101086990191,0,0,0.0002
21,0.0019098558172022384,-0.3724331633323979,0.3724380602180973,-0.13870281360053408,-0.001422587287018823,0.1387101086990191,0,0,0.0002
0,-0.697895232139611,0.29330221114845567,0.757023078979614,0.40103156797862827,-0.40938842947302534,0.5730839421077748,1,1,0.0001
1,-0.697895232139611,-0.29330221114845567,0.757023078979614,0.40103156797862827,0.40938842947302534,0.5730839421077748,0,0,0.0001
2,0.6966492631987262,0.268591376389012,0.7466334598622486,0.41317886844478424,0.3742279689258739,0.5574615233858721,0,0,0.0001
3,0.6966492631987262,-0.268591376389012,0.7466334598622486,0.41317886844478424,-0.3742279689258739,0.5574615233858721,0,0,0.0001
4,-0.5233935289767854,0.5234434060617992,0.7402254964025156,-5.221317480453553e-05,-0.547933783036627,0.5479337855243506,0,0,0.0001
5,-0.5233935289767854,-0.5234434060617992,0.7402254964025156,-5.221317480453553e-05,0.547933783036627,0.5479337855243506,0,0,0.0001
6,-0.28066546105945345,0.6677203179433797,0.7243089976150535,-0.3670773219626925,-0.37481206178868703,0.5246235240261237,0,0,0.0001
7,-0.28066546105945345,-0.6677203179433797,0.7243089976150535,-0.3670773219626925,0.37481206178868703,0.5246235240261237,0,0,0.0001
8,0.5144395468438077,-0.5043517927812535,0.7204295789586423,0.010277316475197668,-0.5189170154565,0.5190187782385266,0,0,0.0001
9,0.5144395468438077,0.5043517927812535,0.7204295789586423,0.010277316475197668,0.5189170154565,0.5190187782385266,0,0,0.0001
