sigma,contour_role,radius_factor,center_real,center_imag,radius,arnoldi_depth,contour_nodes,winding_float,winding_integer,projected_pole_count,projected_zero_count,cauchy_count_real,cauchy_count_imag,cauchy_centroid_real,cauchy_centroid_imag,maximum_relative_arnoldi_residual,minimum_feshbach_singular_value,minimum_logabs_determinant,maximum_logabs_determinant,maximum_phase_increment,minimum_projected_pole_boundary_distance
0.01,discovery_scan,0.04,-0.3233504401504541,-0.5508412474453575,0.025549374537397973,36,128,4.141347241488954e-19,0,0,0,0.0,-8.834874115176436e-18,nan,nan,2.549494111626081e-16,0.10249050102492122,-2.6460576508843823,-2.2335208810768568,0.010705080927481793,0.25136848846794146
0.01,discovery_scan,0.05,-0.3233504401504541,-0.5508412474453575,0.031936718171747466,36,128,-4.141347241488954e-19,0,0,0,0.0,-8.834874115176436e-18,nan,nan,2.6130034476996674e-16,0.0988351647657645,-2.700941589029423,-2.1850344654396276,0.013577172859378983,0.24498114483359196
0.01,discovery_scan,0.06,-0.3233504401504541,-0.5508412474453575,0.03832406180609695,36,128,4.141347241488954e-19,0,0,0,8.834874115176436e-18,8.834874115176436e-18,nan,nan,2.679415080777998e-16,0.09523058067115533,-2.7566442386109413,-2.137181330602626,0.01653496898499318,0.23859380119924248
0.01,discovery_scan,0.07,-0.3233504401504541,-0.5508412474453575,0.04471140544044645,36,128,-6.902245402481591e-19,0,0,0,1.766974823035287e-17,-8.834874115176436e-18,nan,nan,2.748924351923655e-16,0.09167778573030945,-2.8132351617828144,-2.0899467743264326,0.019589616921885877,0.232206457564893
0.01,discovery_scan,0.08,-0.3233504401504541,-0.5508412474453575,0.051098749074795946,36,128,-2.760898160992636e-19,0,0,0,-1.766974823035287e-17,-1.766974823035287e-17,nan,nan,2.821743531681082e-16,0.08817784802317506,-2.8706883322558996,-2.043301764180374,0.022738551455620648,0.2258191139305435
0.01,discovery_scan,0.09,-0.3233504401504541,-0.5508412474453575,0.05748609270914543,36,128,5.521796321985272e-19,0,0,0,0.0,0.0,nan,nan,2.898103488723953e-16,0.08473187082338102,-2.929023026788582,-1.997210283722625,0.02598511288171057,0.219431770296194
0.01,discovery_scan,0.1,-0.3233504401504541,-0.5508412474453575,0.06387343634349493,36,128,0.0,0,0,0,5.300924469105861e-17,-1.766974823035287e-17,nan,nan,2.9782555229563563e-16,0.08134099763026971,-2.988257863847804,-1.951688572251415,0.029332520702628703,0.2130444266618445
0.01,discovery_scan,0.11,-0.3233504401504541,-0.5508412474453575,0.07026077997784443,36,128,1.6565388965955816e-18,0,0,0,-1.766974823035287e-17,-0.0,nan,nan,3.062473376526774e-16,0.07800641834557759,-3.048410441429617,-1.9067241709926854,0.0328062637090718,0.20665708302749503
0.01,discovery_scan,0.12,-0.3233504401504541,-0.5508412474453575,0.0766481236121939,36,128,-4.141347241488954e-19,0,0,0,1.766974823035287e-17,-5.300924469105861e-17,nan,nan,3.151055436866262e-16,0.07472937686230514,-3.109496877567836,-1.862304865280342,0.036406975225425686,0.20026973939314552
0.01,discovery_scan,0.13,-0.3233504401504541,-0.5508412474453575,0.08303546724654341,36,128,-5.521796321985272e-19,0,0,0,0.0,3.533949646070574e-17,nan,nan,3.24432714668633e-16,0.07150083878799966,-3.171531229881964,-1.818418696033309,0.040131426134492276,0.193882395758796
0.01,discovery_scan,0.14,-0.3233504401504541,-0.5508412474453575,0.0894228108808929,36,128,0.0,0,0,0,0.0,-1.766974823035287e-17,nan,nan,3.342643637061362e-16,0.06832470075112769,-3.2346290743500887,-1.7750539678927462,0.04398992514945644,0.18749505212444653
0.01,discovery_scan,0.15,-0.3233504401504541,-0.5508412474453575,0.09581015451524239,36,128,-1.3804490804963181e-18,0,0,0,3.533949646070574e-17,-3.533949646070574e-17,nan,nan,3.446392601586591e-16,0.06520645849399458,-3.299075326235467,-1.7321992545840272,0.04804940836488614,0.18110770849009705
0.01,discovery_scan,0.16,-0.3233504401504541,-0.5508412474453575,0.10219749814959189,36,128,1.4052971639452517e-16,0,0,0,0.0,-1.0601848938211722e-16,nan,nan,3.556354846895043e-16,0.06214731909543287,-3.3646221293573575,-1.6898434019786472,0.052271325637643695,0.17472036485574755
0.01,discovery_scan,0.17,-0.3233504401504541,-0.5508412474453575,0.10858484178394139,36,128,0.0,0,0,0,0.0,-3.533949646070574e-17,nan,nan,3.6728440443942856e-16,0.05914858082784234,-3.4312870754138522,-1.6479755292560345,0.05666861362186548,0.16833302122139804
0.01,discovery_scan,0.18,-0.3233504401504541,-0.5508412474453575,0.11497218541829086,36,128,6.902245402481591e-19,0,0,0,3.533949646070574e-17,-3.533949646070574e-17,nan,nan,3.7963255953939536e-16,0.056211656424116505,-3.4990825340281893,-1.606585028501869,0.06137448950566693,0.1619456775870486
0.01,discovery_scan,0.19,-0.3233504401504541,-0.5508412474453575,0.12135952905264036,36,128,7.150726236970927e-17,0,0,0,-3.533949646070574e-17,-7.067899292141149e-17,nan,nan,3.927384523374695e-16,0.0533381030487525,-3.568013634962304,-1.565661563026239,0.06631469485913755,0.15555833395269908
0.01,discovery_scan,0.2,-0.3233504401504541,-0.5508412474453575,0.12774687268698987,36,128,1.3804490804963181e-18,0,0,0,-7.067899292141149e-17,-7.067899292141149e-17,nan,nan,4.066661899400505e-16,0.050506517551207934,-3.6390496337042295,-1.525195064640029,0.07155397213053849,0.14917099031834957
0.01,discovery_scan,0.21,-0.3233504401504541,-0.5508412474453575,0.13413421632133934,36,128,6.5571331323575105e-18,0,0,0,-7.067899292141149e-17,-0.0,nan,nan,4.214860039516193e-16,0.04772116304261449,-3.7115701925860938,-1.4851757300900494,0.0772662681367815,0.1427836466840001
0.01,discovery_scan,0.22,-0.3233504401504541,-0.5508412474453575,0.14052155995568885,36,128,7.371598089850338e-17,0,0,0,3.533949646070574e-17,-7.067899292141149e-17,nan,nan,4.37274815844964e-16,0.04499715394354901,-3.7854916673992665,-1.4455940168215493,0.08336112069973867,0.13639630304965059
0.01,discovery_scan,0.23,-0.3233504401504541,-0.5508412474453575,0.14690890359003833,36,128,4.5554819656378496e-18,0,0,0,0.0,0.0,nan,nan,4.541168584314277e-16,0.04233613604476957,-3.860883071352495,-1.4064406382097836,0.0900164727049757,0.1300089594153011
0.01,discovery_scan,0.24,-0.3233504401504541,-0.5508412474453575,0.1532962472243878,36,128,-6.574388745863715e-17,0,0,0,0.0,-1.0601848938211722e-16,nan,nan,4.721043701140792e-16,0.03974010086725983,-3.9397092803092773,-1.3677065583795884,0.0974829872313596,0.12362161578095163
