sigma,folded_dimension,independent_hellinger_degree,independent_linear_row_degree,archived_cloud_degree,observed_cloud_radius,hellinger_cycle_radius,linear_cycle_radius,cloud_degree_cycle_radius,limiting_radius,hellinger_cycle_absolute_error,linear_cycle_absolute_error,cloud_degree_cycle_absolute_error,limiting_absolute_error,hellinger_to_limiting_error_ratio,linear_to_limiting_error_ratio,archived_phase_rms
0.01,2048,2,3,3,0.6078407249427005,0.7035006823239199,0.7150760112907206,0.7150760112907206,0.7718445063460382,0.09565995738121946,0.10723528634802015,0.10723528634802015,0.1640037814033377,0.5832789741960952,0.6538586210051726,0.07932620505177362
0.004,5120,3,4,3,0.67084910699873,0.7150760112907206,0.7241515826376854,0.7150760112907206,0.7718445063460382,0.04422690429199061,0.053302475638955404,0.04422690429199061,0.10099539934730817,0.4379100887546457,0.5277713240744374,0.07772629345433298
0.002,10240,4,4,4,0.7059583381382031,0.7241515826376854,0.7241515826376854,0.7241515826376854,0.7718445063460382,0.01819324449948234,0.01819324449948234,0.01819324449948234,0.0658861682078351,0.27613147029726376,0.27613147029726376,0.02431168934632213
0.001,20480,5,5,5,0.6969078403125467,0.7310895116978252,0.7310895116978252,0.7310895116978252,0.7718445063460382,0.0341816713852785,0.0341816713852785,0.0341816713852785,0.07493666603349147,0.45614080789238304,0.45614080789238304,0.02183998757862329
0.0005,40960,5,6,5,0.7085863057728007,0.7310895116978252,0.7364234792935456,0.7310895116978252,0.7718445063460382,0.022503205925024528,0.027837173520744884,0.022503205925024528,0.0632582005732375,0.35573578952773605,0.44005636057440894,0.04522417105016162
0.0002,102400,6,7,6,0.7244679979244436,0.7364234792935456,0.7405947444953139,0.7364234792935456,0.7718445063460382,0.011955481369101961,0.01612674657087032,0.011955481369101961,0.047376508421594576,0.25235041094021526,0.34039542186945176,0.02636066784819697
0.0001,204800,7,7,7,0.7302687845096624,0.7405947444953139,0.7405947444953139,0.7405947444953139,0.7718445063460382,0.010325959985651556,0.010325959985651556,0.010325959985651556,0.04157572183637581,0.2483651402684023,0.2483651402684023,0.011237218058176728
