status,parent_arc,start_numerator,end_numerator,turn_denominator,refinement_level,theta_start,theta_end,theta_midpoint,center_real,center_imag,disc_radius,center_id,center_inverse_upper,distance_upper,neumann_product_upper,transported_inverse_upper,continuation_product_upper
closed,0,0,1,256,2,0.0,0.02454369260617026,0.01227184630308513,-0.06087144653840408,-0.5476199838708271,0.003221324215048341,turn_00000217_of_00524288,103.61564029751199,0.0057600105652914155,0.596827182843104,257.00056126846874,0.157272345528542
closed,0,1,2,256,2,0.02454369260617026,0.04908738521234052,0.03681553890925539,-0.06102955406943425,-0.541179397090493,0.0032213242150483344,turn_00000001_of_00000128,111.48392268725767,0.006442648430096547,0.7182517194820655,395.6862575427899,0.24214151716251653
closed,0,2,3,256,2,0.04908738521234052,0.07363107781851078,0.06135923151542565,-0.0613456738934299,-0.5347446302475328,0.003221324215048325,turn_00000001_of_00000128,111.48392268725767,0.006442648430096702,0.7182517194820828,395.6862575428142,0.24214151716253138
closed,0,3,4,256,2,0.07363107781851078,0.09817477042468103,0.0859029241215959,-0.06181961559162955,-0.5283195594048813,0.0032213242150483544,turn_00008459_of_00524288,123.19132831792734,0.00728256853041968,0.8971492908287364,1197.768389839618,0.7329783372466646
closed,1,4,5,256,2,0.09817477042468103,0.1227184630308513,0.11044661672776616,-0.06245109367927603,-0.5219080547849653,0.003221324215048307,turn_00008459_of_00524288,123.19132831792734,0.0056027200842776684,0.6902065293756958,397.65630976556355,0.2433470971517589
closed,1,5,6,256,2,0.1227184630308513,0.14726215563702155,0.1349903093339364,-0.06323972777758181,-0.5155139784384261,0.0032213242150483153,turn_00000003_of_00000128,137.20311225892382,0.006442648430096613,0.883951415799325,1182.2902726815485,0.7235064521355957
closed,1,6,7,256,2,0.14726215563702155,0.1718058482431918,0.1595340019401067,-0.06418504284285503,-0.5091411819177649,0.0032213242150483084,turn_00000003_of_00000128,137.20311225892382,0.006442648430096634,0.8839514157993279,1182.290272681578,0.7235064521356138
closed,1,7,8,256,2,0.1718058482431918,0.19634954084936207,0.18407769454627693,-0.06528646945264795,-0.5027935039573117,0.0032213242150483453,turn_00001833_of_00065536,148.46508559874314,0.005410825409366005,0.8033186575613783,754.8508859963397,0.46193350231997227
closed,2,8,9,256,2,0.19634954084936207,0.22089323345553233,0.2086213871524472,-0.06654334414875583,-0.4964747681609149,0.00322132421504832,turn_00016705_of_00524288,160.30639770723036,0.005432846125107781,0.8709199916137133,1241.914992966959,0.7599939973941993
closed,2,18,19,512,3,0.22089323345553233,0.23316507975861744,0.2270291566070749,-0.06758756104589851,-0.4917569999782053,0.0016106696876424353,turn_00009373_of_00262144,174.7909546873813,0.0022335466869062306,0.39040375774317754,286.73233621040265,0.1754668037770593
closed,2,19,20,512,3,0.23316507975861744,0.2454369260617026,0.23930100291016002,-0.06833187412518629,-0.48862284495037767,0.0016106696876424344,turn_00000005_of_00000128,189.8136461434271,0.0032213393752848866,0.611454172288214,488.5231872422171,0.2989533840838695
closed,2,20,21,512,3,0.2454369260617026,0.25770877236478773,0.25157284921324513,-0.06911459206248546,-0.4854980597851084,0.0016106696876424154,turn_00000005_of_00000128,189.8136461434271,0.0032213393752848103,0.6114541722881994,488.52318724219884,0.29895338408385835
closed,2,84,85,2048,5,0.25770877236478773,0.260776733940559,0.25924275315267337,-0.06962324110480121,-0.48355003634718485,0.0004026680141084504,turn_00000005_of_00000128,189.8136461434271,0.004026651715642588,0.7643134438958057,805.3647576721035,0.4928456335657722
closed,2,85,86,2048,5,0.260776733940559,0.2638446955163303,0.26231071472844464,-0.06983088171949244,-0.4827719289561776,0.000402668014108457,turn_00022897_of_00524288,216.44700505250523,0.003576805441972687,0.7741888255704904,958.5309743830784,0.5865762076897106
closed,2,43,44,1024,4,0.2638446955163303,0.2699806186678728,0.26691265709210155,-0.0701468161920827,-0.48160597145862627,0.000805335791337671,turn_00022897_of_00524288,216.44700505250523,0.0027714838006901448,0.5998793682109163,540.9543718970265,0.33103882136386065
closed,2,22,23,512,3,0.2699806186678728,0.28225246497095796,0.2761165418194154,-0.07079476524746994,-0.47927847988491884,0.0016106696876424177,turn_00022897_of_00524288,216.44700505250523,0.0020605253487110775,0.4459945405632817,390.69471494482457,0.23908692612071883
closed,2,46,47,1024,4,0.28225246497095796,0.28838838812250056,0.28532042654672923,-0.07146410852038634,-0.4769570504573769,0.0008053357913376803,turn_00022897_of_00524288,216.44700505250523,0.0036711855958579515,0.7946171272153505,1053.8707639923646,0.6449197080308898
closed,2,47,48,1024,4,0.28838838812250056,0.2945243112740431,0.29145634969827183,-0.07192219511950956,-0.47541289583092466,0.000805335791337666,turn_00024931_of_00524288,246.07544847344045,0.0027274422843172707,0.6711565832987973,748.305837902883,0.4579282384397127
closed,3,24,25,512,3,0.2945243112740431,0.30679615757712825,0.30066023442558565,-0.07262706852735101,-0.47310200672000347,0.0016106696876424225,turn_00024931_of_00524288,246.07544847344045,0.002104567149269288,0.5178823050989101,510.40534515939027,0.31234424316944465
closed,3,25,26,512,3,0.30679615757712825,0.3190680038802134,0.3129320807286708,-0.0735999276049817,-0.47003109888785866,0.0016106696876424316,turn_00026037_of_00524288,265.9994452273404,0.0018466079923498578,0.491196701517435,522.7942625777913,0.3199256822578829
closed,3,26,27,512,3,0.3190680038802134,0.3313398501832985,0.32520392703175593,-0.07461039819114713,-0.46697236076684356,0.001610669687642422,turn_00026965_of_00524288,285.37390815390944,0.0021486089463517537,0.6131569321148536,737.699423474319,0.45143760796562005
closed,3,27,28,512,3,0.3313398501832985,0.3436116964863836,0.3374757733348411,-0.07565832811269388,-0.46392625299166823,0.0016106696876424245,turn_00027893_of_00524288,307.67662074918,0.002450609722347271,0.7539953181468946,1250.6941674097898,0.7653664423009864
closed,3,56,57,1024,4,0.3436116964863836,0.34974761963792617,0.3466796580621549,-0.07646876351891009,-0.46165023685455336,0.000805335791337668,turn_00000007_of_00000128,329.07442571356216,0.001610671582675352,0.5300308260820458,700.2042771660826,0.42849232887079314
closed,3,228,229,4096,6,0.34974761963792617,0.3512816004258118,0.350514610031869,-0.07681262134674388,-0.46070411566205666,0.00020133402185919957,turn_00000007_of_00000128,329.07442571356216,0.0020133366654051022,0.6625376069362423,975.143993752777,0.5967425999718436
closed,3,229,230,4096,6,0.3512816004258118,0.3528155812136975,0.35204859081975465,-0.07695117998459913,-0.46032603758353086,0.00020133402185918542,turn_00029943_of_00524288,370.30351703962396,0.001985024233903403,0.7350614552233151,1397.695897181554,0.8553246382047194
closed,3,115,116,2048,5,0.3528155812136975,0.35588354278946877,0.35434956200158313,-0.0771601049664841,-0.45975932010180764,0.00040266801410846436,turn_00029943_of_00524288,370.30351703962396,0.0015823585846062604,0.5859529490975396,894.3512971110584,0.5473012414016358
closed,3,58,59,1024,4,0.35588354278946877,0.3620194659410113,0.35895150436524004,-0.07758186415631646,-0.45862733482678897,0.0008053357913376664,turn_00029943_of_00524288,370.30351703962396,0.0008336483888418758,0.30870293036256263,535.6648151768328,0.3278018595919286
closed,3,118,119,2048,5,0.3620194659410113,0.3650874275167826,0.36355344672889695,-0.0780088281927804,-0.4574973024429019,0.00040266801410844273,turn_00029943_of_00524288,370.30351703962396,0.001638983629714557,0.6069214024536693,942.0597288967828,0.5764965744055637
closed,3,476,477,8192,7,0.3650874275167826,0.3658544179107254,0.36547092271375403,-0.0781882638813254,-0.45702703768161296,0.00010066701278021098,turn_00029943_of_00524288,370.30351703962396,0.0018403156544299722,0.6814753592984959,1162.5584639985289,0.711431506393134
closed,3,477,478,8192,7,0.3658544179107254,0.3666214083046682,0.3662379131076968,-0.0782602905832706,-0.4568390282601339,0.00010066701278022056,turn_00007755_of_00131072,412.5423526494304,0.001547753497967821,0.6385138693730303,1141.2397812715737,0.69838546781836
closed,3,239,240,4096,6,0.3666214083046682,0.36815538909255385,0.36738839869861106,-0.07836860096083735,-0.4565571178482511,0.00020133402185918043,turn_00007755_of_00131072,412.5423526494304,0.001346420391326092,0.5554554358928329,928.0112410731853,0.5678995557055215
closed,3,60,61,1024,4,0.36815538909255385,0.37429131224409645,0.3712233506683252,-0.07873197663725968,-0.4556183198750755,0.000805335791337663,turn_00007755_of_00131072,412.5423526494304,0.0009437529331550454,0.38933805536358307,675.5658450193008,0.4134147586322505
