status,center_id,source_kind,turn_numerator,turn_denominator,sigma,spectral_parameter_real,spectral_parameter_imag,physical_dimension,border_rank,bordered_dimension,matrix_nnz,factor_nnz,factor_seconds,certificate_seconds,approximate_inverse_frobenius_upper,residual_frobenius_upper,residual_center_frobenius_upper,residual_radius_frobenius_upper,center_inverse_two_norm_upper,inverse_sha256,residual_center_sha256,residual_radius_sha256
rigorous_physical_resolvent_center,turn_00000217_of_00524288,adaptive_unresolved_midpoint,217,524288,0.01,-0.060852568503619975,-0.5501586000302165,2048,4,4100,1258116,3607849,2.2613961729803123,27.42858285200782,103.6156402589398,3.722619051486438e-10,6.332548713849544e-14,3.7220314256738043e-10,103.61564029751199,2fa9c82b7b49a943b29796f09036b86c121723b92c2d6e0deadc70c77435148a,abf706647553cabc1bbdece1128c969a4678063a42ee1af9f66f0ddf3d1f31af,e7bb39a2d5052ececd16536e2b1376ab0f92cb8eef9efee0677948a12ef01421
rigorous_physical_resolvent_center,turn_00000001_of_00000128,uniform_rational_turn,1,128,0.01,-0.06116787211625074,-0.5379610438133681,2048,4,4100,1258116,3607849,2.249537983967457,26.398013872036245,111.48392263870933,4.354737732995797e-10,6.66608431693086e-14,4.3541154903975444e-10,111.48392268725767,20b564856e6f9f724d1726c3c379ba959eec91e248b8c92b7a9cb2341d3b0fd6,84e7a8705049a09816bb541fe46080e20d09c725c54b96e497f40eeaabd51a09,11467f3ce54765726a09cdd43684a967064d2d61294e91d41fdfb858debe8723
rigorous_physical_resolvent_center,turn_00008459_of_00524288,adaptive_unresolved_midpoint,8459,524288,0.01,-0.062199349897292644,-0.5242761070128976,2048,4,4100,1258116,3607849,2.2647388289915398,26.81957514799433,123.19132825275852,5.290047296894047e-10,7.23659945219062e-14,5.289361958760178e-10,123.19132831792734,1281961b8485aa4ee154b749620dac8697c1956a2d8d01d585e876ee4f78cd63,9f76186b4e026a33db298e1f8b545aee852b9ecc7c771bec2360219fbd3db298,e779cfb993ae4de5a11d1ffd97db89b01ac6ba91a170f8cbb16d2907683a6611
rigorous_physical_resolvent_center,turn_00000003_of_00000128,uniform_rational_turn,3,128,0.01,-0.06369283356999078,-0.5123246799514007,2048,4,4100,1258116,3607849,2.2447337189805694,25.76490722701419,137.20311217115383,6.397081543625938e-10,7.85802428441309e-14,6.396328667683803e-10,137.20311225892382,e7b481e7ede26d36b38ccb82d2665cf068f6c232b83d4aaf947b95b97d3343f2,9c5d01e664cfaa99294912bc401ca38585508f3fd6d6e69a964edddd45ae7792,0af49da38466d594a1d74e547449db234af7097c32c43a0803735ebbac8270ce
rigorous_physical_resolvent_center,turn_00001833_of_00065536,adaptive_unresolved_midpoint,1833,65536,0.01,-0.06489468392634673,-0.504947667270828,2048,4,4100,1258116,3607849,2.257905821024906,28.044818816008046,148.46508549070282,7.277151042819243e-10,8.553683319236294e-14,7.27633143646616e-10,148.46508559874314,c448be51691d16759a0a03e4501269f387b253283c17288f3d9fc410a0781e95,25d8717d270401ceb9f348f9e6114a2426aedeb8dc43e0ccd30bc778aa4be1c7,72a096e782d3391c1ab3fbf5e14c0fdd9e5df7bcdd5a2894a691d76adfbf0796
rigorous_physical_resolvent_center,turn_00016705_of_00524288,adaptive_unresolved_midpoint,16705,524288,0.01,-0.06609443078200306,-0.498640248695998,2048,4,4100,1258116,3607849,2.247998295002617,26.520918952010106,160.3063975758743,8.194057458075125e-10,8.006989730739329e-14,8.193274109717024e-10,160.30639770723036,9a8c240dec651c06e1c8c2679daf0791fbe3488c3945a7b61ea153a0c7669193,178d477d86586fc8b2e78ce8f9ce00c634cc269668f771465726311496b2e676,8740204ca86a3e8b926db70bd427658f4d996b98b15ef9bddd0ffb6f3c8642d4
rigorous_physical_resolvent_center,turn_00009373_of_00262144,adaptive_unresolved_midpoint,9373,262144,0.01,-0.06744808159489374,-0.49236405948019774,2048,4,4100,1258116,3607849,2.252059135993477,27.584835119952913,174.79095452472703,9.305642376123102e-10,8.647047789634282e-14,9.304792678697961e-10,174.7909546873813,8ea42fad17aaf156669b6b4d0bac9759b43cc9585f2126efda64f4b0394aab29,371ac8eae6b4b57e78b4f32371b28f3bd6a20818fda6601d3e457c0bcfae151b,890b1e8f0af30b0553c7f4abbb3a8d01b16289af3bb478f7467914688175e365
rigorous_physical_resolvent_center,turn_00000005_of_00000128,uniform_rational_turn,5,128,0.01,-0.06871843971838704,-0.48705925168969777,2048,4,4100,1258116,3607849,2.245967897004448,26.390411488013342,189.81364594510396,1.044830462384472e-09,9.133222367648739e-14,1.0447408603162232e-09,189.8136461434271,bd772c7d2aae09d9a05647fd9d4478ec175704a2cd720d9b1f9d16bb11e849ae,e4f5bbbb24aeeb39633473f4902734e527e6af72dda12409b247c8ca0ab60412,ac54707cf944b9ea2640495695f398c106d0f38a9d9d2e87979c71a8646954e9
rigorous_physical_resolvent_center,turn_00022897_of_00524288,adaptive_unresolved_midpoint,22897,524288,0.01,-0.07067249590011138,-0.47971140057337347,2048,4,4100,1258116,3607849,2.247875651984941,26.588352428982034,216.44700478297952,1.245227040967306e-09,1.0317668534702846e-13,1.2451249881373219e-09,216.44700505250523,819193c31ecbdee89b40f60a9bd23bc61531c3bb23c34542a9fd395c1cf97b62,7f16c9f48abc798ca63077c5bf98bad6d0e8af134f24545f66a0ca04a1cadffd,fd5f9d5998c225b72966e275518a3f8bee91292a4e2ca5ee6f0a0cd7c3e2e73a
rigorous_physical_resolvent_center,turn_00024931_of_00524288,adaptive_unresolved_midpoint,24931,524288,0.01,-0.07248124421664465,-0.47357388591323885,2048,4,4100,1258116,3607849,2.249052748957183,25.863170316035394,246.07544811286476,1.465305172195818e-09,1.1754743436293272e-13,1.4651886091073733e-09,246.07544847344045,d39d80e86b59648b1f6ae46df5b46992223e67037334a2b39ab3a618abbfb4c3,d0527f4489fda6ae6e690c0a697b0b810d69d76c8d6bd56f1f6b7f07e0b922a9,94ebc01241ca6f152b13898b5df7b4fc1df29467a0749f38e2a15be2f42a0f97
