parent_arc,start_numerator,end_numerator,turn_denominator,theta_midpoint,center_id,stored_complement_inverse_upper,projected_feshbach_inverse_upper,stored_feshbach_computed_ratio_upper,stored_feshbach_remainder_coefficient_upper,stored_feshbach_full_ratio_upper,stored_feshbach_inverse_upper,complement_neumann_product_upper,corrected_complement_inverse_upper,corrected_feshbach_difference_upper,feshbach_rouche_product_upper,complement_homotopy_denominator_lower,feshbach_homotopy_denominator_lower,complement_homotopy_certified,feshbach_homotopy_certified
41,112,113,2048,0.34514567727426926,arc_00040,211.6424484879939,849.4731524419291,1.3566676093072476e-06,6.406720189017523e-17,1.3566676228665873e-06,849.4743048962151,9.953702164235607e-13,211.6424484882046,3.7384781860496203e-10,3.175741158464164e-07,0.9999999999990046,0.999999682425884,True,True
42,113,114,2048,0.34821363885004053,arc_00040,255.1270220994743,1884.954082303787,3.063659589066277e-06,1.4546398483737593e-16,3.0636596261780707e-06,1884.9598571791985,1.199881408559012e-12,255.12702209978045,5.428669514442946e-10,1.0232824112617442e-06,0.9999999999988,0.9999989767175886,True,True
43,228,229,4096,0.350514610031869,arc_00040,284.33710958157667,135.24608741659557,2.2129912838569769e-07,1.0542244976606806e-17,2.212991313832492e-07,135.2461173464439,1.3372586280465324e-12,284.33710958195695,6.740515642525652e-10,9.116285695645649e-08,0.9999999999986626,0.999999908837143,True,True
44,229,230,4096,0.35204859081975465,arc_00040,321.1006468171022,139.6376806872526,2.3054912926331411e-07,1.1013198928664436e-17,2.3054913279965944e-07,139.63771288060624,1.5101602849497152e-12,321.1006468175872,8.593180036436064e-10,1.1999320066592165e-07,0.9999999999984898,0.9999998800067992,True,True
45,230,231,4096,0.3535825716076403,arc_00040,368.7824071582457,144.36217469250948,2.405278807795808e-07,1.1521761642623615e-17,2.4052788502860383e-07,144.36220941564642,1.7344111592392968e-12,368.78240715888535,1.1330717898100024e-09,1.6357274700351284e-07,0.9999999999982655,0.9999998364272529,True,True
46,231,232,4096,0.3551165523955259,arc_00040,433.09436259739863,149.459821882017,2.5132391671292335e-07,1.2072510138167133e-17,2.513239219414595e-07,149.45985944485508,2.0368750811104495e-12,433.09436259828084,1.5621673485087881e-09,2.3348131233746536e-07,0.999999999997963,0.9999997665186876,True,True
47,232,233,4096,0.35665053318341156,arc_00040,524.5744273979934,154.97764033882285,2.6304066302695606e-07,1.2670791453531869e-17,2.6304066967372926e-07,154.9776811042559,2.4671126471069272e-12,524.5744273992877,2.290984507341027e-09,3.5505146639348843e-07,0.9999999999975328,0.9999996449485336,True,True
48,233,234,4096,0.3581845139712972,arc_00040,665.0479465463798,160.97089696930652,2.7579970314039873e-07,1.3322891481826964e-17,2.757997120007604e-07,160.97094136504583,3.1277700821131205e-12,665.04794654846,3.680944187848688e-09,5.925250510301973e-07,0.9999999999968722,0.9999994074749489,True,True
49,234,235,4096,0.3597184947591828,arc_00040,908.2674634489715,167.5049987357509,2.897449415349535e-07,1.403625025737986e-17,2.8974495428362297e-07,167.5050472694932,4.271649605844392e-12,908.2674634528514,6.8631928074580955e-09,1.1496194356329137e-06,0.9999999999957282,0.9999988503805642,True,True
50,235,236,4096,0.3612524755470685,arc_00040,1431.9543511463137,174.65792918211002,3.0504796787360525e-07,1.4819739316462503e-17,3.050479890947955e-07,174.65798246117637,6.734588087559484e-12,1431.9543511559575,1.705306195794563e-08,2.978453396360221e-06,0.9999999999932653,0.9999970215466035,True,True
51,236,237,4096,0.36278645633495415,turn_00031445_of_00524288,958.484350743805,182.52342292485577,3.219150458197243e-07,1.5684023065919852e-17,3.2191506085261504e-07,182.5234816819135,4.5078233712297015e-12,958.4843507481257,7.642695978360667e-09,1.3949714794067469e-06,0.999999999995492,0.9999986050285204,True,True
52,237,238,4096,0.3643204371228398,turn_00031445_of_00524288,691.5758431223109,191.21515270875014,3.4059633112685234e-07,1.664203542013118e-17,3.405963426360821e-07,191.215217835954,3.2525327577705242e-12,691.5758431245604,3.9802541163611096e-09,7.610851579024421e-07,0.9999999999967474,0.999999238914842,True,True
53,238,239,4096,0.3658544179107254,turn_00031445_of_00524288,540.9399320611752,200.87232694966704,3.613981950855224e-07,1.770961700607157e-17,3.6139820466536147e-07,200.87239954459164,2.54408083583678e-12,540.9399320625515,2.436036908184816e-09,4.89332579126272e-07,0.9999999999974558,0.9999995106674208,True,True
54,239,240,4096,0.36738839869861106,turn_00031445_of_00524288,444.1884190540422,211.6672850205798,3.846999462674174e-07,1.8906379790581256e-17,3.846999546654124e-07,211.66736644900612,2.0890512558577896e-12,444.18841905497015,1.6431409584724147e-09,3.477993193843517e-07,0.9999999999979108,0.9999996522006805,True,True
55,240,241,4096,0.3689223794864967,turn_00031445_of_00524288,376.7952712694592,223.81597463943038,4.109768976305133e-07,2.0256899806742438e-17,4.109769052632174e-07,223.8160666226648,1.7720962566360207e-12,376.795271270127,1.182784963926448e-09,2.6472627828644803e-07,0.9999999999982278,0.9999997352737217,True,True
56,241,242,4096,0.37045636027438233,turn_00031445_of_00524288,327.1580520504349,237.59267335132918,4.408327776351263e-07,2.1792393030726166e-17,4.408327847646832e-07,237.59277809001523,1.5386487134343706e-12,327.15805205093835,8.919995861215077e-10,2.1193265972175278e-07,0.9999999999984612,0.9999997880673401,True,True
57,242,243,4096,0.37199034106226797,turn_00031445_of_00524288,289.07640616130897,253.35110500452228,4.7504622091259373e-07,2.355311926961648e-17,4.7504622772124483e-07,253.35122535806622,1.3595478932481263e-12,289.07640616170204,6.966733648887953e-10,1.7650305066890345e-07,0.9999999999986403,0.9999998234969493,True,True
58,243,244,4096,0.3735243218501536,turn_00031445_of_00524288,258.9358607863622,271.5554452707746,5.146390311436427e-07,2.559191182407993e-17,5.146390377703065e-07,271.55558502387964,1.2177946609106785e-12,258.93586078667755,5.59168596498288e-10,1.5184535534907425e-07,0.9999999999987821,0.9999998481546445,True,True
59,244,245,4096,0.37505830263803924,turn_00031445_of_00524288,234.48704307433303,292.82707694243726,5.60979119345806e-07,2.797950010983976e-17,5.609791259066364e-07,292.82724121240716,1.1028100481773631e-12,234.48704307459164,4.587229801705933e-10,1.3432658476408858e-07,0.9999999999988971,0.9999998656734151,True,True
60,245,246,4096,0.37659228342592493,turn_00031445_of_00524288,214.25682247990713,318.0172926228382,6.159405689475177e-07,3.081278612800848e-17,6.159405755493675e-07,318.0174885027132,1.0076658122491325e-12,214.25682248012305,3.831214892700418e-10,1.2183933380907785e-07,0.9999999999989923,0.999999878160666,True,True
61,246,247,4096,0.37812626421381057,turn_00031445_of_00524288,227.44054866384315,348.3244575650168,6.821615858599171e-07,3.422818226237642e-17,6.821615936447937e-07,348.324695178746,1.0696698595407977e-12,227.44054866408646,4.3161770382285785e-10,1.5034310511784724e-07,0.9999999999989302,0.9999998496568948,True,True
62,247,248,4096,0.3796602450016962,turn_00031445_of_00524288,250.37020095405117,385.49095358611936,7.634780971469316e-07,3.842403131386069e-17,7.634781067671641e-07,385.4912479002475,1.1775097240182494e-12,250.37020095434602,5.228466391665768e-10,2.015528033927741e-07,0.9999999999988224,0.9999997984471964,True,True
63,248,249,4096,0.38119422578958184,turn_00031445_of_00524288,278.44154022226127,432.15139881496407,8.656904033798014e-07,4.370024769331714e-17,8.656904155477657e-07,432.15177292461203,1.3095313257447224e-12,278.441540222626,6.464317108665703e-10,2.793566099256785e-07,0.9999999999986904,0.9999997206433899,True,True
64,249,250,4096,0.3827282065774675,turn_00031445_of_00524288,313.60236918976716,492.4876090607419,9.98005163132297e-07,5.053287791518298e-17,9.980051789795275e-07,492.4881005664169,1.4748953261569719e-12,313.60236919022975,8.197072762866484e-10,4.036960795188825e-07,0.999999999998525,0.9999995963039203,True,True
65,250,251,4096,0.3842621873653531,turn_00031445_of_00524288,358.92651647433695,573.5597829631807,1.1759661734722305e-06,5.972564205074168e-17,1.1759661949093473e-06,573.5604574508895,1.6880581704453415e-12,358.9265164749429,1.0733879113504978e-09,6.156528614564462e-07,0.9999999999983118,0.9999993843471384,True,True
