center_id,source_kind,source_arc,turn_numerator,turn_denominator,spectral_parameter_real,spectral_parameter_imag,physical_dimension,border_rank,bordered_dimension,matrix_nnz,factor_nnz,approximate_inverse_frobenius_upper,residual_frobenius_upper,residual_center_frobenius_upper,residual_radius_frobenius_upper,center_inverse_two_norm_upper,factor_seconds,certificate_seconds,closed_arc_count,inverse_sha256,residual_center_sha256,residual_radius_sha256
arc_00001,rh28_parent_arc_midpoint,1,,,-0.06102955406943425,-0.541179397090493,2048,12,4108,1290892,3672782,91.09272525683497,4.938738203854999e-10,5.949464695895106e-14,4.938166164812798e-10,91.09272530182331,2.320931163034402,30.259284562023822,3,65ab06703923a6a82187a9326190d878312ef71be8af38bda62f57774de08e1f,c89ad94530a6e8d08b9269fc6effef126ba604ad1129cc7c90d7ecd7949235ee,bf1887da62a0502236f4eac55159a647a0769f828871f30bfc73e1ccf49cde76
arc_00004,rh28_parent_arc_midpoint,4,,,-0.06245109367927603,-0.5219080547849653,2048,12,4108,1290892,3672782,98.12799609592872,5.964863700038767e-10,6.489196640603124e-14,5.964235802459208e-10,98.12799615446076,2.3115965349716134,29.55796044599265,4,44b384c19b15f0f5b3a44d0c16dc1f209982604ee80ebb1eeddde752f4b75d8c,5a80d396c7e3c8132237da755c54f3eb840dd92777cb6e6510c44b21d5cbdfaa,bc4776dfdf77a9c3b66398ffec0b001ec94054561f4e40b5a0dd1b3be4bcad0b
arc_00006,rh28_parent_arc_midpoint,6,,,-0.06346138833583084,-0.5139186341371522,2048,12,4108,1290892,3672782,101.9148091537934,6.521760341840193e-10,6.737751329752054e-14,6.521110702395582e-10,101.91480922025981,2.3188365859678015,30.187982528994326,4,bfdd71ec7cb4ac5579f8adcdfc3f2a8314bae9388e06635fbd69dad3cab45829,49c9ff0bc4a81418afe5300c3e2780c20e1fd35b8858aa92c12d49b83db1d66b,eed762b7a524fdd25fcb72668806a482be079125b5d448674e5aca1facfe409b
arc_00011,rh28_parent_arc_midpoint,11,,,-0.0662145920240941,-0.4980515303126742,2048,12,4108,1290892,3672782,112.02189265562401,7.987967566263259e-10,9.152809964248557e-14,7.987111175022901e-10,112.02189274510677,2.321130455995444,31.16093728301348,6,f33a2879b3df40295d2cf1b90a2a826724d631c7a3750e03a4639c50f62840a8,49822db007fb6a0bb6d552f6f0f497246c92dc936004a8c79327c21788c9751d,cc9b33fbd00a580b985368290bd9a8187479b6e60a4e68b82b37c3b632aed680
arc_00016,rh28_parent_arc_midpoint,16,,,-0.06852395765983503,-0.48784075182770853,2048,12,4108,1290892,3672782,121.4829582454831,9.315548389124926e-10,1.4766608944750227e-13,9.314288834192205e-10,121.48295835865117,2.3050789500121027,30.61943532800069,8,85b03b606eed963336917cabfba743187e9071e3e70adc6527da3da3427fbeab,d59b1dfe0bc1f7ea9b133bffcf6553fc628d68ace775d8d9cae3ad7001f69eba,8eab8397cd1f0629091b4877973e07773a7632343f6965aece0bd7e02718d645
arc_00027,rh28_parent_arc_midpoint,27,,,-0.07274661397047671,-0.47271749349966646,2048,12,4108,1290892,3672782,143.73448927322417,1.2266723853145243e-09,1.484840324454429e-13,1.226544186797753e-09,143.73448944953935,2.319266005011741,30.62035232502967,14,7451f5652af05025f6d7467a10a10b8bc25491fc89b25c4c5871579f6bb65912,0dca22e27e357ee3203e04b9cb67c347c679f0c979ffa3f3d04bd5ccf30ee27a,ecbb1f260a0dbd31014ef669e262edf5c9f962e0d3e8ad315222276ffe6f700d
arc_00040,rh28_parent_arc_midpoint,40,,,-0.0760609272874103,-0.46278731252720806,2048,12,4108,1290892,3672782,168.550105207356,1.5353342675122242e-09,1.5821676559403905e-13,1.5351977252936228e-09,168.5501054661368,2.3122118890169077,29.451031116012018,18,fba00b912cd1a3d67ceb0ceb33a50f620474f277015996b2dc0f4be7c0b6d672,6f9a6d37515ab4a22b3dd3cc8aedcbdd1bb28aebeb8763d0473025ca7b714d9c,e04ad7f7e2c046021921ef041694070a74555dbd63e3264d6314b94a218a4ead
arc_00086,rh28_parent_arc_midpoint,86,,,-0.08204455017971139,-0.4475113578100781,2048,12,4108,1290892,3672782,244.31742684565282,2.412003298593659e-09,1.8140908851734154e-13,2.411837546460999e-09,244.31742743494732,2.3145777090103365,30.430253667989746,37,a1c768124f29751f5759c439428a15c1d997c02168f572d9e4c407fb1abe16df,5355d82d11e924fa71aac0821e015d115ffa8602fa59e939972685af76298eea,2826121e2aa155f30e6c299940a5c6df73b2a3cce710db99ad7fad6f3a4ad09e
arc_00144,rh28_parent_arc_midpoint,144,,,-0.08603285631317842,-0.43865406890766173,2048,12,4108,1290892,3672782,334.742421128998,3.405287986466035e-09,2.2747470008723744e-13,3.4050722738047625e-09,334.7424222688924,2.313557586981915,31.051947666041087,54,dc03d93090f515f0c96126a965675b392e3c68808a69e2040284037af96c9f6c,58aed2b0f21b1519550aecaeb5643881913d4b4f7f9c6453d7ec7de46d3137d6,f1e1e4129d40aa870fd5214c4fd12e16a6edc2747c0c733b257ac09b3390dbc6
arc_00277,rh28_parent_arc_midpoint,277,,,-0.0920610905467672,-0.4267008616455917,2048,12,4108,1290892,3672782,527.7660135800712,5.4704795754795925e-09,3.195299054770579e-13,5.470167080527991e-09,527.7660164672046,2.3184151820023544,30.371007075998932,37,e82fb4347656c9ea028ed28b37e94bc3b0583d9c47e15a6af07684ef1802ecc4,f77bc91f313ea175f15d3074e08d6c9e62b36a9cba192c655e21f1ba11922d2a,b88b8c48dc19af0661eebf3ed22a21f2011f4e7abbc1c9a5fa51ccc1dae82d0b
arc_00400,rh28_parent_arc_midpoint,400,,,-0.09817187176675553,-0.4159330899185453,2048,12,4108,1290892,3672782,494.5821958109896,5.132763086067233e-09,2.941422274976162e-13,5.132477048279587e-09,494.582198349563,2.3119493590202183,29.719952032959554,39,119a09ac45d10e81326b3d509539b022658963ef866539e6dfa229ebbdd7a2d7,b783d345f8fc2be16a274003a6452732789d742b8bec882c7e5c7a92860d6ecd,ad770d240e7a23f235a945d1c653e3509ed3bad6c7180c4fd4c208456838dea5
arc_00473,rh28_parent_arc_midpoint,473,,,-0.10425540036656104,-0.40626267998563503,2048,12,4108,1290892,3672782,359.5755482493874,3.699090038611398e-09,2.2375503927087301e-13,3.6988755253102206e-09,359.5755495794898,2.316027499968186,31.020374150015414,27,ae14b9490ddee67cf21b21698cf9dfad66cef8c136ed25778e982104516a5b99,471adde43f5605cc24276ce3b84f156d1717e7791b328a679f2149ef5f77890f,a76b4e3ae20642028cd94a8397a789711915a756aa6d86790fa235be19eb8a5e
arc_00545,rh28_parent_arc_midpoint,545,,,-0.11256944246016987,-0.39439007410587884,2048,12,4108,1290892,3672782,264.86156737380344,2.6698341258685315e-09,1.8065925724047039e-13,2.669663465839368e-09,264.86156808094,2.310835229989607,31.13012319401605,31,e574531596e97f0e54db405d8acd2001b7721a7f189a37cf459388f7e853832b,49eddbff166a0bf354d10035ffce6e536d8a426466ce20a6fcf7aa6cb41972c5,05d8ceb87216abec258c1b8672d9580bc89391820e16c2955a3038034b049db5
arc_00579,rh28_parent_arc_midpoint,579,,,-0.12005351786384032,-0.3847811378000796,2048,12,4108,1290892,3672782,224.54656346704593,2.2196775839004998e-09,1.6155217582918828e-13,2.2195264346298065e-09,224.54656396546696,2.313566424010787,31.220876637031324,21,78275846370afc68f0fe10fbb1aa2c6ebc498c05ef79a7ef6c5a271c177bdb35,db8dcaa3bccc2533b6885f9ead0a325450716ce7d4520968149d5971e89b84be,cd13aa85a9c33788801bb06573a516ef2e0dad49f5ee384c4c6cc45bc0c45a4f
arc_00612,rh28_parent_arc_midpoint,612,,,-0.12871653860727178,-0.3747070855213002,2048,12,4108,1290892,3672782,199.156262849565,1.930959190252941e-09,1.2354225551969773e-13,1.9308374460323024e-09,199.15626323412766,2.313411107985303,30.95227376103867,23,a9191cda3046146b3c8bc8cf1f3c8cfc4ae152bf77aa0d9c5ccdf9bc84da6959,4bdfe09f1460974464b8579032bdf008ba3a4b82e25e3c0c00bb8d4651c28288,84954e1749dbbc881427cbbeba57e6773721eb8044cb0d58c10eb0124b5bf0d8
arc_00644,rh28_parent_arc_midpoint,644,,,-0.13759347736086108,-0.3653690139391074,2048,12,4108,1290892,3672782,184.00129877646694,1.7578975281902042e-09,1.0946385262487329e-13,1.757789390559902e-09,184.00129909992242,2.3129008089890704,30.150957020989154,25,b2a2d9e1c51026fb560b05df37ed9e271857453b4f409e8d2eee54db1cf6e7c0,721091d27a746e0d3b5253c6b8baf7c8901a336797007a6104b872955c1dfb1d,5337e94ac0d9fa3fafa1a35d4cf31a059f9b1617f0eacce78298c68d3b29865c
arc_00677,rh28_parent_arc_midpoint,677,,,-0.1472162782263969,-0.3562073459021751,2048,12,4108,1290892,3672782,173.63837975058385,1.64108639863561e-09,1.0210697518630431e-13,1.6409849575421472e-09,173.63838003553948,2.3209325370262377,28.878513202012982,27,9c60fc45c2c811b871e9be3d913cd5aab6026cfe574b3691dca5a170c48bbff0,df4f070e1cab7bb58d2e7212643fbef40e614f9b542885e1c9652bf1ebf2f7bc,1a44468a307eab849ce06d9309a04f2a809ee30e0c50a77c3ac512f1b02214ac
arc_00706,rh28_parent_arc_midpoint,706,,,-0.15604605007513275,-0.34856707784346314,2048,12,4108,1290892,3672782,167.082171446962,1.5686717978450999e-09,9.493874119799668e-14,1.568577706794237e-09,167.08217170905914,2.313399581995327,29.070772620965727,28,ed13daf8bdf57a42a864867cc3178a80819083fb9ac903d787bd3546581e89bd,58c16cd06c28ded05fe01a11f1396e1620a98c3e03338ffa510291f0714b6cbf,2cefdfc6348546124075b964854673cce68f5166f25a7841e8e5f7c01c5d026a
arc_00729,rh28_parent_arc_midpoint,729,,,-0.16665686990450296,-0.3402403840326251,2048,12,4108,1290892,3672782,161.24184629624227,1.504418221097826e-09,9.345180757775416e-14,1.5043258965036728e-09,161.2418465388175,2.319617520959582,29.091748201986775,15,88bb1f1d45ecc66ea638d4f6cead7bffd441939b69a93c48fa8a08551e8892b5,bd831ef447b1e9439dbea173d6ce9004488147582c097c470b79b02c2a627d32,78123b396d0037729a7180ac40c58b60b0119731925cfd575f2ce14a3c42005d
arc_00746,rh28_parent_arc_midpoint,746,,,-0.17784892098943797,-0.332358052328553,2048,12,4108,1290892,3672782,156.40120672496454,1.4485173315480619e-09,8.972359354547915e-14,1.4484293929712527e-09,156.40120695151444,2.3067876049899496,29.32395032903878,15,672fb928d29a7b0e4879b97d5a9f0c509249f44b1797a309ae213978f9a0f08c,e0689239b52fbee52eaf213c2003e510394a5d6ac82e5fe42c98ce61047a9033,8db9ad3a37579b1e94ee9cbf2b40280348236cccc31de269bc364c7fb96b0cf8
arc_00762,rh28_parent_arc_midpoint,762,,,-0.18874464620548645,-0.32548180374916774,2048,12,4108,1290892,3672782,152.37027341951224,1.3966440763128573e-09,8.791467950711621e-14,1.3965579766164786e-09,152.3702736323193,2.3154238180140965,29.414873492030893,15,d9a15a638150f2a9e69f868180b571d61af6794bc4d62f4c0814c5036f0629bb,a0a335268475d81ca4d27645bfd83dd0414acabb06d63d641c27b15a7601dd33,a76c2dffbbe11044b1e43f119fd991a1e2953ea884fd6c60e9c293915f30f95f
arc_00777,rh28_parent_arc_midpoint,777,,,-0.19925440580990195,-0.3195280984728883,2048,12,4108,1290892,3672782,148.8094753816631,1.3446107131585553e-09,8.8662395503938e-14,1.3445248786909253e-09,148.80947558175396,2.302567605045624,29.597030844015535,15,be6255a3b692fe2cd2aa6a54f8db8cc8185509edbd8a14eb62ff9b943ba2b415,ba7283daf430fd49d08f6acdb6d6845380a87d0d5ab7511c6f9295d57db4fb98,f82ec8e4b206ea09c0f4dd89e0d1cfb1a3e1ec3c79ba532f53e95a92c0157b6b
arc_00793,rh28_parent_arc_midpoint,793,,,-0.21075388317946023,-0.31371762149279886,2048,12,4108,1290892,3672782,145.0993756991624,1.2837675837965638e-09,9.672213421792532e-14,1.2836761310451702e-09,145.09937588543633,2.309533032006584,28.93522490200121,17,e0a873e921ac7057371e3be8caf40a01644d2c302778f3d92a63426727ef6a33,6c2703606d21e41e498e6197fed38c71827123cb67e0ee9fbb151008e5226e44,6b23e54a4378d289774489d61afe2df0b9f35c1e5f528346d91ac2c3ee31ad61
arc_00809,rh28_parent_arc_midpoint,809,,,-0.2225246155170552,-0.30847839609720573,2048,12,4108,1290892,3672780,141.40630269810438,1.2178959814769984e-09,3.0032813305291176e-13,1.2176563068275064e-09,141.4063028703226,2.300660013977904,29.1100897360011,17,54aa9025873891bea8d33fc12cf245ad0689a187cd66f3c600548bdfad9c1e01,f528376a0b2dc7b4d1e3fd9cf36e8710b99477452e2c4e0c3efc6d19fd2c0709,1c0a37666a331c17f726fde18887809797cb68d084657482aa7903df2c5a20e2
arc_00825,rh28_parent_arc_midpoint,825,,,-0.23453824609749127,-0.3038230440389889,2048,12,4108,1290892,3672780,137.703167824091,1.1483666798871382e-09,1.960416473878847e-13,1.1482065329611022e-09,137.70316798222478,2.3132443020003848,28.97613233095035,13,1e6d11e6933747bab5ead1c907a772cebb97bebd1eab61db00c82e4c615e1070,8f74613b1ed339930f84422e602a31f956fd88866539294e8eebe95888e85edd,880bf6f0f3a7b85fbad1bf8896f9b67d09dcabed54fe28b93942561ca4612343
arc_00833,rh28_parent_arc_midpoint,833,,,-0.24638077374437511,-0.29988055514485373,2048,12,4108,1290892,3672782,134.10624442817536,1.0799444266932905e-09,9.840620864106354e-14,1.0798534707940263e-09,134.1062445730027,2.3131606290116906,29.30663835001178,9,4d8a54809e44b1c459476bbd33a91548dfa4cd0402cd8164a3724ca6f69b65b6,96d13221ddd0c002c189d3ef3ae12119ac5276ace8fbeefb753019a28202c13a,e61f597fee022508eb10cb18e0f495267ec0b24c6aac46830f95ddcbd2f11d46
arc_00841,rh28_parent_arc_midpoint,841,,,-0.258787544597219,-0.2964061257652065,2048,12,4108,1290892,3672782,130.39611103417144,1.0101113596131142e-09,7.893085596678455e-14,1.0100369399159317e-09,130.39611116588608,2.3434996969881468,29.24454477499239,9,4f3d15ae27b79d3d48590dcb39b67a4825a4ee87554d77a05403d1e3c3c3aae8,e71ea60301cc32301a75d3ea08edc3e5d29fa5779cf7b85b7a3211aa99b74fc7,61335059ebd55eef1e47d8ad13577b98144cc77c7256c09614dcb36e08888a8c
arc_00850,rh28_parent_arc_midpoint,850,,,-0.2729295742417237,-0.2932304268115475,2048,12,4108,1290892,3672782,126.24784067726993,9.341365361329806e-10,7.309495892577596e-14,9.340673462526638e-10,126.24784079520269,2.3326156080001965,29.214427858009003,9,fefb2b7813f45d561d24d0fe6a867ae8c82cf6404e85804a1fe9b72553dfc459,a339bfaade75b8843643c4c5a01354e7e8db3d55ba317304904bc8c6a51a3ec2,c9c47b5ee53fa39f3b70e3eaf73f0dc39a3cf345ca9db9b1176d2c1b022b6f5f
arc_00858,rh28_parent_arc_midpoint,858,,,-0.28563067223296257,-0.2910666956993064,2048,12,4108,1290892,3672782,122.60442223498086,8.699068119512199e-10,6.912135665290272e-14,8.698416800070845e-10,122.60442234163531,2.3426287819747813,29.459537173970602,7,88401de15469941b3a3b239c1763e6ca7dfafb8ad731f30ff9b2600d0a7c5529,6d892ba76f9a658bb4cc1eada2471c9794cd8b03a35346ab6633f5a3ecfae8f2,508240e35434a0c08563d4bac3e5f4781dd3ccd139fb811d20e1516cab5c1268
arc_00862,rh28_parent_arc_midpoint,862,,,-0.29601864044422416,-0.2897692815979503,2048,12,4108,1290892,3672782,119.68789357080024,8.203893544013874e-10,6.621795256876908e-14,8.203277211138507e-10,119.68789366899094,2.3428908470086753,29.364822285017,5,a06575e2ea458159d3ce818ef08b8112ee419826627bf51f180e25989a298042,0f3d8f93eaa9538708cc35ceed04aef0172eece65daac6f9891425456f85cc4a,172a981f9a8305ded9b202cb81fa3a2a5ad083a6be3bfca623ed8e1f6d0a54cf
