status,parent_arc,start_numerator,end_numerator,turn_denominator,refinement_level,extra_refinement,theta_start,theta_end,theta_midpoint,center_real,center_imag,disc_radius,center_id,center_arc,distance_upper,neumann_product_upper,transported_inverse_upper,budget_lower,budget_ratio_upper
closed,0,0,1,256,2,0,0.0,0.02454369260617026,0.01227184630308513,-0.06087144653840408,-0.5476199838708271,0.003221324215048341,arc_00001,1,0.009663851364108937,0.8803065576684258,761.0502591234585,1.132442159527292e+18,6.720433822784723e-16
closed,1,1,2,256,2,0,0.02454369260617026,0.04908738521234052,0.03681553890925539,-0.06102955406943425,-0.541179397090493,0.0032213242150483344,arc_00001,1,0.003221324215048335,0.29343920182950955,128.9241145810682,8.433041343200106e+17,1.528797373737825e-16
closed,2,2,3,256,2,0,0.04908738521234052,0.07363107781851078,0.06135923151542565,-0.0613456738934299,-0.5347446302475328,0.003221324215048325,arc_00001,1,0.009663851364108918,0.8803065576684241,761.0502591234473,5.775854677211273e+17,1.3176409408744015e-15
closed,3,3,4,256,2,0,0.07363107781851078,0.09817477042468103,0.0859029241215959,-0.06181961559162955,-0.5283195594048813,0.0032213242150483544,arc_00004,4,0.009663851364108895,0.948294369494558,1897.820318507335,3.3411073729510285e+17,5.680213494099976e-15
closed,4,4,5,256,2,0,0.09817477042468103,0.1227184630308513,0.11044661672776616,-0.06245109367927603,-0.5219080547849653,0.003221324215048307,arc_00004,4,0.0032213242150483075,0.3161020901865317,143.48339824759074,1.1164491952896283e+17,1.2851762431551435e-15
closed,5,10,11,512,3,0,0.1227184630308513,0.1349903093339364,0.12885438618239387,-0.06302786024063847,-0.5171106527914109,0.0016106696876424381,arc_00006,6,0.0048319939026907205,0.4924517367461834,200.79826215323664,6.55773038069724e+17,3.0620085074599713e-16
closed,6,11,12,512,3,0,0.1349903093339364,0.14726215563702155,0.14112623248547898,-0.06346138833583084,-0.5139186341371522,0.0016106696876424216,arc_00006,6,0.0016106696876424219,0.1641510939329329,121.92970341948661,5.558885303405611e+17,2.193420025140423e-16
closed,7,12,13,512,3,0,0.14726215563702155,0.1595340019401067,0.15339807878856412,-0.06393405476627942,-0.5107321758926457,0.0016106696876424399,arc_00006,6,0.004831993902690699,0.4924517367461812,200.79826215323575,4.607557286159288e+17,4.358019872187303e-16
closed,8,13,14,512,3,0,0.1595340019401067,0.1718058482431918,0.16566992509164924,-0.0644457883501584,-0.5075517579267823,0.0016106696876424403,arc_00006,6,0.008053196836703004,0.8207400192257863,568.5307383170272,3.7021763883049754e+17,1.5356662640737288e-15
closed,9,14,15,512,3,0,0.1718058482431918,0.18407769454627693,0.17794177139473438,-0.06499651202227236,-0.5043778591988091,0.0016106696876424307,arc_00011,11,0.008053196836703013,0.902134352296378,1144.6497864537278,2.8411497425965197e+17,4.028825968910866e-15
closed,10,15,16,512,3,0,0.18407769454627693,0.19634954084936207,0.1902136176978195,-0.06558614284566197,-0.5012109576862,0.001610669687642418,arc_00011,11,0.0048319939026907266,0.5412891027122304,244.2102278525781,2.0228604995168966e+17,1.20725194797615e-15
closed,11,16,17,512,3,0,0.19634954084936207,0.2086213871524472,0.20248546400090464,-0.0662145920240941,-0.4980515303126742,0.0016106696876424145,arc_00011,11,0.0016106696876424147,0.1804302669968732,136.68378447142996,1.2456664992789714e+17,1.0972743069717827e-15
closed,12,17,18,512,3,0,0.2086213871524472,0.22089323345553233,0.21475731030398976,-0.06688176491543407,-0.4949000528763727,0.0016106696876424214,arc_00011,11,0.004831993902690709,0.5412891027122285,244.21022785257708,5.078986475846973e+16,4.8082472559026175e-15
closed,13,36,37,1024,4,0,0.22089323345553233,0.2270291566070749,0.2239611950313036,-0.06740749679810931,-0.49254194749458946,0.000805335791337673,arc_00016,16,0.0056372842134615455,0.6848339633598306,385.45701070369574,3.461848301641128e+17,1.1134428118094188e-15
closed,14,37,38,1024,4,0,0.2270291566070749,0.23316507975861744,0.23009711818284617,-0.06777003263131252,-0.4909726085852605,0.0008053357913376819,arc_00016,16,0.0040266600063859756,0.4891705698802335,237.81511243424032,3.1206852816510304e+17,7.620605443059027e-16
closed,15,38,39,1024,4,0,0.23316507975861744,0.23930100291016002,0.23623304133438874,-0.0681421909224042,-0.48940552369634677,0.0008053357913376706,arc_00016,16,0.0024160054789801066,0.2935034929972134,171.95125121570067,2.789095008807442e+17,6.16512706353533e-16
closed,16,39,40,1024,4,0,0.23930100291016002,0.2454369260617026,0.24236896448593132,-0.06852395765983503,-0.48784075182770853,0.000805335791337675,arc_00016,16,0.0008053357913376751,0.09783457440380618,134.6570760882013,2.466893355224415e+17,5.458569005547931e-16
closed,17,40,41,1024,4,0,0.2454369260617026,0.25157284921324513,0.24850488763747386,-0.0689153184703031,-0.4862783518921223,0.0008053357913376676,arc_00016,16,0.002416005478980056,0.2935034929972072,171.95125121569916,2.1538961685915232e+17,7.983265568838521e-16
closed,18,41,42,1024,4,0,0.25157284921324513,0.25770877236478773,0.25464081078901646,-0.06931625861929515,-0.48471838271306256,0.0008053357913376693,arc_00016,16,0.004026660006385963,0.489170569880232,237.8151124342396,1.849919321616962e+17,1.2855431566949213e-15
closed,19,42,43,1024,4,0,0.25770877236478773,0.2638446955163303,0.260776733940559,-0.06972676301164113,-0.4831609030224872,0.000805335791337676,turn_00005731_of_00131072,,0.004467068714097142,0.5893135810856678,321.22806045103226,1.5547787743069446e+17,2.066069242514726e-15
closed,20,43,44,1024,4,0,0.2638446955163303,0.2699806186678728,0.26691265709210155,-0.0701468161920827,-0.48160597145862627,0.000805335791337671,turn_00005731_of_00131072,,0.0028564209714923836,0.3768304853888067,211.6984202664998,1.268290653188297e+17,1.6691632926121548e-15
closed,21,44,45,1024,4,0,0.2699806186678728,0.2761165418194154,0.27304858024364415,-0.07057640234585504,-0.4800536465637743,0.0008053357913376784,turn_00005731_of_00131072,,0.0012457539232927808,0.16434484282061665,157.86894949193982,9.902713526332808e+16,1.5941988937894901e-15
closed,22,45,46,1024,4,0,0.2761165418194154,0.28225246497095796,0.2791845033951867,-0.07101550529928226,-0.47850398678208617,0.000805335791337687,turn_00005731_of_00131072,,0.001975588852965438,0.26062758739749964,178.42700045715088,7.205376647834267e+16,2.4763035879710886e-15
closed,23,46,47,1024,4,0,0.28225246497095796,0.28838838812250056,0.28532042654672923,-0.07146410852038634,-0.4769570504573769,0.0008053357913376803,turn_00005731_of_00131072,,0.003586249031680689,0.4731123237158237,250.383540438471,4.5890694647628744e+16,5.456085212068343e-15
closed,24,47,48,1024,4,0,0.28838838812250056,0.2945243112740431,0.29145634969827183,-0.07192219511950956,-0.47541289583092466,0.000805335791337666,arc_00027,27,0.003623998624878092,0.5208935921126854,300.00535806514523,2.051973351844226e+16,1.4620334021175922e-14
closed,25,96,97,2048,5,0,0.2945243112740431,0.2975922728498144,0.29605829206192874,-0.07227197317411393,-0.4742566403273337,0.0004026680141084532,arc_00027,27,0.0020133377017508584,0.28938606665066857,202.26804275012825,1.8103875675330323e+17,1.1172637637241049e-15
closed,26,97,98,2048,5,0,0.2975922728498144,0.30066023442558565,0.2991262536377,-0.07250811306053769,-0.47348670286828315,0.0004026680141084664,arc_00027,27,0.001208003805446108,0.173631810228897,173.93516743348096,1.6922231550951523e+17,1.027850061676415e-15
closed,27,98,99,2048,5,0,0.30066023442558565,0.303728196001357,0.3021942152134713,-0.07274661397047671,-0.47271749349966646,0.00040266801410844934,arc_00027,27,0.0004026680141084494,0.057877281425537885,152.5645084400744,1.5761054090506112e+17,9.679841688505705e-16
closed,28,99,100,2048,5,0,0.303728196001357,0.30679615757712825,0.3052621767892426,-0.07298747365906963,-0.47194901946157514,0.00040266801410845595,arc_00027,27,0.001208003805446123,0.17363181022889915,173.9351674334814,1.4620167872380067e+17,1.1896933670787321e-15
closed,29,100,101,2048,5,0,0.30679615757712825,0.3098641191528995,0.3083301383650139,-0.07323068985925331,-0.47118128798717956,0.00040266801410846647,arc_00027,27,0.002013337701750842,0.2893860666506662,202.2680427501276,1.3499399980803472e+17,1.4983483935416276e-15
closed,30,101,102,2048,5,0,0.3098641191528995,0.3129320807286708,0.31139809994078516,-0.07347626028178425,-0.4704143063026607,0.0004026680141084664,arc_00027,27,0.0028186678079942314,0.4051397783099031,241.62733396623116,1.2398580203331125e+17,1.9488306725742133e-15
closed,31,102,103,2048,5,0,0.3129320807286708,0.31600004230444206,0.3144660615165564,-0.0737241826152601,-0.4696480816271422,0.00040266801410845005,arc_00027,27,0.0036239922291567287,0.5208926728269405,300.0047824307656,1.1317541260235915e+17,2.650794687047706e-15
closed,32,103,104,2048,5,0,0.31600004230444206,0.3190680038802134,0.3175340230923277,-0.07397445452614147,-0.4688826211726227,0.0004026680141084511,arc_00027,27,0.004429309070232184,0.6366444778240368,395.57535437684254,1.0256119010855899e+17,3.856969229375497e-15
closed,33,104,105,2048,5,0,0.3190680038802134,0.32213596545598466,0.320601984668099,-0.07422707365877379,-0.4681179321439074,0.0004026680141084594,arc_00027,27,0.005234616436232275,0.7523949209260132,580.4989541696359,9.214152648982805e+16,6.300079630585674e-15
