T,weight_exponent,schedule,scaled_coefficient,theory
1000,0.0,unanchored,1.490622029881654,1.0
1000,0.0,anchored,1.6969893842105506,1.0
1000,1.0,unanchored,1.1838772170725138,1.0
1000,1.0,anchored,0.6360042280317164,0.5
1000,3.0,unanchored,1.080081420717495,1.0
1000,3.0,anchored,0.2769898466704984,0.25
10000,0.0,unanchored,1.3457795462450577,1.0
10000,0.0,anchored,1.5925464606780517,1.0
10000,1.0,unanchored,1.1312454622109331,1.0
10000,1.0,anchored,0.6044732795616127,0.5
10000,3.0,unanchored,1.059157487996894,1.0
10000,3.0,anchored,0.27245986396572286,0.25
100000,0.0,unanchored,1.2487286868330683,1.0
100000,0.0,anchored,1.4318098520670801,1.0
100000,1.0,unanchored,1.1007020112560546,1.0
100000,1.0,anchored,0.5796924097306014,0.5
100000,3.0,unanchored,1.0465269655105178,1.0
100000,3.0,anchored,0.2678330692488814,0.25
1000000,0.0,unanchored,1.1916451957884504,1.0
1000000,0.0,anchored,1.3238390711204213,1.0
1000000,1.0,unanchored,1.0816434854195869,1.0
1000000,1.0,anchored,0.5639736256170405,0.5
1000000,3.0,unanchored,1.0383119348850829,1.0
1000000,3.0,anchored,0.264649662009166,0.25
10000000,0.0,unanchored,1.1559709898160133,1.0
10000000,0.0,anchored,1.2569777443000318,1.0
10000000,1.0,unanchored,1.0686700250666565,1.0
10000000,1.0,anchored,0.5534150505240331,0.5
10000000,3.0,unanchored,1.0325616631866466,1.0
10000000,3.0,anchored,0.2624160171791542,0.25
