sigma,component_period,interpolation_fraction,coupling_product,bright_root_real,bright_root_imag,bright_root_one_step_radius,target_return,target_one_step_radius
0.001,6,0.0,-4.999960916183917e-08,0.060226801804609494,0.0,0.7912538147072764,0.026590794458993153,0.7391415382320545
0.001,6,0.01,-8.994893688075189e-06,0.06007791957789023,0.0,0.7910906297264988,0.026590794458993153,0.7391415382320545
0.001,6,0.02,-1.793978776698854e-05,0.059928293939373614,0.0,0.7909262560095455,0.026590794458993153,0.7391415382320545
0.001,6,0.03,-2.688468184590189e-05,0.059777913640375116,0.0,0.7907606737599666,0.026590794458993153,0.7391415382320545
0.001,6,0.04,-3.582957592481524e-05,0.059626767145639664,0.0,0.7905938626542973,0.026590794458993153,0.7391415382320545
0.001,6,0.05,-4.477447000372859e-05,0.05947484262301532,0.0,0.7904258018225816,0.026590794458993153,0.7391415382320545
0.001,6,0.06,-5.371936408264194e-05,0.05932212793264367,0.0,0.7902564698279685,0.026590794458993153,0.7391415382320545
0.001,6,0.07,-6.266425816155529e-05,0.0591686106156388,0.0,0.7900858446453277,0.026590794458993153,0.7391415382320545
0.001,6,0.08,-7.160915224046864e-05,0.05901427788222505,0.0,0.789913903638826,0.026590794458993153,0.7391415382320545
0.001,6,0.09,-8.055404631938199e-05,0.05885911659930161,0.0,0.7897406235384027,0.026590794458993153,0.7391415382320545
0.001,6,0.1,-8.949894039829534e-05,0.05870311327739977,0.0,0.7895659804150779,0.026590794458993153,0.7391415382320545
0.001,6,0.11,-9.844383447720868e-05,0.058546254056995956,0.0,0.7893899496550207,0.026590794458993153,0.7391415382320545
0.001,6,0.12,-0.00010738872855612204,0.05838852469414157,0.0,0.7892125059323037,0.026590794458993153,0.7391415382320545
0.001,6,0.13,-0.0001163336226350354,0.058229910545367164,0.0,0.789033623180259,0.026590794458993153,0.7391415382320545
0.001,6,0.14,-0.00012527851671394877,0.05807039655181591,0.0,0.7888532745613493,0.026590794458993153,0.7391415382320545
0.001,6,0.15,-0.0001342234107928621,0.057909967222557465,0.0,0.7886714324354585,0.026590794458993153,0.7391415382320545
0.001,6,0.16,-0.00014316830487177544,0.05774860661703017,0.0,0.7884880683264998,0.026590794458993153,0.7391415382320545
0.001,6,0.17,-0.0001521131989506888,0.05758629832655502,0.0,0.788303152887232,0.026590794458993153,0.7391415382320545
0.001,6,0.18,-0.00016105809302960214,0.05742302545486086,0.0,0.7881166558621653,0.026590794458993153,0.7391415382320545
0.001,6,0.19,-0.0001700029871085155,0.057258770597555346,0.0,0.7879285460484278,0.026590794458993153,0.7391415382320545
0.001,6,0.2,-0.00017894788118742884,0.05709351582047105,0.0,0.7877387912544569,0.026590794458993153,0.7391415382320545
0.001,6,0.21,-0.00018789277526634217,0.05692724263681051,0.0,0.7875473582563649,0.026590794458993153,0.7391415382320545
0.001,6,0.22,-0.00019683766934525554,0.0567599319830077,0.0,0.7873542127518176,0.026590794458993153,0.7391415382320545
0.001,6,0.23,-0.00020578256342416892,0.05659156419321676,0.0,0.7871593193112518,0.026590794458993153,0.7391415382320545
0.001,6,0.24,-0.00021472745750308225,0.05642211897233132,0.0,0.786962641326243,0.026590794458993153,0.7391415382320545
0.001,6,0.25,-0.0002236723515819956,0.056251575367429675,0.0,0.7867641409548164,0.026590794458993153,0.7391415382320545
0.001,6,0.26,-0.00023261724566090895,0.056079911737532004,0.0,0.7865637790634791,0.026590794458993153,0.7391415382320545
0.001,6,0.27,-0.0002415621397398223,0.055907105721546085,0.0,0.786361515165732,0.026590794458993153,0.7391415382320545
0.001,6,0.28,-0.0002505070338187357,0.05573313420426719,0.0,0.786157307356796,0.026590794458993153,0.7391415382320545
0.001,6,0.29,-0.00025945192789764897,0.05555797328028565,0.0,0.7859511122442651,0.026590794458993153,0.7391415382320545
0.001,6,0.3,-0.00026839682197656235,0.05538159821564265,0.0,0.7857428848743748,0.026590794458993153,0.7391415382320545
0.001,6,0.31,-0.0002773417160554757,0.05520398340706005,0.0,0.7855325786535412,0.026590794458993153,0.7391415382320545
0.001,6,0.32,-0.00028628661013438905,0.05502510233855412,0.0,0.7853201452647977,0.026590794458993153,0.7391415382320545
0.001,6,0.33,-0.0002952315042133024,0.05484492753522478,0.0,0.7851055345787182,0.026590794458993153,0.7391415382320545
0.001,6,0.34,-0.00030417639829221575,0.05466343051399254,0.0,0.7848886945583803,0.026590794458993153,0.7391415382320545
0.001,6,0.35000000000000003,-0.0003131212923711291,0.05448058173103291,0.0,0.784669571157872,0.026590794458993153,0.7391415382320545
0.001,6,0.36,-0.00032206618645004245,0.054296350525633696,0.0,0.7844481082138026,0.026590794458993153,0.7391415382320545
0.001,6,0.37,-0.00033101108052895577,0.05411070506017296,0.0,0.7842242473292221,0.026590794458993153,0.7391415382320545
0.001,6,0.38,-0.00033995597460786915,0.053923612255884976,0.0,0.7839979277492886,0.026590794458993153,0.7391415382320545
0.001,6,0.39,-0.00034890086868678247,0.053735037724047224,0.0,0.7837690862279628,0.026590794458993153,0.7391415382320545
0.001,6,0.4,-0.00035784576276569585,0.05354494569218293,0.0,0.7835376568849262,0.026590794458993153,0.7391415382320545
0.001,6,0.41000000000000003,-0.0003667906568446092,0.05335329892483074,0.0,0.7833035710518345,0.026590794458993153,0.7391415382320545
0.001,6,0.42,-0.0003757355509235225,0.05316005863838452,0.0,0.7830667571069255,0.026590794458993153,0.7391415382320545
0.001,6,0.43,-0.0003846804450024359,0.05296518440945154,0.0,0.7828271402968865,0.026590794458993153,0.7391415382320545
0.001,6,0.44,-0.00039362533908134925,0.05276863407611594,0.0,0.782584642544766,0.026590794458993153,0.7391415382320545
0.001,6,0.45,-0.0004025702331602626,0.05257036363142407,0.0,0.7823391822425763,0.026590794458993153,0.7391415382320545
0.001,6,0.46,-0.000411515127239176,0.052370327108329694,0.0,0.782090674027073,0.026590794458993153,0.7391415382320545
0.001,6,0.47000000000000003,-0.0004204600213180893,0.052168476455246846,0.0,0.7818390285370209,0.026590794458993153,0.7391415382320545
0.001,6,0.48,-0.00042940491539700265,0.051964761401255846,0.0,0.7815841521500487,0.026590794458993153,0.7391415382320545
0.001,6,0.49,-0.00043834980947591597,0.0517591293098912,0.0,0.7813259466969633,0.026590794458993153,0.7391415382320545
0.001,6,0.5,-0.00044729470355482935,0.05155152502030661,0.0,0.7810643091511276,0.026590794458993153,0.7391415382320545
0.001,6,0.51,-0.0004562395976337427,0.051341890674458934,0.0,0.7807991312901976,0.026590794458993153,0.7391415382320545
0.001,6,0.52,-0.00046518449171265605,0.0511301655287769,0.0,0.7805302993271636,0.026590794458993153,0.7391415382320545
0.001,6,0.53,-0.0004741293857915694,0.05091628574857736,0.0,0.780257693507233,0.026590794458993153,0.7391415382320545
0.001,6,0.54,-0.00048307427987048275,0.050700184183257224,0.0,0.7799811876666221,0.026590794458993153,0.7391415382320545
0.001,6,0.55,-0.0004920191739493961,0.05048179012001709,0.0,0.7797006487487795,0.026590794458993153,0.7391415382320545
0.001,6,0.56,-0.0005009640680283096,0.05026102901355634,0.0,0.7794159362729284,0.026590794458993153,0.7391415382320545
0.001,6,0.5700000000000001,-0.0005099089621072229,0.050037822188810796,0.0,0.7791269017490748,0.026590794458993153,0.7391415382320545
0.001,6,0.58,-0.0005188538561861361,0.049812086513372114,0.0,0.7788333880327636,0.026590794458993153,0.7391415382320545
0.001,6,0.59,-0.0005277987502650495,0.049583734035721826,0.0,0.778535228611844,0.026590794458993153,0.7391415382320545
0.001,6,0.6,-0.0005367436443439629,0.04935267158481599,0.0,0.778232246816309,0.026590794458993153,0.7391415382320545
0.001,6,0.61,-0.0005456885384228762,0.049118800325850365,0.0,0.7779242549408496,0.026590794458993153,0.7391415382320545
0.001,6,0.62,-0.0005546334325017896,0.04888201526619879,0.0,0.7776110532680837,0.026590794458993153,0.7391415382320545
0.001,6,0.63,-0.0005635783265807029,0.04864220470451888,0.0,0.7772924289784042,0.026590794458993153,0.7391415382320545
0.001,6,0.64,-0.0005725232206596163,0.04839924961482418,0.0,0.7769681549299877,0.026590794458993153,0.7391415382320545
