sigma,folded_dimension,dimension_times_sigma,component_period,archived_bulk_radius,elapsed_seconds,target_return,direct_bright,bright_to_dark,dark_to_bright,dark_pole,observed_product,required_product,observed_product_sign,required_product_sign,sign_compatible,signed_coupling_ratio,absolute_coupling_coverage,self_energy_at_target,required_shift,schur_residual,determinant_residual,bright_root_real,bright_root_imag,bright_root_shift,bright_root_shift_fraction_of_required,small_coupling_parameter,small_coupling_root_bound,small_coupling_bound_fraction_of_required,target_dark_pole_distance,target_dark_pole_distance_over_target,direct_bright_one_step_radius,schur_root_one_step_radius,physical_one_step_radius,schur_root_radius_error,determinant_identity_error,coverage_identity_error
0.001,10240,10.24,6,0.7391415382320545,0.2956275939941406,0.026590794458993153,0.060232417351342285,-0.0001672698984574886,0.00029665094979615473,-3.239871776004428e-06,-4.962077424972035e-08,-0.0008946664741419225,-1,-1,1,5.546287436031601e-05,5.546287436031601e-05,-1.8658611037554907e-06,-0.033641622892349135,-0.03363975703124538,-0.0008946168533676727,0.06023159356265689,0.0,-8.237886853917908e-07,2.44871862462717e-05,1.367590987056296e-05,1.6475548383549811e-06,4.897370271425498e-05,0.026594034330769158,1.0001218418570006,0.791259962486403,0.7912590606532498,0.7391415382320545,0.05211752242119527,1.0842021724855044e-19,6.776263578034403e-21
0.001,15360,15.36,6,0.7391415382320545,0.5980141162872314,0.026590794458993153,0.06022887596657591,-0.00016822028096146404,0.00029663990137765797,-3.244189690458712e-06,-4.990084755413061e-08,-0.0008945724396802252,-1,-1,1,5.578178506367602e-05,5.578178506367602e-05,-1.8763922326103964e-06,-0.033638081507582754,-0.03363620511535014,-0.0008945225388326711,0.06022804747948604,0.0,-8.284870898697672e-07,2.4629439395436632e-05,1.3754715788847967e-05,1.6569513882183698e-06,4.92582012397127e-05,0.02659403864868361,1.0001220042408083,0.7912560855161386,0.7912551784905436,0.7391415382320545,0.05211364025848908,1.0842021724855044e-19,6.776263578034403e-21
0.001,20480,20.48,6,0.7391415382320545,0.9733903408050537,0.026590794458993153,0.06022763194855295,-0.00016855542379732577,0.00029663601464382215,-3.245714318144697e-06,-4.999960916183917e-08,-0.0008945394075004969,-1,-1,1,5.589424987049707e-05,5.589424987049707e-05,-1.8801057994947587e-06,-0.0336368374895598,-0.0336349573837603,-0.000894489407891335,0.06022680180460949,0.0,-8.30143943461592e-07,2.4679607401238364e-05,1.3782507146564611e-05,1.6602650036647593e-06,4.935853449897221e-05,0.0265940401733113,1.0001220615774813,0.79125472356401,0.7912538147072764,0.7391415382320545,0.052112276475221875,1.0842021724855044e-19,6.776263578034403e-21
0.0001,102400,10.24,8,0.7570230789796144,3.0087971687316895,0.011634451595497268,0.022877228483516365,8.047114625373563e-05,4.195611312063583e-05,-2.7430896583527277e-09,3.376256515168962e-09,-0.0001308035743425786,1,-1,0,-2.581165332933825e-05,2.581165332933825e-05,2.901946594926452e-07,-0.011242776888019097,-0.01124306708267859,-0.00013080695059909377,0.02287737606408246,0.0,1.4758056609415204e-07,-1.3126700597556265e-05,6.451021833633549e-06,2.9516303627183734e-07,2.6253570555720875e-05,0.011634454338586927,1.0000002357730087,0.7897010457182974,0.7897013641139868,0.7570230789796144,0.03267828513437243,2.710505431213761e-20,3.3881317890172014e-21
0.0001,153600,15.36,8,0.7570230789796144,6.476743698120117,0.011634451595497268,0.02287987892734867,6.423045708094033e-05,2.661033626181824e-05,-3.17084652133309e-07,1.7091940611741066e-09,-0.00013083794571552073,1,-1,0,-1.3063443115274718e-05,1.3063443115274718e-05,1.4690400025659633e-07,-0.011245427331851401,-0.011245574235851657,-0.0001308396549095819,0.022879953629002445,0.0,7.470165377596039e-08,-6.642847049873898e-06,3.2649151096223663e-06,1.4940379534140563e-07,1.3285737476443983e-05,0.011634768680149402,1.0000272539405515,0.789706763589149,0.7897069247359562,0.7570230789796144,0.032683845756341756,0.0,0.0
0.0001,204800,20.48,8,0.7570230789796144,10.692937135696411,0.011634451595497268,0.022879369039445756,6.823062276077864e-05,3.0444379169162195e-05,-2.403547485109068e-07,2.0772389502772133e-09,-0.00013083115046628582,1,-1,0,-1.587725050856678e-05,1.587725050856678e-05,1.785383712057226e-07,-0.011244917443948487,-0.011245095982319693,-0.00013083322770523608,0.02287945982905111,0.0,9.07896053545243e-08,-8.073834761978017e-06,3.968160647101466e-06,1.8157993123818937e-07,1.6147733599939198e-05,0.011634691950245779,1.000020658880785,0.7897056636430642,0.7897058594989138,0.7570230789796144,0.032682780519299404,0.0,3.3881317890172014e-21
