sigma,folded_dimension,component_period,archived_bulk_radius,compression,target_return,direct_bright,bright_to_dark,dark_to_bright,dark_pole,observed_product,required_product,observed_product_sign,required_product_sign,sign_compatible,signed_coupling_ratio,absolute_coupling_coverage,self_energy_at_target,required_shift,schur_residual,determinant_residual,bright_root_real,bright_root_imag,bright_root_shift,bright_root_shift_fraction_of_required,small_coupling_parameter,small_coupling_root_bound,small_coupling_bound_fraction_of_required,target_dark_pole_distance,target_dark_pole_distance_over_target,companion_root_at_required_product,target_is_leading_at_required_product,required_product_leading_one_step_radius,direct_bright_one_step_radius,schur_root_one_step_radius,physical_one_step_radius,schur_root_radius_error,determinant_identity_error,coverage_identity_error
0.001,20480,6,0.7391415382320545,raw_euclidean,0.026590794458993153,0.06022763194855294,-0.00016855542379734108,0.00029663601464383153,-3.2457143181095834e-06,-4.99996091618453e-08,-0.0008945394075004953,-1,-1,1,5.589424987050402e-05,5.589424987050402e-05,-1.8801057994949916e-06,-0.033636837489559784,-0.03363495738376029,-0.0008944894078913335,0.06022680180460949,0.0,-8.301439434546531e-07,2.4679607401032085e-05,1.3782507146566319e-05,1.6602650036649639e-06,4.935853449897832e-05,0.026594040173311264,1.00012206157748,0.03363359177524168,0,0.7537565586000583,0.79125472356401,0.7912538147072764,0.7391415382320545,0.052112276475221875,1.0842021724855044e-19,0.0
0.001,20480,6,0.7391415382320545,raw_biorthogonal,0.026590794458993153,0.053841841481988534,-0.00017111842985533757,0.00026548498263535326,-3.2433668159509594e-06,-4.542937337873321e-08,-0.0007247153753224418,-1,-1,1,6.268581421847258e-05,6.268581421847258e-05,-1.7082540709423486e-06,-0.02725104702299538,-0.02724933876892444,-0.0007246699459490631,0.053840997763655335,0.0,-8.437183331988507e-07,3.0960951059491105e-05,1.566912031121398e-05,1.6874102253268851e-06,6.192093184173767e-05,0.026594037825809106,1.0001219732949669,0.027247803656179428,0,0.7406464719563495,0.7838987863982548,0.7838977627295033,0.7391415382320545,0.04475622449744876,0.0,0.0
0.001,20480,6,0.7391415382320545,bulk_euclidean,0.026590794458993153,0.03779349075106032,-0.00018452665232742926,0.0001825784170958119,-3.261872170230188e-06,-3.369058409393125e-08,-0.0002979251362521493,-1,-1,1,0.00011308406037084827,0.00011308406037084827,-1.2668463838084012e-06,-0.011202696292067164,-0.011201429445683355,-0.00029789144566805535,0.03779259936816842,0.0,-8.913828918946654e-07,7.95686028305409e-05,2.358302785356228e-05,1.7827237397756983e-06,0.0001591334526347981,0.026594056331163383,1.0001226692258203,0.011199434419896934,1,0.7391415382320545,0.7611169911742687,0.7611154952067856,0.7391415382320545,0.021973956974731035,0.0,0.0
0.001,20480,6,0.7391415382320545,bulk_biorthogonal,0.026590794458993153,0.03791498352009157,-0.0001729035025808244,0.00018330521612507938,-3.1923388304028492e-06,-3.169411390936124e-08,-0.00030115533438690933,-1,-1,1,0.00010524174832859584,0.00010524174832859584,-1.1917774551935579e-06,-0.01132418906109842,-0.011322997283643227,-0.00030112364027299997,0.0379141476462164,0.0,-8.358738751712558e-07,7.381313316665679e-05,2.204366191428928e-05,1.671710898081283e-06,0.00014762301203748455,0.026593986797823557,1.0001200542855282,0.01132099672226802,1,0.7391415382320545,0.7613205849774026,0.7613191862902198,0.7391415382320545,0.022177648058165245,0.0,1.3552527156068805e-20
0.0001,204800,8,0.7570230789796144,raw_euclidean,0.011634451595497268,0.022879369039445763,6.823062276076955e-05,3.0444379169165008e-05,-2.403547485119848e-07,2.0772389502771285e-09,-0.0001308311504662859,1,-1,0,-1.587725050856612e-05,1.587725050856612e-05,1.7853837120571527e-07,-0.011244917443948494,-0.0112450959823197,-0.00013083322770523616,0.022879459829051114,0.0,9.078960535105485e-08,-8.073834761669479e-06,3.968160647101301e-06,1.815799312381819e-07,1.6147733599938524e-05,0.01163469195024578,1.0000206588807852,0.011244677089199984,1,0.7570230789796144,0.7897056636430642,0.7897058594989138,0.7570230789796144,0.032682780519299404,2.710505431213761e-20,0.0
0.0001,204800,8,0.7570230789796144,raw_biorthogonal,0.011634451595497268,0.022257816449046924,6.801606542587844e-05,2.962893114621005e-05,-2.398111714146791e-07,2.0152433193394703e-09,-0.0001235995717715003,1,-1,0,-1.6304614089319578e-05,1.6304614089319578e-05,1.7320986426716815e-07,-0.010623364853549656,-0.010623538063413923,-0.00012360158701481963,0.022257906988629464,0.0,9.053958253957273e-08,-8.522684082465654e-06,4.067738430079381e-06,1.810799016571182e-07,1.704543750058747e-05,0.011634691406668682,1.0000206121594513,0.010623125042378242,1,0.7570230789796144,0.7883474365756182,0.788347637001028,0.7570230789796144,0.03132455802141354,0.0,0.0
0.0001,204800,8,0.7570230789796144,bulk_euclidean,0.011634451595497268,0.019751429375906706,6.236202195752458e-05,2.5723483117170846e-05,-2.4810619297323087e-07,1.6041684189770212e-09,-9.4438598960356e-05,1,-1,0,-1.698636401468036e-05,1.698636401468036e-05,1.3787793927710694e-07,-0.008116977780409438,-0.008117115658348715,-9.444020312877497e-05,0.019751510592391955,0.0,8.121648524886393e-08,-1.0005754290085934e-05,4.1118947630876265e-06,1.6243363840168295e-07,2.0011590864979484e-05,0.01163469970169024,1.000021325130019,0.008116729674216465,1,0.7570230789796144,0.7824829949092077,0.7824831960035024,0.7570230789796144,0.02546011702388795,0.0,0.0
0.0001,204800,8,0.7570230789796144,bulk_biorthogonal,0.011634451595497268,0.01975537118563934,6.296042725699075e-05,2.573410654861549e-05,-2.4649344481783554e-07,1.620230343377755e-09,-9.448444763587833e-05,1,-1,0,-1.71481167950704e-05,1.71481167950704e-05,1.3925847761513152e-07,-0.008120919590142073,-0.008121058848619689,-9.44860678662217e-05,0.019755453198950366,0.0,8.201331102436482e-08,-1.0099017742266553e-05,4.151409124537787e-06,1.6402730298766e-07,2.0198119334511276e-05,0.011634698088942087,1.0000211865116972,0.008120673096697254,1,0.7570230789796144,0.7824927540465133,0.782492957075781,0.7570230789796144,0.02546987809616663,1.3552527156068805e-20,3.3881317890172014e-21
